table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nasa_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3174,r001,All institutions,All institutions,,1,-,"['1,644,687', '']","['22,845', '']","['406,239', '']","['95,417', '']","['4,370', '']","['591,229', '']","['21,168', '']","['24,816', '']","['7,534', '']","['460,514', '']","['10,555', '']"
3174,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['312,073', '']","['6,340', '']","['12,995', '']","['1,194', '']","['294', '']","['136,562', '']","['0', '']","['0', '']","['2,141', '']","['152,547', '']","['0', '']"
3174,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['110,640', '']","['205', '']","['37,669', '']","['245', '']","['35', '']","['35,906', '']","['10', '']","['22', '']","['46', '']","['36,484', '']","['18', '']"
3174,r004,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,3,"['65,490', '']","['246', '']","['54,505', '']","['521', '']","['57', '']","['197', '']","['0', '']","['5,553', '']","['0', '']","['4,300', '']","['111', '']"
3174,r005,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,4,"['65,263', '']","['63', '']","['17,348', '']","['2,839', '']","['24', '']","['31,516', '']","['0', '']","['10,255', '']","['216', '']","['3,002', '']","['0', '']"
3174,r006,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,5,"['64,954', '']","['0', '']","['10,194', '']","['388', '']","['0', '']","['50,379', '']","['0', '']","['0', '']","['0', '']","['3,443', '']","['550', '']"
3174,r007,All institutions -> U. Arizona,All institutions,U. Arizona,2,6,"['55,641', '']","['0', '']","['1,963', '']","['1,001', '']","['45', '']","['51,035', '']","['0', '']","['0', '']","['0', '']","['1,597', '']","['0', '']"
3174,r008,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,7,"['39,937', '']","['2,734', '']","['3,943', '']","['3,560', '']","['80', '']","['3,474', '']","['61', '']","['142', '']","['0', '']","['24,901', '']","['1,042', '']"
3174,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['37,109', '']","['0', '']","['869', '']","['137', '']","['242', '']","['32,691', '']","['0', '']","['76', '']","['2,036', '']","['1,058', '']","['0', '']"
3174,r010,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,9,"['34,456', '']","['686', '']","['6,748', '']","['61', '']","['0', '']","['18,151', '']","['0', '']","['0', '']","['34', '']","['8,712', '']","['64', '']"
3174,r011,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,10,"['26,364', '']","['0', '']","['25,016', '']","['79', '']","['0', '']","['801', '']","['0', '']","['0', '']","['0', '']","['468', '']","['0', '']"
3174,r012,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,11,"['25,555', '']","['0', '']","['434', '']","['795', '']","['0', '']","['3,571', '']","['0', '']","['1,147', '']","['0', '']","['19,608', '']","['0', '']"
3174,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,"['25,278', '']","['0', '']","['14,764', '']","['311', '']","['0', '']","['5,881', '']","['179', '']","['2,100', '']","['0', '']","['2,043', '']","['0', '']"
3174,r014,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,13,"['23,676', '']","['3,939', '']","['10,639', '']","['6', '']","['0', '']","['3,987', '']","['0', '']","['0', '']","['0', '']","['5,105', '']","['0', '']"
3174,r015,All institutions -> Stanford U.,All institutions,Stanford U.,2,14,"['22,652', '']","['96', '']","['1,435', '']","['1,150', '']","['0', '']","['14,303', '']","['0', '']","['195', '']","['0', '']","['4,506', '']","['967', '']"
3174,r016,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,15,"['21,740', '']","['467', '']","['8,577', '']","['11', '']","['0', '']","['12,371', '']","['277', '']","['0', '']","['0', '']","['37', '']","['0', '']"
3174,r017,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,16,"['21,031', '']","['0', '']","['1,118', '']","['0', '']","['0', '']","['262', '']","['19,321', '']","['0', '']","['0', '']","['330', '']","['0', '']"
