table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
12474,r001,All states,All states,,1,"['5,710,570', '&nbsp;']","['4,397,991', '&nbsp;']","['194,028', '&nbsp;']","['297,357', '&nbsp;']","['40,302', '&nbsp;']","['20,741', '&nbsp;']","['13,423', '&nbsp;']","['694,536', '&nbsp;']","['35,873', '&nbsp;']","['16,319', '&nbsp;']"
12474,r002,All states -> Alabama,All states,Alabama,2,"['51,198', '&nbsp;']","['41,843', '&nbsp;']","['0', '&nbsp;']","['512', '&nbsp;']","['0', '&nbsp;']","['254', '&nbsp;']","['18', '&nbsp;']","['7,681', '&nbsp;']","['890', '&nbsp;']","['0', '&nbsp;']"
12474,r003,All states -> Alaska,All states,Alaska,2,"['2,266', '&nbsp;']","['1,410', '&nbsp;']","['0', '&nbsp;']","['118', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['738', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12474,r004,All states -> Arizona,All states,Arizona,2,"['73,342', '&nbsp;']","['60,649', '&nbsp;']","['0', '&nbsp;']","['4,747', 'r']","['153', 'r']","['2,077', 'r']","['419', 'r']","['4,962', '&nbsp;']","['337', 'r']","['0', '&nbsp;']"
12474,r005,All states -> Arkansas,All states,Arkansas,2,"['5,610', '&nbsp;']","['3,718', '&nbsp;']","['0', '&nbsp;']","['43', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,254', '&nbsp;']","['595', 'r']","['0', '&nbsp;']"
12474,r006,All states -> California,All states,California,2,"['1,820,632', '&nbsp;']","['1,460,381', '&nbsp;']","['119,248', '&nbsp;']","['26,731', '&nbsp;']","['20,275', 'r']","['1,446', '&nbsp;']","['3,194', '&nbsp;']","['176,510', '&nbsp;']","['12,424', '&nbsp;']","['423', '&nbsp;']"
12474,r007,All states -> Colorado,All states,Colorado,2,"['164,876', '&nbsp;']","['115,152', '&nbsp;']","['1,672', 'r']","['15,278', '&nbsp;']","['1,077', 'r']","['1,487', 'r']","['0', '&nbsp;']","['24,524', '&nbsp;']","['5,687', '&nbsp;']","['0', '&nbsp;']"
12474,r008,All states -> Connecticut,All states,Connecticut,2,"['89,133', '&nbsp;']","['78,758', '&nbsp;']","['492', 'r']","['2,453', '&nbsp;']","['0', '&nbsp;']","['571', 'r']","['725', '&nbsp;']","['5,315', '&nbsp;']","['819', '&nbsp;']","['0', '&nbsp;']"
12474,r009,All states -> Delaware,All states,Delaware,2,"['54,824', '&nbsp;']","['41,071', '&nbsp;']","['4,000', 'r']","['1,713', 'r']","['80', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['7,960', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
12474,r010,All states -> District of Columbia,All states,District of Columbia,2,"['11,896', '&nbsp;']","['6,312', '&nbsp;']","['2,152', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,843', '&nbsp;']","['0', '&nbsp;']","['1,590', 'r']"
