table_id,row_id,primary_source_of_support_and_sex_full_path,primary_source_of_support_and_sex_level_1,primary_source_of_support_and_sex_level_2,primary_source_of_support_and_sex_level_3,primary_source_of_support_and_sex_level_4,primary_source_of_support_and_sex_level_5,primary_source_of_support_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1351,r001,All recipients (number)<sup>a</sup>,All recipients (number)<sup>a</sup>,,,,,1,115134,94784,3560,30523,4140,3243,4589,14051,15972,18706,20350
1351,r002,All recipients (number)<sup>a</sup> -> All sources,All recipients (number)<sup>a</sup>,All sources,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1351,r003,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,,,3,12.3,13.6,11.7,5.7,14.0,5.6,5.5,3.1,31.7,22.7,6.2
1351,r004,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds -> Loans,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,Loans,,4,5.8,6.7,3.9,1.7,4.3,1.7,1.5,0.9,20.4,10.5,1.5
1351,r005,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds -> Savings,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,Savings,,4,1.1,1.1,1.4,0.6,2.3,0.7,0.7,0.3,1.5,1.9,1.1
1351,r006,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds -> Other earnings in graduate school,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,Other earnings in graduate school,,4,2.7,2.8,4.0,1.4,5.9,2.3,1.6,0.7,3.3,5.7,2.4
1351,r007,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds -> Other family earnings or savings,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,Other family earnings or savings,,4,2.8,3.1,2.3,2.1,1.5,0.9,1.7,1.2,6.4,4.7,1.3
1351,r008,All recipients (number)<sup>a</sup> -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,All sources,Teaching assistantship,,,3,16.9,19.4,10.6,11.1,8.7,15.5,53.4,20.6,19.5,28.2,5.7
1351,r009,"All recipients (number)<sup>a</sup> -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,All sources,"Research assistantship, traineeship, or internship",,,3,29.6,26.8,39.0,28.0,41.3,39.3,13.0,45.9,19.2,12.6,43.0
1351,r010,"All recipients (number)<sup>a</sup> -> All sources -> Research assistantship, traineeship, or internship -> Research assistantship",All recipients (number)<sup>a</sup>,All sources,"Research assistantship, traineeship, or internship",Research assistantship,,4,27.0,23.9,37.5,23.2,40.1,38.6,12.0,44.9,14.7,11.3,41.6
1351,r011,"All recipients (number)<sup>a</sup> -> All sources -> Research assistantship, traineeship, or internship -> Traineeship, internship or clinical residency, other assistantship",All recipients (number)<sup>a</sup>,All sources,"Research assistantship, traineeship, or internship","Traineeship, internship or clinical residency, other assistantship",,4,2.6,2.9,1.5,4.8,1.3,0.7,1.0,0.9,4.5,1.2,1.3
1351,r012,"All recipients (number)<sup>a</sup> -> All sources -> Fellowship, scholarship, or grant",All recipients (number)<sup>a</sup>,All sources,"Fellowship, scholarship, or grant",,,3,31.5,31.5,25.4,48.6,22.2,32.6,19.5,23.8,17.6,27.5,31.6
1351,r013,"All recipients (number)<sup>a</sup> -> All sources -> Fellowship, scholarship, or grant -> Fellowship or scholarship",All recipients (number)<sup>a</sup>,All sources,"Fellowship, scholarship, or grant",Fellowship or scholarship,,4,24.3,24.2,19.2,32.7,18.1,25.1,17.7,17.8,15.4,26.6,24.8
1351,r014,"All recipients (number)<sup>a</sup> -> All sources -> Fellowship, scholarship, or grant -> Grant<sup>b</sup>",All recipients (number)<sup>a</sup>,All sources,"Fellowship, scholarship, or grant",Grant<sup>b</sup>,,4,7.2,7.3,6.2,15.9,4.2,7.5,1.8,6.0,2.1,0.8,6.8
1351,r015,All recipients (number)<sup>a</sup> -> All sources -> Employer reimbursement or assistance,All recipients (number)<sup>a</sup>,All sources,Employer reimbursement or assistance,,,3,3.0,2.3,5.8,1.8,7.0,2.4,2.0,1.2,1.2,3.2,6.2
1351,r016,"All recipients (number)<sup>a</sup> -> All sources -> Other, foreign, or unknown source of support",All recipients (number)<sup>a</sup>,All sources,"Other, foreign, or unknown source of support",,,3,6.6,6.4,7.5,4.9,6.7,4.6,6.7,5.4,10.8,5.8,7.4
1351,r017,All recipients (number)<sup>a</sup> -> Female (number),All recipients (number)<sup>a</sup>,Female (number),,,,2,52581,47440,1758,16494,871,1451,1248,4339,11465,9814,5141
1351,r018,All recipients (number)<sup>a</sup> -> Female (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),All sources,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1351,r019,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,,4,15.3,16.4,11.3,6.2,17.5,4.3,6.9,2.8,33.1,23.9,4.8
1351,r020,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds -> Loans,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,Loans,5,7.8,8.5,3.7,1.8,6.4,1.5,1.7,0.8,21.1,11.5,1.0
1351,r021,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds -> Savings,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,Savings,5,1.0,1.0,1.3,0.5,2.1,0.6,0.7,0.2,1.5,1.5,0.7
1351,r022,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds -> Other earnings in graduate school,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,Other earnings in graduate school,5,2.6,2.7,3.8,1.3,6.2,1.6,1.5,0.5,3.2,5.1,1.5
1351,r023,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Personal or family funds -> Other family earnings or savings,All recipients (number)<sup>a</sup>,Female (number),All sources,Personal or family funds,Other family earnings or savings,5,4.0,4.2,2.5,2.5,2.8,0.7,3.0,1.3,7.3,6.0,1.7
1351,r024,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),All sources,Teaching assistantship,,4,17.1,18.4,12.8,11.1,10.3,16.6,51.6,21.8,18.1,27.3,5.3
1351,r025,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),All sources,"Research assistantship, traineeship, or internship",,4,25.6,24.2,36.4,27.7,31.8,35.7,13.1,41.4,19.8,12.7,38.2
1351,r026,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Research assistantship, traineeship, or internship -> Research assistantship",All recipients (number)<sup>a</sup>,Female (number),All sources,"Research assistantship, traineeship, or internship",Research assistantship,5,22.3,20.8,34.5,22.7,30.7,35.2,11.7,40.2,14.9,11.4,36.3
1351,r027,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Research assistantship, traineeship, or internship -> Traineeship, internship or clinical residency, other assistantship",All recipients (number)<sup>a</sup>,Female (number),All sources,"Research assistantship, traineeship, or internship","Traineeship, internship or clinical residency, other assistantship",5,3.3,3.4,1.9,5.0,1.1,0.5,1.4,1.2,4.9,1.3,2.0
