table_id,row_id,country_or_economy_full_path,country_or_economy_level_1,country_or_economy_level_2,country_or_economy_level_3,country_or_economy_hierarchy_depth,field_rank,field_doctorate_recipients
1758,r001,All temporary visa holders (162 countries or economies)<sup>a</sup>,All temporary visa holders (162 countries or economies)<sup>a</sup>,,,1,-,17124
1758,r002,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,,2,-,15903
1758,r003,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> China<sup>b</sup>,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,China<sup>b</sup>,3,1,6182
1758,r004,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> India ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,India ,3,2,2040
1758,r005,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> South Korea ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,South Korea ,3,3,1035
1758,r006,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iran ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iran ,3,4,935
1758,r007,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Taiwan ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Taiwan ,3,5,513
1758,r008,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Turkey ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Turkey ,3,6,452
1758,r009,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Canada ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Canada ,3,7,424
1758,r010,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Saudi Arabia ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Saudi Arabia ,3,8,404
1758,r011,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Bangladesh ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Bangladesh ,3,9,280
1758,r012,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nepal ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nepal ,3,10,225
1758,r013,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Colombia ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Colombia ,3,11,205
1758,r014,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Mexico ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Mexico ,3,12,185
1758,r015,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Brazil,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Brazil,3,13,178
1758,r016,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Thailand ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Thailand ,3,14,177
1758,r017,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Egypt ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Egypt ,3,15,156
1758,r018,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Russian Federation (former USSR) ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Russian Federation (former USSR) ,3,16,154
1758,r019,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Sri Lanka,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Sri Lanka,3,17,148
1758,r020,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nigeria ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nigeria ,3,18,146
1758,r021,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Germany,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Germany,3,19,144
1758,r022,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Italy ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Italy ,3,20,138
1758,r023,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> France ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,France ,3,21,133
