table_id,row_id,country,a_lot,some,not_much,nothing_at_all,don_t_know_or_refused
10539,r001,"All top 15 R&D countries (n = 17,588)",0.4,0.9,0.9,0.5,0.3
10539,r002,"Israel (n = 1,063)",1.0,1.6,1.7,1.4,0.2
10539,r003,"South Korea (n = 1,009)",0.8,1.9,1.9,1.0,0.1
10539,r004,"Taiwan (n = 1,000)",0.7,2.1,2.0,1.5,0.6
10539,r005,"Sweden (n = 1,000)",1.5,2.0,1.5,0.7,0.0
10539,r006,"Japan (n = 1,012)",0.7,1.6,1.8,1.1,0.1
10539,r007,"Germany (n = 1,000)",1.9,2.4,2.1,1.1,0.0
10539,r008,"Switzerland (n = 1,000)",1.3,2.1,2.0,1.1,0.1
10539,r009,"Belgium (n = 1,001)",1.1,1.7,1.6,1.2,NA
10539,r010,"United States (n = 1,001)",1.5,2.1,1.8,1.0,NA
10539,r011,"Austria (n = 1,000)",1.3,1.9,1.8,1.0,NA
10539,r012,"Denmark (n = 1,000)",1.4,1.9,1.6,0.9,0.1
10539,r013,"Finland (n = 1,000)",1.4,2.0,1.8,0.7,NA
10539,r014,"China (n = 3,502)",0.4,1.2,1.3,0.7,0.4
10539,r015,"France (n = 1,000)",1.3,1.9,1.5,0.9,0.1
10539,r016,"Netherlands (n = 1,000)",1.6,2.2,2.1,1.0,0.0
