table_id,row_id,sector_and_occupation_full_path,sector_and_occupation_level_1,sector_and_occupation_level_2,sector_and_occupation_level_3,sector_and_occupation_level_4,sector_and_occupation_level_5,sector_and_occupation_hierarchy_depth,field_total,field_job_satisfaction_very_satisfied,field_job_satisfaction_somewhat_satisfied,field_job_satisfaction_somewhat_dissatisfied,field_job_satisfaction_very_dissatisfied
6847,r001,All sectors,All sectors,,,,,1,48223000,21878000,20857000,4294000,1195000
6847,r002,All sectors -> S&E occupations,All sectors,S&E occupations,,,,2,6769000,3002000,3137000,526000,104000
6847,r003,"All sectors -> S&E occupations -> Biological, agricultural, and other life scientists",All sectors,S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,288000,260000,51000,11000
6847,r004,"All sectors -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All sectors,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,,4,41000,14000,23000,2000,S
6847,r005,"All sectors -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All sectors,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,,4,455000,216000,192000,39000,8000
6847,r006,"All sectors -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All sectors,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,,4,27000,9000,15000,S,
6847,r007,"All sectors -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All sectors,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,,4,87000,49000,30000,6000,2000
6847,r008,All sectors -> S&E occupations -> Computer and mathematical scientists,All sectors,S&E occupations,Computer and mathematical scientists,,,3,3419000,1427000,1640000,296000,56000
6847,r009,All sectors -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All sectors,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,4,3096000,1276000,1497000,269000,53000
6847,r010,All sectors -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All sectors,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,4,209000,92000,94000,21000,2000
6847,r011,All sectors -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All sectors,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,,4,114000,58000,48000,7000,
6847,r012,All sectors -> S&E occupations -> Physical and related scientists,All sectors,S&E occupations,Physical and related scientists,,,3,366000,163000,170000,22000,11000
6847,r013,"All sectors -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All sectors,S&E occupations,Physical and related scientists,"Chemists, except biochemists",,4,109000,45000,53000,8000,3000
6847,r014,"All sectors -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All sectors,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",,4,69000,31000,32000,5000,S
6847,r015,All sectors -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All sectors,S&E occupations,Physical and related scientists,Physicists and astronomers,,4,42000,22000,17000,2000,
6847,r016,All sectors -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All sectors,S&E occupations,Physical and related scientists,Other physical and related scientists,,4,65000,31000,25000,4000,5000
6847,r017,All sectors -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All sectors,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,,4,81000,34000,43000,3000,
6847,r018,All sectors -> S&E occupations -> Social and related scientists,All sectors,S&E occupations,Social and related scientists,,,3,646000,347000,255000,39000,5000
6847,r019,All sectors -> S&E occupations -> Social and related scientists -> Economists,All sectors,S&E occupations,Social and related scientists,Economists,,4,47000,32000,13000,2000,S
6847,r020,All sectors -> S&E occupations -> Social and related scientists -> Political scientists,All sectors,S&E occupations,Social and related scientists,Political scientists,,4,33000,19000,12000,S,
6847,r021,All sectors -> S&E occupations -> Social and related scientists -> Psychologists,All sectors,S&E occupations,Social and related scientists,Psychologists,,4,199000,122000,67000,10000,
6847,r022,All sectors -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All sectors,S&E occupations,Social and related scientists,Sociologists and anthropologists,,4,24000,11000,9000,S,
