table_id,row_id,time_period,all_scientists_and_engineers_level_1,all_scientists_and_engineers_level_2,all_scientists_and_engineers_level_3,all_scientists_and_engineers_hierarchy_depth,value
6340,r001,Total,All scientists and engineers,Number,,2,856050
6340,r002,Total,All scientists and engineers,SE,,2,1500
6340,r003,Total,Changes in location (number),0,Total,3,831350
6340,r004,Total,Changes in location (number),0,SE,3,1675
6340,r005,Total,Changes in location (number),1,Total,3,20150
6340,r006,Total,Changes in location (number),1,SE,3,750
6340,r007,Total,Changes in location (number),2,Total,3,4550
6340,r008,Total,Changes in location (number),2,SE,3,425
6340,r009,Total,Changes in location (%),0,Percent,3,97.12
6340,r010,Total,Changes in location (%),0,SE,3,0.15
6340,r011,Total,Changes in location (%),1,Percent,3,2.35
6340,r012,Total,Changes in location (%),1,SE,3,0.1
6340,r013,Total,Changes in location (%),2,Percent,3,0.53
6340,r014,Total,Changes in location (%),2,SE,3,0.05
6340,r015,Total -> Gender -> Male,All scientists and engineers,Number,,2,556750
6340,r016,Total -> Gender -> Male,All scientists and engineers,SE,,2,1475
6340,r017,Total -> Gender -> Male,Changes in location (number),0,Total,3,538950
6340,r018,Total -> Gender -> Male,Changes in location (number),0,SE,3,1650
6340,r019,Total -> Gender -> Male,Changes in location (number),1,Total,3,14400
6340,r020,Total -> Gender -> Male,Changes in location (number),1,SE,3,700
6340,r021,Total -> Gender -> Male,Changes in location (number),2,Total,3,3450
6340,r022,Total -> Gender -> Male,Changes in location (number),2,SE,3,375
6340,r023,Total -> Gender -> Male,Changes in location (%),0,Percent,3,96.8
6340,r024,Total -> Gender -> Male,Changes in location (%),0,SE,3,0.15
6340,r025,Total -> Gender -> Male,Changes in location (%),1,Percent,3,2.58
6340,r026,Total -> Gender -> Male,Changes in location (%),1,SE,3,0.15
6340,r027,Total -> Gender -> Male,Changes in location (%),2,Percent,3,0.62
6340,r028,Total -> Gender -> Male,Changes in location (%),2,SE,3,0.1
6340,r029,Total -> Gender -> Female,All scientists and engineers,Number,,2,299300
6340,r030,Total -> Gender -> Female,All scientists and engineers,SE,,2,950
6340,r031,Total -> Gender -> Female,Changes in location (number),0,Total,3,292450
6340,r032,Total -> Gender -> Female,Changes in location (number),0,SE,3,1000
6340,r033,Total -> Gender -> Female,Changes in location (number),1,Total,3,5750
6340,r034,Total -> Gender -> Female,Changes in location (number),1,SE,3,400
6340,r035,Total -> Gender -> Female,Changes in location (number),2,Total,3,1100
6340,r036,Total -> Gender -> Female,Changes in location (number),2,SE,3,175
6340,r037,Total -> Gender -> Female,Changes in location (%),0,Percent,3,97.71
6340,r038,Total -> Gender -> Female,Changes in location (%),0,SE,3,0.15
6340,r039,Total -> Gender -> Female,Changes in location (%),1,Percent,3,1.93
6340,r040,Total -> Gender -> Female,Changes in location (%),1,SE,3,0.15
6340,r041,Total -> Gender -> Female,Changes in location (%),2,Percent,3,0.36
6340,r042,Total -> Gender -> Female,Changes in location (%),2,SE,3,0.1
6340,r043,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers,Number,,2,43100
6340,r044,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers,SE,,2,475
6340,r045,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),0,Total,3,41200
6340,r046,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),0,SE,3,500
6340,r047,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),1,Total,3,1600
6340,r048,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),1,SE,3,200
6340,r049,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),2,Total,3,350
6340,r050,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (number),2,SE,3,75
6340,r051,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (%),0,Percent,3,95.54
6340,r052,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Changes in location (%),0,SE,3,0.45
