table_id,row_id,financial_resource_full_path,financial_resource_level_1,financial_resource_level_2,financial_resource_level_3,financial_resource_hierarchy_depth,field_all_fields_male,field_all_fields_female,field_life_sciencesa_male,field_life_sciencesa_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherb_male,field_otherb_female
979,r001,Unduplicated total<sup>c</sup>,Unduplicated total<sup>c</sup>,,,1,26146,22184,5115,6292,3707,1818,2594,815,3224,4576,6658,2045,1344,2845,2295,2382,1209,1411
979,r002,Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,2,62.4,67.0,67.3,70.0,59.5,68.3,57.3,62.2,70.1,67.8,55.6,66.4,43.6,47.3,81.3,83.6,63.9,64.9
979,r003,Unduplicated total<sup>c</sup> -> Dissertation grant<sup>d</sup>,Unduplicated total<sup>c</sup>,Dissertation grant<sup>d</sup>,,2,16.7,23.6,16.2,19.8,11.6,15.3,8.8,10.4,30.5,32.6,8.3,12.0,12.0,14.5,42.2,46.6,17.6,25.3
979,r004,Unduplicated total<sup>c</sup> -> Assistantship,Unduplicated total<sup>c</sup>,Assistantship,,2,,,,,,,,,,,,,,,,,,
979,r005,Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Unduplicated total<sup>c</sup>,Assistantship,Teaching,3,68.0,65.1,51.1,51.0,85.3,87.3,82.9,83.1,79.0,75.9,61.4,64.6,36.3,39.0,84.2,88.8,67.0,66.7
979,r006,Unduplicated total<sup>c</sup> -> Assistantship -> Research,Unduplicated total<sup>c</sup>,Assistantship,Research,3,68.5,59.5,64.4,60.9,88.1,86.9,72.4,68.0,60.8,60.9,84.0,83.7,33.1,36.8,33.5,37.1,57.5,57.8
979,r007,Unduplicated total<sup>c</sup> -> Assistantship -> Other,Unduplicated total<sup>c</sup>,Assistantship,Other,3,7.6,10.2,5.3,5.8,4.6,4.7,6.1,5.9,12.6,15.0,5.4,5.2,15.3,16.1,13.4,16.0,9.9,9.2
979,r008,Unduplicated total<sup>c</sup> -> Traineeship,Unduplicated total<sup>c</sup>,Traineeship,,2,3.8,5.6,11.6,12.8,2.2,3.0,1.5,1.7,3.6,4.6,1.9,4.3,0.6,1.1,0.8,0.6,1.0,1.1
979,r009,Unduplicated total<sup>c</sup> -> Internship or clinical residency,Unduplicated total<sup>c</sup>,Internship or clinical residency,,2,8.9,9.0,3.2,3.2,4.2,6.2,21.1,20.9,12.3,22.8,13.6,11.4,3.3,4.7,2.3,2.8,3.8,2.8
979,r010,Unduplicated total<sup>c</sup> -> Loan (any source),Unduplicated total<sup>c</sup>,Loan (any source),,2,22.2,31.9,19.7,23.0,12.9,11.7,12.4,11.3,38.2,47.0,11.7,9.0,47.0,50.8,41.9,41.4,33.0,39.8
979,r011,Unduplicated total<sup>c</sup> -> Personal sources,Unduplicated total<sup>c</sup>,Personal sources,,2,,,,,,,,,,,,,,,,,,
979,r012,Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Unduplicated total<sup>c</sup>,Personal sources,Savings,3,45.3,52.1,41.9,46.4,34.2,36.7,39.6,38.4,57.8,61.4,39.1,36.6,63.3,63.7,58.9,59.9,62.2,61.1
979,r013,Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,3,25.7,35.9,20.4,25.8,13.9,14.4,20.6,20.0,39.5,44.1,15.8,13.9,55.0,59.7,50.4,56.3,34.1,40.4
979,r014,"Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,2,33.4,45.0,31.8,39.2,24.9,29.9,28.5,33.0,42.6,55.5,27.9,33.6,40.8,49.5,47.7,56.3,46.0,52.1
979,r015,Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,2,10.0,11.8,8.9,11.5,6.1,5.2,9.6,8.8,9.6,8.5,8.8,8.5,29.2,27.8,9.2,7.8,15.9,12.7
979,r016,Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,2,7.4,5.5,6.5,5.4,4.7,5.1,7.9,8.1,8.3,4.5,9.2,7.4,6.9,3.7,7.2,6.5,7.7,7.0
979,r017,Unduplicated total<sup>c</sup> -> Other ,Unduplicated total<sup>c</sup>,Other ,,2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.3,0.2,0.1,0.2,0.6,0.3,0.3,0.3,0.2,0.2
