table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
1004,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,1,3113,1522,626,965
1004,r002,All doctorate recipients (number)<sup>b</sup> -> Sex (%),All doctorate recipients (number)<sup>b</sup>,Sex (%),,,2,,,,
1004,r003,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>b</sup>,Sex (%),Male,,3,44.9,55.6,31.6,36.8
1004,r004,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>b</sup>,Sex (%),Female,,3,55.0,44.3,68.4,63.2
1004,r005,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Sex (%),Unknown,,3,0.05,0.1,0,0
1004,r006,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Citizenship (%),,,2,,,,
1004,r007,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,61.7,54.5,74.0,65.1
1004,r008,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Temporary visa holder,,3,29.8,37.8,19.3,23.9
1004,r009,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Unknown,,3,8.5,7.6,6.7,11.0
1004,r010,All doctorate recipients (number)<sup>b</sup> -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Marital status (%),,,2,,,,
1004,r011,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Never married,,3,21.7,22.0,26.7,18.0
1004,r012,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Married,,3,51.3,54.4,45.4,50.4
1004,r013,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Marriage-like relationship,,3,5.5,3.7,8.5,6.5
1004,r014,"All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.8,3.9,4.6,6.4
1004,r015,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Unknown,,3,16.6,16.0,14.9,18.7
1004,r016,All doctorate recipients (number)<sup>b</sup> -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Bachelor's in same field as doctorate (%)<sup>c</sup>,,,2,34.9,37.3,41.5,26.9
1004,r017,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),,,2,81.8,79.7,85.9,82.5
1004,r018,All doctorate recipients (number)<sup>b</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Age at doctorate (median years),,,2,34.8,34.3,33.8,36.1
1004,r019,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),,,2,,,,
1004,r020,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From bachelor's,,3,11.4,11.0,11.0,12.6
1004,r021,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From graduate school start,,3,9.3,8.9,8.6,10.3
1004,r022,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From doctoral program start<sup>d</sup>,,3,5.8,5.1,6.1,6.7
1004,r023,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),,,2,1399,846,198,355
