table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_2018,field_2019,field_2020,field_2021,field_2022,field__change2018_22,field__change2021_22
10748,r001,All surveyed fields,All surveyed fields,,,,1,64783,66247,65681,63328,62750,-3.1,-0.9
10748,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,2,29622,29452,29890,29755,27289,-7.9,-8.3
10748,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Male,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Male,,3,15934,15570,15579,15480,14247,-10.6,-8.0
10748,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Female,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Female,,3,13688,13882,14311,14275,13042,-4.7,-8.6
10748,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,1856,1924,2027,2142,2192,18.1,2.3
10748,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
10748,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,81,69,72,80,92,13.6,15.0
10748,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,6020,5891,5696,6014,5286,-12.2,-12.1
10748,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1104,1088,1081,1138,1141,3.4,0.3
10748,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,55,52,52,40,34,-38.2,-15.0
10748,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,17232,16972,17123,16369,15221,-11.7,-7.0
10748,r012,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,506,519,555,687,638,26.1,-7.1
10748,r013,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,3,2768,2937,3284,3285,2685,-3.0,-18.3
10748,r014,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,2,35161,36795,35791,33573,35461,0.9,5.6
10748,r015,All surveyed fields -> Temporary visa holders -> Male,All surveyed fields,Temporary visa holders,Male,,3,22727,23603,22660,21040,21791,-4.1,3.6
10748,r016,All surveyed fields -> Temporary visa holders -> Female,All surveyed fields,Temporary visa holders,Female,,3,12434,13192,13131,12533,13670,9.9,9.1
