table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
5407,r001,All institutions,All institutions,,1,-,"['46,143,829', '']","['7,080,598', '']","['2,037,915', '']","['25,397,976', '']","['1,758,375', '']","['5,414,611', '']","['1,244,633', '']","['3,209,721', '']"
5407,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['2,682,410', '']","['1,373,241', '']","['12,481', '']","['693,055', '']","['382,439', '']","['36,694', '']","['1,517', '']","['182,983', '']"
5407,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['1,024,195', '']","['89,508', '']","['34,131', '']","['673,867', '']","['22,183', '']","['125,722', '']","['7,016', '']","['71,768', '']"
5407,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['884,880', '']","['77,782', '']","['39,304', '']","['613,008', '']","['28,557', '']","['89,821', '']","['1,809', '']","['34,599', '']"
5407,r005,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,4,"['790,518', '']","['580,258', '']","['18,409', '']","['42,077', '']","['12,350', '']","['67,630', '']","['856', '']","['68,938', '']"
5407,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['762,289', '']","['47,328', '']","['21,289', '']","['579,119', '']","['18,833', '']","['86,265', '']","['48', '']","['9,407', '']"
5407,r007,All institutions -> Stanford U.,All institutions,Stanford U.,2,6,"['751,414', '']","['69,428', '']","['24,507', '']","['551,284', '']","['17,289', '']","['78,681', '']","['319', '']","['9,906', '']"
5407,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['727,289', '']","['119,510', '']","['30,822', '']","['442,934', '']","['10,676', '']","['88,909', '']","['1,115', '']","['33,323', '']"
5407,r009,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,8,"['721,308', '']","['57,517', '']","['9,131', '']","['592,887', '']","['3,957', '']","['43,067', '']","['830', '']","['13,919', '']"
5407,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,"['707,746', '']","['65,776', '']","['17,100', '']","['570,531', '']","['2,872', '']","['34,439', '']","['719', '']","['16,309', '']"
5407,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['706,145', '']","['19,056', '']","['5,847', '']","['556,113', '']","['2,522', '']","['40,535', '']","['2,886', '']","['79,186', '']"
5407,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['689,273', '']","['48,018', '']","['10,781', '']","['587,352', '']","['2,117', '']","['28,642', '']","['74', '']","['12,289', '']"
