table_id,row_id,_b_characteristics_b_full_path,_b_characteristics_b_level_1,_b_characteristics_b_level_2,_b_characteristics_b_level_3,_b_characteristics_b_level_4,_b_characteristics_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
4637,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,55283,34492,18482,2851,1254,97,,3218,11852,2458,625,23944,3783,1136,,353,454,435,395
4637,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,,2,,,,,,,,,,,,,,,,,,,
4637,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,,3,21.5,20.5,23.2,16.8,19.3,8.4,0.0,18.5,24.0,12.5,28.0,22.1,21.8,20.3,14.3,18.4,17.5,19.2,30.9
4637,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,,3,33.7,26.8,46.6,20.3,28.2,18.1,,33.9,52.6,14.7,34.3,27.9,37.1,27.0,37.5,24.4,,19.2,36.2
4637,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarships, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarships, or dissertation grants",,3,24.4,26.9,19.8,36.2,28.4,32.5,0.0,32.5,16.6,25.8,21.3,25.0,25.9,31.4,28.6,26.4,24.9,20.0,21.3
4637,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,,3,15.2,21.2,4.0,22.1,2.5,31.3,,12.1,3.8,40.8,,20.4,3.6,18.4,4.5,23.2,5.1,36.7,5.3
4637,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer,,3,2.8,4.0,0.5,3.5,1.0,7.2,0.0,2.5,0.3,5.5,,4.2,0.8,2.5,,6.0,,5.0,1.1
4637,r008,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Other,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Other,,3,2.4,0.5,5.9,1.1,20.6,2.4,33.3,0.4,2.6,0.8,3.1,0.4,10.8,0.5,14.3,1.6,15.3,0.0,5.3
4637,r009,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,,,2,,,,,,,,,,,,,,,,,,,
4637,r010,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,3,13546,8435,5064,718,382,13,0,806,3379,372,119,6137,1077,306,32,59,43,24,32
4637,r011,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment,,3,21743,14498,7159,1128,474,49,,1258,4803,1138,245,10289,1460,450,,113,84,73,42
4637,r012,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,3,13677,8755,4907,764,347,18,,876,3193,727,228,5932,1032,323,,77,58,38,19
4637,r013,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Other status<sup>e</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Other status<sup>e</sup>,,3,1496,1174,311,107,27,3,0,162,164,78,15,747,83,48,4,18,12,11,6
4637,r014,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation study plans (%)<sup>f</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation study plans (%)<sup>f</sup>,,3,38.4,36.8,41.4,38.9,44.6,21.0,0.0,39.1,41.3,24.6,32.7,37.4,42.5,40.5,39.5,34.3,33.9,24.7,43.2
4637,r015,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,,3,,,,,,,,,,,,,,,,,,,
