table_id,row_id,time_period,all_employed_doctoral_scientists_and_engineers_in_2015_level_1,all_employed_doctoral_scientists_and_engineers_in_2015_level_2,all_employed_doctoral_scientists_and_engineers_in_2015_hierarchy_depth,value
6335,r001,Total,All employed doctoral scientists and engineers in 2015,Number,2,807300
6335,r002,Total,All employed doctoral scientists and engineers in 2015,SE,2,1700
6335,r003,Total,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r004,Total,Retired in 2017,Number,2,15600
6335,r005,Total,Retired in 2017,SE,2,675
6335,r006,Total,Retired in 2017,Percent,2,1.93
6335,r007,Total,Retired in 2017,SE,2,0.1
6335,r008,Total,Retired in 2019,Number,2,36350
6335,r009,Total,Retired in 2019,SE,2,900
6335,r010,Total,Retired in 2019,Percent,2,4.5
6335,r011,Total,Retired in 2019,SE,2,0.15
6335,r012,Total -> Gender -> Male,All employed doctoral scientists and engineers in 2015,Number,2,533350
6335,r013,Total -> Gender -> Male,All employed doctoral scientists and engineers in 2015,SE,2,1500
6335,r014,Total -> Gender -> Male,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r015,Total -> Gender -> Male,Retired in 2017,Number,2,11000
6335,r016,Total -> Gender -> Male,Retired in 2017,SE,2,625
6335,r017,Total -> Gender -> Male,Retired in 2017,Percent,2,2.06
6335,r018,Total -> Gender -> Male,Retired in 2017,SE,2,0.15
6335,r019,Total -> Gender -> Male,Retired in 2019,Number,2,24800
6335,r020,Total -> Gender -> Male,Retired in 2019,SE,2,825
6335,r021,Total -> Gender -> Male,Retired in 2019,Percent,2,4.65
6335,r022,Total -> Gender -> Male,Retired in 2019,SE,2,0.2
6335,r023,Total -> Gender -> Female,All employed doctoral scientists and engineers in 2015,Number,2,273950
6335,r024,Total -> Gender -> Female,All employed doctoral scientists and engineers in 2015,SE,2,1225
6335,r025,Total -> Gender -> Female,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r026,Total -> Gender -> Female,Retired in 2017,Number,2,4600
6335,r027,Total -> Gender -> Female,Retired in 2017,SE,2,325
6335,r028,Total -> Gender -> Female,Retired in 2017,Percent,2,1.68
6335,r029,Total -> Gender -> Female,Retired in 2017,SE,2,0.15
6335,r030,Total -> Gender -> Female,Retired in 2019,Number,2,11550
6335,r031,Total -> Gender -> Female,Retired in 2019,SE,2,550
6335,r032,Total -> Gender -> Female,Retired in 2019,Percent,2,4.21
6335,r033,Total -> Gender -> Female,Retired in 2019,SE,2,0.2
6335,r034,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All employed doctoral scientists and engineers in 2015,Number,2,40750
6335,r035,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All employed doctoral scientists and engineers in 2015,SE,2,525
6335,r036,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r037,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2017,Number,2,500
6335,r038,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2017,SE,2,100
6335,r039,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2017,Percent,2,1.2
6335,r040,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2017,SE,2,0.25
6335,r041,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2019,Number,2,850
6335,r042,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2019,SE,2,125
6335,r043,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2019,Percent,2,2.05
6335,r044,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Retired in 2019,SE,2,0.3
6335,r045,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All employed doctoral scientists and engineers in 2015,Number,2,2250
6335,r046,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All employed doctoral scientists and engineers in 2015,SE,2,200
6335,r047,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r048,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All employed doctoral scientists and engineers in 2015,Number,2,225800
6335,r049,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All employed doctoral scientists and engineers in 2015,SE,2,1175
6335,r050,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r051,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2017,Number,2,3350
6335,r052,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2017,SE,2,425
6335,r053,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2017,Percent,2,1.48
6335,r054,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2017,SE,2,0.2
6335,r055,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2019,Number,2,7000
6335,r056,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2019,SE,2,500
6335,r057,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2019,Percent,2,3.1
6335,r058,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Retired in 2019,SE,2,0.25
6335,r059,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All employed doctoral scientists and engineers in 2015,Number,2,27600
6335,r060,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All employed doctoral scientists and engineers in 2015,SE,2,400
6335,r061,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r062,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2017,Number,2,500
6335,r063,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2017,SE,2,100
6335,r064,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2017,Percent,2,1.74
6335,r065,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2017,SE,2,0.35
6335,r066,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2019,Number,2,950
6335,r067,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2019,SE,2,150
6335,r068,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2019,Percent,2,3.41
6335,r069,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Retired in 2019,SE,2,0.55
6335,r070,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All employed doctoral scientists and engineers in 2015,Number,2,501150
6335,r071,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All employed doctoral scientists and engineers in 2015,SE,2,1825
6335,r072,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r073,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2017,Number,2,11200
6335,r074,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2017,SE,2,525
6335,r075,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2017,Percent,2,2.24
6335,r076,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2017,SE,2,0.15
6335,r077,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2019,Number,2,27150
