table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
2752,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['1,988', '&nbsp;']","['1,159', '&nbsp;']","['1,207', '&nbsp;']","['1,544', '&nbsp;']","['1,371', 'i']","['1,066', '&nbsp;']","['1,159', '&nbsp;']","['972', '  ']","['1,286', '  ']","['1,567', '  ']","['1,381', '  ']"
2752,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,356', '&nbsp;']","['14,947', '&nbsp;']","['23,172', '  ']","['24,458', '  ']","['30,555', '  ']","['35,688', '  ']"
2752,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,787', '&nbsp;']","['2,883', '&nbsp;']","['3,147', '&nbsp;']","['3,472', '&nbsp;']","['3,266', '&nbsp;']","['3,406', '&nbsp;']","['3,493', '&nbsp;']","['3,353', '  ']","['3,361', '  ']","['3,257', '  ']","['3,370', '  ']"
2752,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['2,152', '&nbsp;']","['2,320', '&nbsp;']","['2,238', '&nbsp;']","['2,011', '&nbsp;']","['2,087', '&nbsp;']","['1,979', '&nbsp;']","['2,131', '&nbsp;']","['D', '  ']","['2,121', '  ']","['2,094', '  ']","['1,668', '  ']"
2752,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['2,536', '&nbsp;']","['2,842', '&nbsp;']","['3,128', '&nbsp;']","['3,689', '&nbsp;']","['3,739', '&nbsp;']","['3,586', '&nbsp;']","['3,592', '&nbsp;']","['3,251', '  ']","['3,926', '  ']","['3,904', '  ']","['3,653', '  ']"
2752,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['966', 'i']","['312', '&nbsp;']","['1,056', 'i']","['920', 'i']","['1,154', 'i']","['1,077', '&nbsp;']","['1,130', '&nbsp;']","['1,145', '  ']","['1,198', '  ']","['1,345', '  ']","['1,521', '  ']"
2752,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['738', '&nbsp;']","['555', '&nbsp;']","['522', '&nbsp;']","['590', '&nbsp;']","['621', '&nbsp;']","['618', 'i']","['800', '&nbsp;']","['601', '  ']","['652', '  ']","['443', '  ']","['446', '  ']"
2752,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['840', '&nbsp;']","['933', '&nbsp;']","['783', '&nbsp;']","['882', '&nbsp;']","['792', '&nbsp;']","['853', '&nbsp;']","['719', '  ']","['0 - 7,094', '  ']","['714', '  ']","['808', '  ']"
2752,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,935', '&nbsp;']","['2,438', '&nbsp;']","['1,971', '&nbsp;']","['2,471', '&nbsp;']","['2,517', '&nbsp;']","['2,460', '&nbsp;']","['2,560', '&nbsp;']","['2,521', '  ']","['2,562', '  ']","['2,695', '  ']","['2,809', '  ']"
2752,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,404', '&nbsp;']","['1,507', '&nbsp;']","['1,523', '&nbsp;']","['1,430', '&nbsp;']","['1,893', '&nbsp;']","['2,055', '&nbsp;']","['1,990', '&nbsp;']","['1,916', '  ']","['1,977', '  ']","['1,867', '  ']","['2,440', '  ']"
2752,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['581', '&nbsp;']","['653', '&nbsp;']","['682', '&nbsp;']","['875', '&nbsp;']","['816', '&nbsp;']","['1,693', '&nbsp;']","['1,729', '&nbsp;']","['1,556', '  ']","['1,462', '  ']","['1,588', '  ']","['1,880', 'i ']"
2752,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['1,629', '&nbsp;']","['1,765', '&nbsp;']","['2,204', '&nbsp;']","['2,589', '&nbsp;']","['1,942', 'i']","['1,462', '&nbsp;']","['2,115', '  ']","['1,528', '  ']","['1,586', '  ']","['1,739', '  ']"
2752,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['2,553', '&nbsp;']","['1,978', '&nbsp;']","['2,279', '&nbsp;']","['2,574', '&nbsp;']","['1,266', 'i']","['3,500', '&nbsp;']","['3,363', '&nbsp;']","['3,459', '  ']","['3,688', '  ']","['3,996', '  ']","['4,465', '  ']"
2752,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,191', '&nbsp;']","['853', '&nbsp;']","['806', '&nbsp;']","['1,128', '&nbsp;']","['1,031', '&nbsp;']","['1,006', '&nbsp;']","['1,237', '&nbsp;']","['1,181', '  ']","['893', '  ']","['1,222', '  ']","['1,124', '  ']"
2752,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['852', '&nbsp;']","['270', '&nbsp;']","['757', '&nbsp;']","['25', 'i']","['108', '&nbsp;']","['25', '&nbsp;']","['114', '  ']","['59', '  ']","['52', '  ']","['58', '  ']"
2752,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['977', '&nbsp;']","['1,268', '&nbsp;']","['1,143', '&nbsp;']","['1,621', '&nbsp;']","['1,661', '&nbsp;']","['2,251', '&nbsp;']","['1,947', '  ']","['0 - 7,094', '  ']","['2,245', '  ']","['2,262', '  ']"
2752,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['33', '&nbsp;']","['587', 'i ']","['519', '  ']","['571', '  ']","['274', '  ']"
2752,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,386', '&nbsp;']","['1,589', '&nbsp;']","['3,481', '&nbsp;']","['3,623', '&nbsp;']","['4,068', '&nbsp;']","['3,870', '&nbsp;']","['3,346', '&nbsp;']","['2,626', '  ']","['2,641', '  ']","['3,164', '  ']","['2,757', '  ']"
2752,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,039', '&nbsp;']","['1,618', '&nbsp;']","['1,998', '&nbsp;']","['2,359', '&nbsp;']","['1,916', '&nbsp;']","['2,052', '&nbsp;']","['2,585', '&nbsp;']","['2,728', '  ']","['2,591', '  ']","['2,547', '  ']","['3,009', '  ']"
2752,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '&nbsp;']","['13,094', '&nbsp;']","['12,672', '&nbsp;']","['13,319', '&nbsp;']","['14,716', '&nbsp;']","['15,113', '&nbsp;']","['13,437', '&nbsp;']","['16,547', '  ']","['23,130', '  ']","['27,553', '  ']","['27,805', '  ']"
2752,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['6,739', '&nbsp;']","['7,758', '&nbsp;']","['9,010', '&nbsp;']","['9,530', '&nbsp;']","['9,335', '&nbsp;']","['9,622', '&nbsp;']","['10,526', '&nbsp;']","['12,366', '  ']","['10,715', '  ']","['10,403', '  ']","['11,487', '  ']"
2752,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['5,958', '&nbsp;']","['5,181', '&nbsp;']","['5,719', '&nbsp;']","['4,383', '&nbsp;']","['4,773', '&nbsp;']","['5,967', '&nbsp;']","['5,848', 'i']","['3,542', '  ']","['2,839', '  ']","['2,482', '  ']","['2,609', '  ']"
2752,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['2,482', '&nbsp;']","['1,352', '&nbsp;']","['715', '&nbsp;']","['1,092', '&nbsp;']","['2,111', '&nbsp;']","['1,826', '&nbsp;']","['1,782', '&nbsp;']","['1,844', 'i ']","['1,660', '  ']","['1,977', '  ']","['2,151', '  ']"
2752,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['773', '&nbsp;']","['977', '&nbsp;']","['1,352', '&nbsp;']","['1,019', '&nbsp;']","['1,081', '&nbsp;']","['1,108', '&nbsp;']","['1,282', '&nbsp;']","['1,587', '  ']","['1,535', '  ']","['1,252', '  ']","['1,461', '  ']"
2752,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['29,911', '&nbsp;']","['26,118', '&nbsp;']","['29,457', '&nbsp;']","['32,354', '&nbsp;']","['38,109', '&nbsp;']","['40,001', '&nbsp;']","['41,125', '&nbsp;']","['39,810', '  ']","['40,585', '  ']","['41,053', '  ']","['43,956', '  ']"
2752,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['3,822', '&nbsp;']","['2,544', '&nbsp;']","['3,046', '&nbsp;']","['3,230', '&nbsp;']","['3,494', '&nbsp;']","['3,816', '&nbsp;']","['4,330', '&nbsp;']","['3,875', '  ']","['4,053', '  ']","['3,865', '  ']","['4,827', '  ']"
2752,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['1,845', '&nbsp;']","['2,229', '&nbsp;']","['2,417', '&nbsp;']","['2,161', '&nbsp;']","['2,337', '&nbsp;']","['2,564', '&nbsp;']","['2,424', '&nbsp;']","['2,033', '  ']","['2,614', '  ']","['2,378', '  ']","['3,052', '  ']"
2752,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['3,458', '&nbsp;']","['4,425', '&nbsp;']","['4,579', '&nbsp;']","['4,566', '&nbsp;']","['4,871', '&nbsp;']","['5,308', '&nbsp;']","['5,424', '&nbsp;']","['5,637', '  ']","['5,662', '  ']","['5,505', '  ']","['5,473', '  ']"
2752,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['4,687', '&nbsp;']","['4,229', '&nbsp;']","['4,500', '&nbsp;']","['4,768', '&nbsp;']","['4,773', '&nbsp;']","['5,272', '&nbsp;']","['5,501', '&nbsp;']","['5,313', '  ']","['5,905', '  ']","['6,177', '  ']","['5,456', '  ']"
2752,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['18,296', '&nbsp;']","['13,165', '&nbsp;']","['14,524', '&nbsp;']","['17,011', '&nbsp;']","['18,362', '&nbsp;']","['17,743', '&nbsp;']","['18,984', '&nbsp;']","['18,357', '  ']","['20,573', '  ']","['22,481', '  ']","['23,882', '  ']"
2752,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['70', '&nbsp;']","['96', '&nbsp;']","['190', '&nbsp;']","['73', '&nbsp;']","['98', 'i']","['107', 'i']","['104', '&nbsp;']","['160', '  ']","['118', '  ']","['47', '  ']","['99', '  ']"
2752,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['5,401', '&nbsp;']","['4,158', '&nbsp;']","['4,310', '&nbsp;']","['4,681', '&nbsp;']","['4,736', '&nbsp;']","['5,600', '&nbsp;']","['7,146', '&nbsp;']","['7,285', '  ']","['6,801', '  ']","['7,621', '  ']","['8,841', '  ']"
2752,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['4,053', '&nbsp;']","['7,390', '&nbsp;']","['4,430', '&nbsp;']","['4,512', '&nbsp;']","['4,716', 'i']","['4,373', '&nbsp;']","['4,221', '&nbsp;']","['4,859', '  ']","['5,639', '  ']","['4,671', '  ']","['6,458', '  ']"
2752,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['2,433', '&nbsp;']","['1,765', '&nbsp;']","['1,978', '&nbsp;']","['2,136', '&nbsp;']","['D', '&nbsp;']","['1,787', '&nbsp;']","['2,068', 'i']","['D', '&nbsp;']","['0 - 7,094', '  ']","['1,455', '  ']","['1,760', '  ']"
2752,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['1,222', '&nbsp;']","['1,135', '&nbsp;']","['1,825', '&nbsp;']","['1,752', '&nbsp;']","['3,121', '&nbsp;']","['3,270', '&nbsp;']","['2,980', '&nbsp;']","['3,482', '  ']","['3,047', '  ']","['3,239', '  ']","['2,037', '  ']"
2752,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['1,402', '&nbsp;']","['1,176', '&nbsp;']","['1,132', '&nbsp;']","['1,050', '&nbsp;']","['659', '&nbsp;']","['487', '&nbsp;']","['877', '&nbsp;']","['1,034', '  ']","['954', '  ']","['1,055', '  ']","['1,211', '  ']"
2752,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['195', '&nbsp;']","['83', '&nbsp;']","['177', '&nbsp;']","['165', '&nbsp;']","['237', '&nbsp;']","['224', '&nbsp;']","['363', '&nbsp;']","['310', '  ']","['224', '  ']","['251', '  ']","['213', '  ']"
2752,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['151', '&nbsp;']","['616', 'i']","['608', 'i']","['154', '&nbsp;']","['143', 'i']","['192', '&nbsp;']","['489', '&nbsp;']","['251', '  ']","['618', '  ']","['157', '  ']","['144', '  ']"
2752,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['199', '&nbsp;']","['194', '&nbsp;']","['186', '&nbsp;']","['234', '&nbsp;']","['197', '&nbsp;']","['231', '&nbsp;']","['283', '&nbsp;']","['320', '  ']","['335', '  ']","['355', '  ']","['429', '  ']"
2752,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['107', '&nbsp;']","['228', '&nbsp;']","['182', '&nbsp;']","['118', '&nbsp;']","['135', '&nbsp;']","['90', '&nbsp;']","['159', '&nbsp;']","['202', '  ']","['130', '  ']","['367', 'i ']","['491', 'i ']"
2752,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['176', '&nbsp;']","['135', '&nbsp;']","['232', '&nbsp;']","['367', '&nbsp;']","['437', '&nbsp;']","['425', '&nbsp;']","['361', '&nbsp;']","['430', '  ']","['478', '  ']","['505', '  ']","['521', '  ']"
2752,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['511', '&nbsp;']","['495', '&nbsp;']","['402', '&nbsp;']","['344', '&nbsp;']","['431', '&nbsp;']","['433', '&nbsp;']","['455', '&nbsp;']","['509', '  ']","['411', '  ']","['479', '  ']","['467', '  ']"
2752,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['11,587', '&nbsp;']","['11,457', '&nbsp;']","['13,226', '&nbsp;']","['13,701', '&nbsp;']","['14,259', '&nbsp;']","['15,264', '&nbsp;']","['14,317', '&nbsp;']","['15,145', '  ']","['15,939', '  ']","['17,055', '  ']","['16,801', '  ']"
2752,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['2,976', '&nbsp;']","['2,793', '&nbsp;']","['2,341', '&nbsp;']","['2,698', '&nbsp;']","['D', '&nbsp;']","['2,976', '&nbsp;']","['2,816', '&nbsp;']","['D', '  ']","['3,121', '  ']","['3,130', '  ']","['3,409', '  ']"
2752,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['449', '&nbsp;']","['923', 'i']","['714', '&nbsp;']","['711', '&nbsp;']","['1,277', 'i']","['589', '&nbsp;']","['516', '&nbsp;']","['1,551', '  ']","['637', '  ']","['448', '  ']","['826', 'i ']"
2752,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['257', '&nbsp;']","['365', 'i']","['348', '&nbsp;']","['605', '&nbsp;']","['699', 'i']","['327', '&nbsp;']","['209', '&nbsp;']","['484', '  ']","['219', '  ']","['273', '  ']","['322', '  ']"
2752,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['14', '&nbsp;']","['43', 'i']","['19', 'i']","['70', '&nbsp;']","['173', 'i']","['18', '&nbsp;']","['D', '&nbsp;']","['35', '  ']","['24', '  ']","['0 - 12,866', 'i ']","['89', 'i ']"
2752,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['NA', '&nbsp;']","['50', '&nbsp;']","['164', '&nbsp;']","['74', '&nbsp;']","['100', 'i']","['120', '&nbsp;']","['65', '&nbsp;']","['D', '  ']","['120', '  ']","['119', '  ']","['264', '  ']"
2752,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['NA', '&nbsp;']","['NA', '&nbsp;']","['753', '&nbsp;']","['D', '&nbsp;']","['1,749', '&nbsp;']","['1,284', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['8,200', 'i ']","['0 - 12,866', '  ']","['0 - 13,324', 'i ']"
2752,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['NA', '&nbsp;']","['319', '&nbsp;']","['211', '&nbsp;']","['111', '&nbsp;']","['199', '&nbsp;']","['377', '&nbsp;']","['412', '&nbsp;']","['229', 'i ']","['123', '  ']","['722', '  ']","['473', '  ']"
2752,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['D', '&nbsp;']","['14', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['90', '&nbsp;']","['348', '&nbsp;']","['D', '  ']","['394', '  ']","['425', '  ']","['452', '  ']"
2752,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['26', '&nbsp;']","['17', '&nbsp;']","['19', '&nbsp;']","['16', '&nbsp;']","['17', '&nbsp;']","['4', '&nbsp;']","['3', '&nbsp;']","['D', '  ']","['0', '  ']","['82', '  ']","['79', '  ']"
