table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019
5292,r022,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Computer and mathematical scientists,,4,581000,717000,744000,1048000,1039000,1168000
5292,r023,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Physical and related scientists,,4,82000,87000,83000,85000,98000,97000
5292,r024,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Social and related scientists,,4,205000,218000,249000,249000,235000,249000
5292,r025,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Master's,S&E occupations,Engineers,,4,443000,472000,456000,525000,548000,619000
5292,r026,"All college graduates, all degrees, all occupations -> Master's -> S&E-related occupations","All college graduates, all degrees, all occupations",Master's,S&E-related occupations,,,3,1208000,1765000,1945000,2064000,2262000,2332000
5292,r027,"All college graduates, all degrees, all occupations -> Master's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Master's,Non-S&E occupations,,,3,6063000,7709000,8093000,8749000,8929000,9540000
5292,r028,"All college graduates, all degrees, all occupations -> Doctorate","All college graduates, all degrees, all occupations",Doctorate,,,,2,1271000,1500000,1551000,1641000,1796000,2090000
5292,r029,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,,,3,605000,692000,724000,751000,786000,938000
5292,r030,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",,4,164000,199000,202000,207000,217000,254000
5292,r031,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,Computer and mathematical scientists,,4,95000,108000,112000,117000,150000,189000
5292,r032,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,Physical and related scientists,,4,94000,114000,112000,119000,101000,121000
5292,r033,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,Social and related scientists,,4,154000,173000,190000,201000,201000,235000
5292,r034,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,Engineers,,4,97000,97000,108000,107000,116000,139000
5292,r035,"All college graduates, all degrees, all occupations -> Doctorate -> S&E-related occupations","All college graduates, all degrees, all occupations",Doctorate,S&E-related occupations,,,3,123000,224000,236000,229000,267000,387000
5292,r036,"All college graduates, all degrees, all occupations -> Doctorate -> Non-S&E occupations","All college graduates, all degrees, all occupations",Doctorate,Non-S&E occupations,,,3,543000,584000,590000,662000,743000,765000
5292,r037,"All college graduates, all degrees, all occupations -> Professional","All college graduates, all degrees, all occupations",Professional,,,,2,2261000,2651000,2758000,2903000,3036000,2903000
5292,r038,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations","All college graduates, all degrees, all occupations",Professional,S&E occupations,,,3,49000,58000,64000,63000,67000,67000
5292,r039,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Professional,S&E occupations,"Biological, agricultural, and other life scientists",,4,17000,17000,14000,14000,15000,14000
5292,r040,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Professional,S&E occupations,Computer and mathematical scientists,,4,11000,7000,11000,13000,11000,14000
5292,r041,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Professional,S&E occupations,Physical and related scientists,,4,2000,0.05,1000,0.05,2000,2000
5292,r042,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Professional,S&E occupations,Social and related scientists,,4,17000,31000,35000,30000,37000,32000
5292,r043,"All college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Professional,S&E occupations,Engineers,,4,2000,1000,2000,5000,2000,5000
5292,r044,"All college graduates, all degrees, all occupations -> Professional -> S&E-related occupations","All college graduates, all degrees, all occupations",Professional,S&E-related occupations,,,3,1045000,1193000,1262000,1353000,1404000,1380000
5292,r045,"All college graduates, all degrees, all occupations -> Professional -> Non-S&E occupations","All college graduates, all degrees, all occupations",Professional,Non-S&E occupations,,,3,1167000,1399000,1433000,1487000,1565000,1456000
5292,r046,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",,,,2,4347000,5990000,6704000,7371000,8126000,8602000
5292,r047,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,,,3,1032000,1467000,1528000,1923000,1998000,2192000
5292,r048,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,4,105000,178000,184000,189000,199000,229000
5292,r049,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,4,490000,731000,804000,1078000,1135000,1263000
5292,r050,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,4,65000,82000,85000,101000,108000,93000
5292,r051,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,4,61000,80000,97000,117000,102000,112000
5292,r052,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E occupations,Engineers,,4,312000,395000,358000,438000,454000,495000
5292,r053,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",S&E-related occupations,,,3,842000,1302000,1467000,1356000,1630000,1802000
5292,r054,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Non-S&E occupations,,,3,2472000,3221000,3709000,4092000,4499000,4609000
5292,r055,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,,,3,2418000,3294000,3807000,4072000,4464000,4672000
5292,r056,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,4,408000,609000,621000,745000,829000,878000
5292,r057,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",5,16000,36000,35000,37000,38000,47000
5292,r058,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Computer and mathematical scientists,5,226000,363000,397000,476000,539000,591000
5292,r059,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Physical and related scientists,5,17000,16000,19000,22000,45000,22000
5292,r060,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Social and related scientists,5,10000,18000,15000,13000,22000,19000
5292,r061,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Engineers,5,139000,175000,154000,197000,184000,199000
5292,r062,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> S&E-related occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,S&E-related occupations,,4,422000,671000,764000,656000,768000,895000
5292,r063,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,4,1588000,2014000,2422000,2672000,2867000,2899000
5292,r064,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,,,3,1237000,1826000,1964000,2291000,2559000,2706000
5292,r065,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,,4,399000,562000,580000,842000,811000,873000
5292,r066,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,"Biological, agricultural, and other life scientists",5,16000,43000,42000,46000,46000,46000
5292,r067,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,Computer and mathematical scientists,5,217000,310000,343000,533000,505000,553000
5292,r068,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,Physical and related scientists,5,16000,20000,21000,24000,23000,20000
5292,r069,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,Social and related scientists,5,24000,28000,33000,58000,32000,40000
5292,r070,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E occupations,Engineers,5,126000,162000,141000,182000,203000,214000
5292,r071,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> S&E-related occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,S&E-related occupations,,4,157000,273000,340000,336000,443000,453000
5292,r072,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Master's -> Non-S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Master's,Non-S&E occupations,,4,681000,991000,1044000,1113000,1306000,1380000
5292,r073,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,,,3,351000,499000,498000,536000,599000,753000
5292,r074,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,,4,213000,279000,300000,318000,339000,420000
5292,r075,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",5,65000,90000,98000,97000,105000,127000
5292,r076,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Computer and mathematical scientists,5,45000,55000,59000,68000,88000,114000
5292,r077,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Physical and related scientists,5,31000,46000,44000,55000,40000,51000
5292,r078,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Social and related scientists,5,25000,32000,37000,39000,41000,48000
5292,r079,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E occupations,Engineers,5,47000,57000,62000,58000,65000,79000
5292,r080,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> S&E-related occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,S&E-related occupations,,4,34000,86000,79000,87000,103000,155000
5292,r081,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Doctorate -> Non-S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Doctorate,Non-S&E occupations,,4,104000,133000,119000,131000,157000,178000
5292,r082,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,,,3,340000,371000,435000,472000,504000,471000
5292,r083,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,,4,12000,17000,27000,18000,19000,21000
5292,r084,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,"Biological, agricultural, and other life scientists",5,7000,10000,10000,9000,9000,8000
5292,r085,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,Computer and mathematical scientists,5,2000,S,4000,2000,S,5000
5292,r086,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,Physical and related scientists,5,,,,,,
5292,r087,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,Social and related scientists,5,2000,3000,11000,6000,7000,5000
5292,r088,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E occupations,Engineers,5,,,,,,
5292,r089,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> S&E-related occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,S&E-related occupations,,4,230000,271000,283000,277000,316000,298000
5292,r090,"All college graduates, all degrees, all occupations -> Foreign-born college graduates, all degrees, all occupations -> Professional -> Non-S&E occupations","All college graduates, all degrees, all occupations","Foreign-born college graduates, all degrees, all occupations",Professional,Non-S&E occupations,,4,99000,83000,124000,177000,169000,152000
5292,r091,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",,,,2,28228000,34633000,37136000,38570000,40097000,41922000
5292,r092,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,,,3,3556000,3907000,4238000,4484000,4771000,5275000
5292,r093,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,4,316000,423000,454000,442000,412000,469000
5292,r094,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,4,1440000,1665000,1849000,2078000,2284000,2512000
5292,r095,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,4,233000,245000,239000,230000,258000,316000
5292,r096,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,4,416000,438000,499000,453000,544000,551000
5292,r097,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E occupations,Engineers,,4,1150000,1136000,1196000,1281000,1274000,1427000
5292,r098,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",S&E-related occupations,,,3,4313000,5665000,6041000,6511000,6642000,7092000
5292,r099,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Non-S&E occupations,,,3,20358000,25061000,26857000,27574000,28684000,29556000
5292,r100,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,,,3,17947000,22060000,23995000,24437000,25667000,26701000
5292,r101,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,4,2121000,2372000,2667000,2773000,3018000,3298000
5292,r102,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",5,130000,198000,229000,204000,192000,230000
5292,r103,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Computer and mathematical scientists,5,1017000,1201000,1388000,1502000,1680000,1812000
5292,r104,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Physical and related scientists,5,102000,110000,108000,104000,119000,168000
5292,r105,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Social and related scientists,5,92000,78000,109000,77000,150000,128000
5292,r106,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Engineers,5,781000,785000,833000,886000,876000,959000
5292,r107,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> S&E-related occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,S&E-related occupations,,4,2358000,3113000,3301000,3566000,3570000,3899000
5292,r108,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,4,13469000,16575000,18028000,18098000,19079000,19504000
5292,r109,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,,,3,7440000,9292000,9764000,10597000,10701000,11452000
5292,r110,"All college graduates, all degrees, all occupations -> U.S.-born college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations","U.S.-born college graduates, all degrees, all occupations",Master's,S&E occupations,,4,1006000,1082000,1110000,1233000,1258000,1413000
