table_id,row_id,2020,2021,table_title
7658,r001,Trends in research doctorate recipient characteristics ,,
7658,r002,Table 1,Table 1-1,Research doctorate recipients from U.S. colleges and universities: 1958–2021
7658,r003,Table 11,Table 1-2,"Research doctorate recipients, by historical broad field of doctorate and 2018 Carnegie Classification of doctorate institution: 2011–21"
7658,r004,Table 12,Table 1-3,"Research doctorate recipients, by historical major field of doctorate: Selected years, 1991–2021"
7658,r005,Table 14,Table 1-4,"Research doctorate recipients, by historical broad field of doctorate and sex: Selected years, 1991–2021"
7658,r006,Table 15,Table 1-5,"Research doctorate recipients, by historical major field of doctorate and sex: 2011–21"
7658,r007,Table 17,Table 1-6,"Research doctorate recipients, by historical broad field of doctorate and citizenship status: Selected years, 1976–2021"
7658,r008,Table 18,Table 1-7,"Research doctorate recipients, by historical major field of doctorate and citizenship status: 2011–21"
7658,r009,Table 19,Table 1-8,"Research doctorate recipients, by ethnicity, race, and citizenship status: 2011–21"
7658,r010,Table 20,Table 1-9,"Male research doctorate recipients, by ethnicity, race, and citizenship status: 2011–21"
7658,r011,Table 21,Table 1-10,"Female research doctorate recipients, by ethnicity, race, and citizenship status: 2011–21"
7658,r012,Table 23,Table 1-11,"U.S. citizen and permanent resident research doctorate recipients, by historical broad field of doctorate, ethnicity, and race: Selected years, 1976–2021"
7658,r013,Table 31,Table 1-12,"Median years to research doctorate, by historical major field of doctorate: Selected years, 1971–2021"
7658,r014,Table 39,Table 1-13,"Education-related debt of research doctorate recipients, by historical broad field of doctorate: 2011–21"
7658,r015,Table 34,Table 1-14,Highest educational attainment of either parent of research doctorate recipients: 1970–2021
7658,r016,Trends in postgraduation commitments of research doctorate recipients,,
7658,r017,Table 42,Table 2-1,"Postgraduation commitment of research doctorate recipients, by historical broad field of doctorate: Selected years, 1991–2021"
7658,r018,Table 43,Table 2-2,"Postgraduation commitment of research doctorate recipients, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021"
7658,r019,Table 44,Table 2-3,"Postgraduation plans of research doctorate recipients with definite commitments, by historical broad field of doctorate: Selected years, 1991–2021"
7658,r020,Table 45,Table 2-4,"Postgraduation plans of research doctorate recipients with definite commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021"
7658,r021,Table 50,Table 2-5,"Sources of support for research doctorate recipients with postdoctoral training commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021"
7658,r022,Table 46,Table 2-6,"Employment sector of research doctorate recipients with definite postgraduation commitments for employment in the United States, by historical broad field of doctorate: Selected years, 1991–2021"
7658,r023,Table 47,Table 2-7,"Employment sector of research doctorate recipients with definite postgraduation commitments for employment in the United States, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021"
7658,r024,Table 53,Table 2-8,"Research doctorate recipients with temporary visas intending to stay in the United States after doctorate receipt, by country or economy of citizenship: 2015–21"
7658,r025,Field and demographic characteristics of research doctorate recipients,,
7658,r026,Table 13,Table 3-1,"Research doctorate recipients, by detailed field of doctorate: 2021"
7658,r027,Table 16,Table 3-2,"Research doctorate recipients, by detailed field of doctorate and sex: 2021"
7658,r028,Table 22,Table 3-3,"Research doctorate recipients, by detailed field of doctorate, citizenship status, ethnicity, and race: 2021"
7658,r029,Table 24,Table 3-4,"U.S. citizen and permanent resident research doctorate recipients, by major field of doctorate, ethnicity, and race: 2021"
7658,r030,Table 32,Table 3-5,"Median years to science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r031,Table 32,Table 3-6,"Median years to non-science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r032,Table 27,Table 3-7,"Median age and age distribution of research doctorate recipients, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2021"
7658,r033,Financial support and education-related debt of research doctorate recipients,,
7658,r034,Table 35,Table 4-1,"Research doctorate recipients' primary source of financial support, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2021"
7658,r035,Table 36,Table 4-2,"Research doctorate recipients' sources of financial support, by broad field of doctorate and sex: 2021"
7658,r036,Table 37,Table 4-3,"Research doctorate recipients' sources of financial support, by sex and broad field of doctorate: 2021"
7658,r037,Table 38,Table 4-4,"Education-related debt of research doctorate recipients, by broad field of doctorate: 2021"
7658,r038,Table 40,Table 4-5,"Education-related debt of research doctorate recipients, by sex, citizenship status, ethnicity, and race: 2021"
7658,r039,Table 41,Table 4-6,"U.S. citizen and permanent resident research doctorate recipients with graduate education-related debt, by ethnicity, race, and broad field of doctorate: 2021"
7658,r040,Educational and background characteristics of research doctorate recipients,,
7658,r041,Table 30,Table 5-1,"Research doctorate recipients who attended community college, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r042,New,Table 5-2 ,"Research doctorate recipients who earned a bachelor's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r043,Table 29,Table 5-3,"Research doctorate recipients who earned a master's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r044,New,Table 5-4,"Baccalaureate-origin institution characteristics of research doctorate recipients, by broad field of doctorate: 2021"
7658,r045,Table 33,Table 5-5,"Educational attainment of research doctorate recipients' parents, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021"
7658,r046,Table 28,Table 5-6,"Research doctorate recipients reporting one or more functional limitations, by broad field of doctorate, sex, and citizenship status: 2021"
7658,r047,Postgraduation commitments and salaries of research doctorate recipients,,
7658,r048,Table 51,Table 6-1,"Research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021"
7658,r049,Table 51,Table 6-2,"U.S. citizen and permanent resident research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021"
7658,r050,Table 51,Table 6-3,"Temporary visa holding research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021"
7658,r051,Table 52,Table 6-4,"Female research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021"
7658,r052,Table 52,Table 6-5,"Male research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021"
7658,r053,Table 48,Table 6-6,"Median basic annual salary for research doctorate recipients with definite postgraduation plans in the United States, by broad field of doctorate, type of postgraduation plans, and sex: 2021"
7658,r054,Table 49,Table 6-7,"Median basic annual salary for research doctorate recipients with definite postgraduation plans for employment in the United States, by broad field of doctorate and employment sector: 2021"
7658,r055,"Doctorate institutions, locations, and countries of origins of research doctorate recipients",,
7658,r056,Table 2,Table 7-1,Doctorate-granting institutions and research doctorate recipients per institution: 1973–2021
7658,r057,Table 3,Table 7-2,"Top 50 doctorate-granting institutions ranked by total number of research doctorate recipients, by sex: 2021"
7658,r058,Table 4,Table 7-3,"Top 20 doctorate-granting institutions ranked by total number of research doctorate recipients, by broad field of doctorate and sex: 2021"
7658,r059,Table 9,Table 7-4,"Top 20 doctorate-granting institutions ranked by number of minority U.S. citizen and permanent resident research doctorate recipients, by ethnicity and race: 5-year total, 2017–21"
7658,r060,Table 10,Table 7-5,"Top 20 doctorate-granting institutions, ranked by number of research doctorate recipients holding temporary visas: 2021"
7658,r061,Table 5,Table 7-6,"State or location of doctorate institution ranked by total number of research doctorate recipients, by field of doctorate and sex: 2021"
7658,r062,Table 26,Table 7-7,"Top 10 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by country or economy of citizenship and field of doctorate: 2011–21"
7658,r063,Table 25,Table 7-8,"Top 40 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by number of doctorate recipients: 2021"
7658,r064,New,Table 7-9,"Top 20 baccalaureate-origin institutions ranked by 2018 Carnegie Classification category and total number of research doctorate recipients, by field of doctorate: 2021"
7658,r065,Table 6,Table 7-10,"Research doctorate recipients, by state or location of doctorate institution and broad field of doctorate: 2021"
7658,r066,Statistical profiles of research doctorate recipients,,
7658,r067,Table 54,Table 8-1,"Science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2021"
7658,r068,Table 54,Table 8-2,"Non-science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2021"
7658,r069,Table 56,Table 8-3,"Agricultural sciences and natural resources research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r070,Table 56,Table 8-4,"Biological and biomedical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r071,Table 60,Table 8-5,"Computer and information sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r072,Table 64,Table 8-6,"Engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r073,Table 58,Table 8-7,"Geosciences, atmospheric, and ocean sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r074,Table 56,Table 8-8,"Health sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r075,Table 60,Table 8-9,"Mathematics and statistics research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r076,New,Table 8-10,"Multidisciplinary/ interdisciplinary sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r077,Table 58,Table 8-11,"Physical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r078,Table 62,Table 8-12,"Psychology research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r079,Table 63,Table 8-13,"Social sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r080,Table 66,Table 8-14,"Education research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r081,Table 68,Table 8-15,"Humanities research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r082,Table 70,Table 8-16,"Business research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r083,Table 70,Table 8-17,"Visual and performing arts research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r084,Table 70,Table 8-18,"Other non-science and engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2021"
7658,r085,Table 72,Table 8-19,"Statistical profile of research doctorate recipients, by ethnicity, race, and citizenship status: 2021"
7658,r086,Postgraduation plans of research doctorate recipients,,
7658,r087,Table 55,Table 9-1,"Science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2021"
7658,r088,Table 55,Table 9-2,"Non-science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2021"
7658,r089,Table 57,Table 9-3,"Agricultural sciences and natural resources research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r090,Table 57,Table 9-4,"Biological and biomedical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r091,Table 61,Table 9-5,"Computer and information sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r092,Table 65,Table 9-6,"Engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r093,Table 59,Table 9-7,"Geosciences, atmospheric, and ocean sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r094,Table 57,Table 9-8,"Health sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r095,Table 61,Table 9-9,"Mathematics and statistics research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r096,New,Table 9-10,"Multidisciplinary/ interdisciplinary sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r097,Table 59,Table 9-11,"Physical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r098,Table 62,Table 9-12,"Psychology research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r099,Table 63,Table 9-13,"Social sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r100,Table 67,Table 9-14,"Education research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r101,Table 69,Table 9-15,"Humanities research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r102,Table 71,Table 9-16,"Business research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r103,Table 71,Table 9-17,"Visual and performing arts research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r104,Table 71,Table 9-18,"Other non-science and engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021"
7658,r105,Table 72,Table 9-19,"Postgraduation plans of research doctorate recipients, by ethnicity, race, and citizenship status: 2021"
7658,r106,Technical tables,,
7658,r107,Table A-2,Table A-1,Research doctoral degrees included in the Survey of Earned Doctorates: 2017–21
7658,r108,Table A-3,Table A-2,Survey response rates: 1970–2021
7658,r109,Table A-4,Table A-3,Item response rates: 2011–21
