table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_fields,field_all_s_e_fields,field_engineering,field_agricultural_sciences,field_biological_sciences,field_computer_sciences,field_earth_atmospheric_and_ocean_sciences,field_mathematics,field_medical_and_other_health_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_non_s_e
5773,r001,All doctorate recipients,All doctorate recipients,,,,1,6.2,5.7,3.4,7.7,4.2,6.4,5.6,5.3,11.0,4.1,7.4,7.0,7.6
5773,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,
5773,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,6.1,5.6,3.6,10.9,4.4,6.9,6.1,5.9,11.7,4.3,8.5,7.4,7.6
5773,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,6.3,5.8,2.9,5.1,4.1,5.0,5.0,3.6,10.7,3.6,7.0,6.7,7.5
5773,r005,All doctorate recipients -> Ethnicity and race,All doctorate recipients,Ethnicity and race,,,2,,,,,,,,,,,,,
5773,r006,All doctorate recipients -> Ethnicity and race -> Hispanic or Latino,All doctorate recipients,Ethnicity and race,Hispanic or Latino,,3,9.9,9.0,3.1,14.8,9.2,s,s,s,9.2,7.0,11.5,11.7,12.1
5773,r007,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,,,
5773,r008,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native,4,11.3,12.3,0.0,s,s,0.0,0.0,0.0,s,0.0,0.0,s,s
5773,r009,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Asian,4,2.7,2.8,2.1,s,2.4,s,s,4.2,4.7,s,5.2,s,s
5773,r010,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,9.9,11.0,6.8,12.8,s,23.1,0.0,0.0,19.5,s,10.7,12.3,8.3
5773,r011,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,White,4,5.9,5.3,3.5,6.8,3.9,6.0,5.3,5.4,10.7,3.8,6.7,6.1,7.5
5773,r012,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,More than one race,4,7.0,7.2,3.9,s,4.7,s,s,s,s,8.7,9.0,9.2,6.6
5773,r013,All doctorate recipients -> Ethnicity and race -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race,Not Hispanic or Latino,Other race or race not reported,4,5.7,5.7,4.3,0.0,4.8,7.7,20.0,0.0,7.7,0.0,3.2,12.8,5.5
5773,r014,All doctorate recipients -> Ethnicity and race -> Ethnicity not reported,All doctorate recipients,Ethnicity and race,Ethnicity not reported,,3,3.4,3.3,0.0,0.0,2.5,20.0,20.0,11.1,6.5,0.0,0.0,4.8,3.8
