table_id,row_id,sex_ethnicity_race_disability_status_and_field_full_path,sex_ethnicity_race_disability_status_and_field_level_1,sex_ethnicity_race_disability_status_and_field_level_2,sex_ethnicity_race_disability_status_and_field_level_3,sex_ethnicity_race_disability_status_and_field_level_4,sex_ethnicity_race_disability_status_and_field_hierarchy_depth,field_total_number_,field_all_institutions,field_doctoral_highest_research,field_doctoral_higher_research,field_doctoral_moderate_research,field_medical_schools_and_centers,field_other_or_unknown_carnegie_group
1228,r001,All S&E doctorate recipients<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,,,,1,24025,100.0,77.0,14.2,3.7,2.9,2.2
1228,r002,All S&E doctorate recipients<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Male,,,2,13094,100.0,79.6,13.3,2.9,2.3,1.8
1228,r003,All S&E doctorate recipients<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Female,,,2,10930,100.0,73.9,15.2,4.7,3.5,2.7
1228,r004,All S&E doctorate recipients<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,,2,1674,100.0,75.4,13.3,3.4,5.1,2.8
1228,r005,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,,,2,,,,,,,
1228,r006,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,,3,62,100.0,58.1,24.2,11.3,,
1228,r007,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Asian,,3,2745,100.0,83.0,8.8,2.4,3.7,2.1
1228,r008,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Black or African American,,3,1215,100.0,57.0,22.6,13.1,4.2,3.1
1228,r009,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,White,,3,16721,100.0,77.4,14.7,3.4,2.5,2.0
1228,r010,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,More than one race,,3,712,100.0,80.5,12.1,2.0,,
1228,r011,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,,3,308,100.0,81.8,10.7,2.6,1.9,2.9
1228,r012,All S&E doctorate recipients<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Ethnicity not reported,,,2,588,100.0,79.8,13.6,3.1,1.4,2.2
1228,r013,All S&E doctorate recipients<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Without disability,,,2,20076,100.0,77.6,14.1,3.5,3.1,1.8
1228,r014,All S&E doctorate recipients<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,With disability,,,2,1788,100.0,76.6,14.2,4.7,2.6,1.8
1228,r015,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,,,2,19732,100.0,75.7,14.4,4.2,3.4,2.4
1228,r016,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Male,,3,9886,100.0,78.4,13.4,3.2,3.0,2.0
1228,r017,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Female,,3,9845,100.0,73.0,15.3,5.1,3.8,2.9
1228,r018,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,3,1391,100.0,74.3,12.7,,,3.1
1228,r019,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
1228,r020,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,4,52,100.0,,,,,
1228,r021,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Asian,4,2022,100.0,81.2,9.2,,,2.6
1228,r022,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1046,100.0,54.7,22.6,,4.9,
1228,r023,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,White,4,13935,100.0,76.3,14.8,3.7,2.9,2.3
