table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_expensed_machinery_and_equipment,field_materials_and_supplies,field_payments_to_others_for_r_d,field_depreciation_on_r_d_property_and_equipment,field_all_other_costs
7893,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['6,743,889', '&nbsp;']","['3,511,467', '&nbsp;']","['257,555', '&nbsp;']","['679,075', '&nbsp;']","['1,143,221', '&nbsp;']","['69,798', '&nbsp;']","['1,082,773', '&nbsp;']"
7893,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['752,930', '&nbsp;']","['369,692', '&nbsp;']","['32,106', '&nbsp;']","['100,275', '&nbsp;']","['125,543', '&nbsp;']","['17,732', '&nbsp;']","['107,583', '&nbsp;']"
7893,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['18,708', 'r']","['6,677', '&nbsp;']","['669', '&nbsp;']","['1,278', '&nbsp;']","['9,094', 'r']","['55', 'r']","['935', '&nbsp;']"
7893,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['472', 'r']","['445', 'r']","['0', '&nbsp;']","['16', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['11', 'r']"
7893,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7893,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7893,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7893,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7893,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['190,274', '&nbsp;']","['91,284', '&nbsp;']","['8,429', '&nbsp;']","['31,352', '&nbsp;']","['30,242', '&nbsp;']","['3,737', '&nbsp;']","['25,228', '&nbsp;']"
7893,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['97,887', '&nbsp;']","['35,728', '&nbsp;']","['3,794', '&nbsp;']","['19,743', '&nbsp;']","['20,833', '&nbsp;']","['1,994', '&nbsp;']","['15,795', '&nbsp;']"
7893,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['92,387', '&nbsp;']","['55,555', '&nbsp;']","['4,635', '&nbsp;']","['11,609', '&nbsp;']","['9,410', '&nbsp;']","['1,743', '&nbsp;']","['9,433', '&nbsp;']"
