table_id,row_id,time_period,all_scientists_and_engineers_employed_in_all_three_surveys_level_1,all_scientists_and_engineers_employed_in_all_three_surveys_level_2,all_scientists_and_engineers_employed_in_all_three_surveys_level_3,all_scientists_and_engineers_employed_in_all_three_surveys_hierarchy_depth,value
6339,r001,Total,All scientists and engineers employed in all three surveys,Number,,2,745400
6339,r002,Total,All scientists and engineers employed in all three surveys,SE,,2,1950
6339,r003,Total,Employment sector changes (number),0,Total,3,601500
6339,r004,Total,Employment sector changes (number),0,SE,3,2350
6339,r005,Total,Employment sector changes (number),1,Total,3,102900
6339,r006,Total,Employment sector changes (number),1,SE,3,1575
6339,r007,Total,Employment sector changes (number),2,Total,3,41050
6339,r008,Total,Employment sector changes (number),2,SE,3,1300
6339,r009,Total,Employment sector changes (%),0,Percent,3,80.69
6339,r010,Total,Employment sector changes (%),0,SE,3,0.25
6339,r011,Total,Employment sector changes (%),1,Percent,3,13.8
6339,r012,Total,Employment sector changes (%),1,SE,3,0.25
6339,r013,Total,Employment sector changes (%),2,Percent,3,5.51
6339,r014,Total,Employment sector changes (%),2,SE,3,0.2
6339,r015,Total -> Gender -> Male,All scientists and engineers employed in all three surveys,Number,,2,494200
6339,r016,Total -> Gender -> Male,All scientists and engineers employed in all three surveys,SE,,2,1650
6339,r017,Total -> Gender -> Male,Employment sector changes (number),0,Total,3,406750
6339,r018,Total -> Gender -> Male,Employment sector changes (number),0,SE,3,2000
6339,r019,Total -> Gender -> Male,Employment sector changes (number),1,Total,3,62000
6339,r020,Total -> Gender -> Male,Employment sector changes (number),1,SE,3,1200
6339,r021,Total -> Gender -> Male,Employment sector changes (number),2,Total,3,25500
6339,r022,Total -> Gender -> Male,Employment sector changes (number),2,SE,3,975
6339,r023,Total -> Gender -> Male,Employment sector changes (%),0,Percent,3,82.3
6339,r024,Total -> Gender -> Male,Employment sector changes (%),0,SE,3,0.3
6339,r025,Total -> Gender -> Male,Employment sector changes (%),1,Percent,3,12.54
6339,r026,Total -> Gender -> Male,Employment sector changes (%),1,SE,3,0.25
