table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_number_yes,field_product_or_business_process_innovation_number_no,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no
7426,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['4,857,473', '&nbsp;']","['1,230,217', '&nbsp;']","['3,627,256', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']"
7426,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7426,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['4,211,009', '&nbsp;']","['1,033,857', '&nbsp;']","['3,177,152', '&nbsp;']","['24.6', '&nbsp;']","['75.4', '&nbsp;']"
7426,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['489,653', '&nbsp;']","['148,137', '&nbsp;']","['341,516', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']"
7426,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['100,341', '&nbsp;']","['30,770', '&nbsp;']","['69,571', '&nbsp;']","['30.7', '&nbsp;']","['69.3', '&nbsp;']"
7426,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['22,785', '&nbsp;']","['5,678', '&nbsp;']","['17,107', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']"
7426,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['6,733', '&nbsp;']","['1,747', '&nbsp;']","['4,986', '&nbsp;']","['25.9', '&nbsp;']","['74.1', '&nbsp;']"
7426,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7426,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['288,123', '&nbsp;']","['88,542', '&nbsp;']","['199,581', '&nbsp;']","['30.7', '&nbsp;']","['69.3', '&nbsp;']"
7426,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['41,701', '&nbsp;']","['12,151', '&nbsp;']","['29,550', '&nbsp;']","['29.1', '&nbsp;']","['70.9', '&nbsp;']"
7426,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['4,493,855', '&nbsp;']","['1,118,953', '&nbsp;']","['3,374,902', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']"
7426,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7426,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['892,394', '&nbsp;']","['270,287', '&nbsp;']","['622,107', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']"
7426,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['397,777', '&nbsp;']","['120,995', '&nbsp;']","['276,782', '&nbsp;']","['30.4', '&nbsp;']","['69.6', '&nbsp;']"
7426,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['74,035', '&nbsp;']","['22,404', '&nbsp;']","['51,631', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']"
7426,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['3,857,251', '&nbsp;']","['926,953', '&nbsp;']","['2,930,298', '&nbsp;']","['24.0', '&nbsp;']","['76.0', '&nbsp;']"
7426,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['33,792', '&nbsp;']","['10,574', '&nbsp;']","['23,218', '&nbsp;']","['31.3', '&nbsp;']","['68.7', '&nbsp;']"
