table_id,row_id,financial_resource_full_path,financial_resource_level_1,financial_resource_level_2,financial_resource_level_3,financial_resource_hierarchy_depth,field_all_fields_male,field_all_fields_female,field_life_sciencesa_male,field_life_sciencesa_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherb_male,field_otherb_female
2833,r001,Unduplicated total<sup>c</sup>,Unduplicated total<sup>c</sup>,,,1,26843,22632,5285,6352,3974,2020,2827,971,3195,4671,6996,2194,1252,2820,2144,2241,1170,1363
2833,r002,Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,2,63.7,68.0,68.1,70.5,59.9,68.2,56.4,63.5,72.4,69.6,58.4,66.5,44.2,49.3,83.9,85.5,66.2,65.7
2833,r003,Unduplicated total<sup>c</sup> -> Dissertation grant,Unduplicated total<sup>c</sup>,Dissertation grant,,2,14.6,22.1,12.5,17.5,9.1,11.6,6.0,9.7,30.5,33.4,7.2,10.0,13.2,15.9,40.1,45.4,18.7,23.6
2833,r004,Unduplicated total<sup>c</sup> -> Assistantship,Unduplicated total<sup>c</sup>,Assistantship,,2,,,,,,,,,,,,,,,,,,
2833,r005,Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Unduplicated total<sup>c</sup>,Assistantship,Teaching,3,70.2,66.3,53.0,53.1,86.4,86.2,83.1,86.1,79.0,75.5,65.6,67.1,40.3,39.8,86.3,89.9,68.5,67.6
2833,r006,Unduplicated total<sup>c</sup> -> Assistantship -> Research,Unduplicated total<sup>c</sup>,Assistantship,Research,3,70.7,61.7,66.6,63.2,88.9,87.1,73.4,67.8,60.0,62.0,84.6,84.8,37.3,37.5,37.8,39.8,62.3,61.3
2833,r007,Unduplicated total<sup>c</sup> -> Assistantship -> Other,Unduplicated total<sup>c</sup>,Assistantship,Other,3,7.4,10.8,4.8,6.0,4.7,6.6,5.5,4.8,12.5,16.8,5.5,5.3,14.2,16.9,15.4,15.2,8.5,11.3
2833,r008,Unduplicated total<sup>c</sup> -> Traineeship,Unduplicated total<sup>c</sup>,Traineeship,,2,3.6,5.2,11.4,11.6,1.7,3.0,1.0,0.9,2.9,4.1,2.0,4.3,0.6,1.3,0.7,0.9,0.9,1.2
2833,r009,Unduplicated total<sup>c</sup> -> Internship or clinical residency,Unduplicated total<sup>c</sup>,Internship or clinical residency,,2,10.2,10.2,4.0,4.3,5.6,7.0,24.8,23.5,12.1,23.0,15.0,14.8,5.0,5.0,3.0,3.4,3.8,4.0
2833,r010,Unduplicated total<sup>c</sup> -> Loan (any source),Unduplicated total<sup>c</sup>,Loan (any source),,2,21.3,30.3,19.8,24.3,12.8,11.0,11.6,9.7,38.0,43.6,10.8,9.8,50.0,49.3,38.6,38.8,34.2,36.5
2833,r011,Unduplicated total<sup>c</sup> -> Personal sources,Unduplicated total<sup>c</sup>,Personal sources,,2,,,,,,,,,,,,,,,,,,
2833,r012,Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Unduplicated total<sup>c</sup>,Personal sources,Savings,3,49.1,56.1,46.6,52.6,38.0,41.8,42.4,42.1,63.1,65.4,42.7,41.3,68.3,66.0,62.9,62.5,67.9,65.1
2833,r013,Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,3,26.7,37.2,23.2,30.2,15.8,16.8,20.4,18.8,41.6,46.4,16.1,14.9,57.0,59.4,54.5,55.6,33.2,41.9
2833,r014,"Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,2,36.5,47.9,34.5,43.7,28.4,34.2,31.5,37.5,47.1,57.9,32.2,37.1,42.9,51.7,52.5,55.9,46.3,56.5
2833,r015,Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,2,10.7,12.5,9.9,12.4,7.5,6.8,10.6,10.5,10.2,8.9,9.3,7.5,30.5,29.3,9.7,8.0,15.6,15.4
2833,r016,Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,2,8.5,6.3,7.2,6.3,5.8,4.9,9.2,8.5,8.9,5.7,11.1,8.1,6.0,4.1,7.6,7.3,9.9,8.0
2833,r017,Unduplicated total<sup>c</sup> -> Other ,Unduplicated total<sup>c</sup>,Other ,,2,1.1,1.4,1.2,1.2,0.4,0.9,0.7,0.9,2.0,1.8,0.5,0.6,2.4,1.7,1.9,1.4,1.9,1.6
