table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_higher_education_pass_through_entities,field_total_from_businesses,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_higher_education_pass_through_entities,field_federally_financed_from_businesses,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
12723,r001,United States,United States,,,,1,"['10,626,607', '']","['5,276,187', '']","['1,528,445', '']","['2,173,477', '']","['1,648,498', '']","['9,292,657', '']","['4,818,870', '']","['1,269,034', '']","['1,750,269', '']","['1,454,484', '']"
12723,r002,United States -> Alabama,United States,Alabama,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['2,024', '']","['1,866', '']","['120', '']","['38', '']","['0', '']","['2,024', '']","['1,866', '']","['120', '']","['38', '']","['0', '']"
12723,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['353', '']","['353', '']","['0', '']","['0', '']","['0', '']","['353', '']","['353', '']","['0', '']","['0', '']","['0', '']"
12723,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['46,569', 'i']","['13,435', 'i']","['11,909', 'i']","['1,113', 'i']","['20,112', 'i']","['43,484', '']","['12,302', '']","['11,421', '']","['609', '']","['19,152', '']"
12723,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['667', '']","['396', '']","['0', '']","['0', '']","['271', '']","['395', '']","['157', '']","['0', '']","['0', '']","['238', '']"
12723,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['53,138', '']","['35,767', '']","['6,363', '']","['6,459', '']","['4,549', '']","['53,138', '']","['35,767', '']","['6,363', '']","['6,459', '']","['4,549', '']"
12723,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['52,160', '']","['6,210', '']","['40,797', '']","['1,757', '']","['3,396', '']","['50,491', '']","['6,119', '']","['40,066', '']","['1,458', '']","['2,848', '']"
12723,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['29,912', '']","['10,520', '']","['7,681', '']","['3,723', '']","['7,988', '']","['29,222', '']","['10,194', '']","['7,609', '']","['3,603', '']","['7,816', '']"
12723,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['11,498', '']","['6,971', '']","['913', '']","['423', '']","['3,191', '']","['10,085', '']","['6,971', '']","['257', '']","['258', '']","['2,599', '']"
12723,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['2,053', '']","['1,632', '']","['37', '']","['367', '']","['17', '']","['2,053', '']","['1,632', '']","['37', '']","['367', '']","['17', '']"
12723,r014,United States -> Alaska,United States,Alaska,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['1,570', '']","['881', '']","['17', '']","['198', '']","['474', '']","['1,514', '']","['840', '']","['17', '']","['198', '']","['459', '']"
12723,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['11,917', '']","['5,102', '']","['568', '']","['4,328', '']","['1,919', '']","['10,653', '']","['4,784', '']","['568', '']","['3,448', '']","['1,853', '']"
12723,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['282', '']","['99', '']","['0', '']","['183', '']","['0', '']","['247', '']","['99', '']","['0', '']","['148', '']","['0', '']"
12723,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['348', '']","['348', '']","['0', '']","['0', '']","['0', '']","['348', '']","['348', '']","['0', '']","['0', '']","['0', '']"
12723,r021,United States -> Arizona,United States,Arizona,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['124,442', '']","['34,846', '']","['17,020', '']","['57,189', '']","['15,387', '']","['70,843', '']","['31,443', '']","['13,275', '']","['12,043', '']","['14,082', '']"
12723,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['29', '']","['29', '']","['0', '']","['0', '']","['0', '']","['29', '']","['29', '']","['0', '']","['0', '']","['0', '']"
12723,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['8,872', '']","['7,209', '']","['522', '']","['1,069', '']","['72', '']","['8,850', '']","['7,208', '']","['522', '']","['1,069', '']","['51', '']"
12723,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['90,945', '']","['37,800', '']","['15,966', '']","['26,589', '']","['10,590', '']","['79,097', '']","['34,773', '']","['11,234', '']","['22,579', '']","['10,511', '']"
12723,r027,United States -> Arkansas,United States,Arkansas,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r028,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r029,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['1,569', '']","['953', '']","['49', '']","['0', '']","['567', '']","['1,332', '']","['716', '']","['49', '']","['0', '']","['567', '']"
12723,r030,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['19,615', 'i']","['5,635', 'i']","['3,494', 'i']","['4,062', 'i']","['6,424', 'i']","['16,933', '']","['4,873', '']","['2,927', '']","['3,147', '']","['5,986', '']"
12723,r031,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['19,013', '']","['10,104', '']","['2,084', '']","['1,341', '']","['5,484', '']","['17,379', '']","['9,372', '']","['2,030', '']","['851', '']","['5,126', '']"
12723,r032,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['2,975', '']","['1,498', '']","['0', '']","['0', '']","['1,477', '']","['2,975', '']","['1,498', '']","['0', '']","['0', '']","['1,477', '']"
12723,r033,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['397', '']","['387', '']","['0', '']","['0', '']","['10', '']","['391', '']","['381', '']","['0', '']","['0', '']","['10', '']"
12723,r034,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['2,132', '']","['1,292', '']","['96', '']","['16', '']","['728', '']","['1,633', '']","['987', '']","['87', '']","['16', '']","['543', '']"
12723,r035,United States -> California,United States,California,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r036,United States -> California -> Public,United States,California,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12723,r037,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['4,386', '']","['1,728', '']","['901', '']","['805', '']","['952', '']","['3,799', '']","['1,494', '']","['833', '']","['641', '']","['831', '']"
12723,r038,"United States -> California -> Public -> California State Polytechnic U., Humboldt",United States,California,Public,"California State Polytechnic U., Humboldt",4,"['3,120', '']","['1,640', '']","['285', '']","['571', '']","['624', '']","['1,631', '']","['712', '']","['45', '']","['279', '']","['595', '']"
12723,r039,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['1,675', '']","['1,011', '']","['215', '']","['53', '']","['396', '']","['1,467', '']","['922', '']","['215', '']","['0', '']","['330', '']"
