table_id,row_id,_b_type_of_cost_b_full_path,_b_type_of_cost_b_level_1,_b_type_of_cost_b_level_2,_b_type_of_cost_b_level_3,_b_type_of_cost_b_level_4,_b_type_of_cost_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
5365,r001,All costs,All costs,,,,1,86296178,120807,0.1
5365,r002,All costs -> Direct costs,All costs,Direct costs,,,2,66514804,2639031,4.0
5365,r003,"All costs -> Direct costs -> Salaries, wages, and fringe benefits",All costs,Direct costs,"Salaries, wages, and fringe benefits",,3,38703867,350677,0.9
5365,r004,All costs -> Direct costs -> Software purchases,All costs,Direct costs,Software purchases,,3,158145,4173,2.6
5365,r005,All costs -> Direct costs -> Software purchases -> Noncapitalized,All costs,Direct costs,Software purchases,Noncapitalized,4,144023,3795,2.6
5365,r006,All costs -> Direct costs -> Software purchases -> Capitalized,All costs,Direct costs,Software purchases,Capitalized,4,14122,378,2.7
5365,r007,All costs -> Direct costs -> Capitalized equipment,All costs,Direct costs,Capitalized equipment,,3,2588624,8036,0.3
5365,r008,All costs -> Direct costs -> Passed through to subrecipients,All costs,Direct costs,Passed through to subrecipients,,3,7053612,15783,0.2
5365,r009,All costs -> Direct costs -> Other direct costs,All costs,Direct costs,Other direct costs,,3,18010556,584860,3.2
5365,r010,All costs -> Indirect costs,All costs,Indirect costs,,,2,19781374,132601,0.7
