table_id,row_id,employment_sector_full_path,employment_sector_level_1,employment_sector_level_2,employment_sector_level_3,employment_sector_hierarchy_depth,field_1993_highest_degree_in_s_e,field_1993_s_e_occupations,field_2003_highest_degree_in_s_e,field_2003_s_e_occupations,field_2017_highest_degree_in_s_e,field_2017_s_e_occupations
1619,r001,Total (number),Total (number),,,1,7036000,3303000,9579000,4817000,14501000,6769000
1619,r002,Total (number) -> Business or industry,Total (number),Business or industry,,2,68.7,67.8,71.3,71.7,73.1,72.2
1619,r003,Total (number) -> Business or industry -> For-profit businesses,Total (number),Business or industry,For-profit businesses,3,57.3,61.1,59.1,64.2,59.5,63.8
1619,r004,Total (number) -> Business or industry -> Nonprofit businesses,Total (number),Business or industry,Nonprofit businesses,3,5.2,3.2,6.3,3.7,7.5,5.3
1619,r005,"Total (number) -> Business or industry -> Self-employed, unincorporated businesses",Total (number),Business or industry,"Self-employed, unincorporated businesses",3,6.2,3.5,5.9,3.9,6.0,3.1
1619,r006,Total (number) -> Education,Total (number),Education,,2,16.8,17.8,15.6,15.9,15.4,16.2
1619,r007,Total (number) -> Education -> 4-year institutions,Total (number),Education,4-year institutions,3,9.1,14.3,8.5,12.9,8.3,13.0
1619,r008,Total (number) -> Education -> 2-year and precollege institutions,Total (number),Education,2-year and precollege institutions,3,7.7,3.5,7.2,3.0,7.2,3.2
1619,r009,Total (number) -> Government,Total (number),Government,,2,14.5,14.4,13.1,12.4,11.5,11.6
1619,r010,Total (number) -> Government -> Federal,Total (number),Government,Federal,3,6.9,8.4,5.3,5.9,5.2,6.1
1619,r011,Total (number) -> Government -> State or local,Total (number),Government,State or local,3,7.7,5.9,7.8,6.5,6.3,5.5
