table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_higher_education_subrecipients,field_total_to_businesses,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_higher_education_subrecipients,field_federally_financed_to_businesses,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
5458,r001,United States,United States,,,,1,"['7,053,612', '']","['3,866,145', '']","['1,338,352', '']","['1,241,079', '']","['608,036', '']","['5,962,370', '']","['3,404,432', '']","['1,071,398', '']","['1,044,447', '']","['442,093', '']"
5458,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['191', '']","['34', '']","['99', '']","['0', '']","['58', '']","['191', '']","['34', '']","['99', '']","['0', '']","['58', '']"
5458,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['257', '']","['257', '']","['0', '']","['0', '']","['0', '']","['257', '']","['257', '']","['0', '']","['0', '']","['0', '']"
5458,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['6,647', '']","['3,752', 'i']","['1,338', 'i']","['424', 'i']","['1,133', 'i']","['6,416', '']","['3,544', 'i']","['1,315', 'i']","['424', 'i']","['1,133', 'i']"
5458,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['90', '']","['90', '']","['0', '']","['0', '']","['0', '']","['90', '']","['90', '']","['0', '']","['0', '']","['0', '']"
5458,r008,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['29', '']","['18', '']","['0', '']","['9', '']","['2', '']","['29', '']","['18', '']","['0', '']","['9', '']","['2', '']"
5458,r009,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['76,431', '']","['39,355', '']","['25,936', '']","['9,911', '']","['1,229', '']","['69,339', '']","['39,292', '']","['21,968', '']","['6,901', '']","['1,178', '']"
5458,r010,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['5,481', '']","['3,905', '']","['678', '']","['514', '']","['384', '']","['5,063', '']","['3,871', '']","['678', '']","['514', '']","['0', '']"
5458,r011,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['4,116', '']","['1,996', '']","['1,455', '']","['224', '']","['441', '']","['3,849', '']","['1,799', '']","['1,452', '']","['224', '']","['374', '']"
5458,r012,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['3,463', '']","['1,951', '']","['35', '']","['125', '']","['1,352', '']","['2,523', '']","['1,736', '']","['35', '']","['119', '']","['633', '']"
5458,r013,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r014,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,089', '']","['999', '']","['87', '']","['3', '']","['0', '']","['1,089', '']","['999', '']","['87', '']","['3', '']","['0', '']"
5458,r015,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r016,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r017,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['2,862', '']","['90', '']","['NA', '']","['NA', '']","['2,772', '']","['2,862', '']","['90', '']","['0', '']","['0', '']","['2,772', '']"
5458,r018,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['6,988', '']","['4,272', 'i']","['1,966', 'i']","['NA', '']","['750', 'i']","['6,988', '']","['4,272', 'i']","['1,966', 'i']","['0', 'i']","['750', 'i']"
5458,r019,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['139', '']","['0', '']","['0', '']","['0', '']","['139', '']","['139', '']","['0', '']","['0', '']","['0', '']","['139', '']"
5458,r020,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r021,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r022,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r023,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r024,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['69,444', '']","['27,968', '']","['22,675', '']","['15,967', '']","['2,834', '']","['63,993', '']","['24,407', '']","['22,519', '']","['14,996', '']","['2,071', '']"
5458,r025,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r026,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['5,931', '']","['2,349', '']","['1,387', '']","['1,383', '']","['812', '']","['5,550', '']","['2,029', '']","['1,387', '']","['1,323', '']","['811', '']"
5458,r027,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['48,138', '']","['28,935', '']","['7,145', '']","['10,274', '']","['1,784', '']","['46,863', '']","['27,970', '']","['7,121', '']","['10,093', '']","['1,679', '']"
5458,r028,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r029,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r030,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['367', '']","['364', '']","['0', '']","['0', '']","['3', '']","['359', '']","['356', '']","['0', '']","['0', '']","['3', '']"
5458,r031,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['10,354', '']","['9,326', '']","['686', '']","['296', '']","['46', '']","['9,782', '']","['8,825', '']","['652', '']","['296', '']","['9', '']"
5458,r032,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['8,153', '']","['6,662', '']","['704', '']","['489', '']","['298', '']","['6,063', '']","['5,265', '']","['443', '']","['195', '']","['160', '']"
5458,r033,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['1,906', '']","['1,906', '']","['0', '']","['0', '']","['0', '']","['1,881', '']","['1,881', '']","['0', '']","['0', '']","['0', '']"
5458,r034,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['183', '']","['102', '']","['0', '']","['0', '']","['81', '']","['183', '']","['102', '']","['0', '']","['0', '']","['81', '']"
5458,r035,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['97', '']","['97', '']","['0', '']","['0', '']","['0', '']","['97', '']","['97', '']","['0', '']","['0', '']","['0', '']"
5458,r036,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r037,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5458,r038,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['1,553', '']","['882', '']","['73', '']","['486', '']","['112', '']","['972', '']","['351', '']","['23', '']","['486', '']","['112', '']"
5458,r039,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['106', '']","['106', '']","['0', '']","['0', '']","['0', '']","['101', '']","['101', '']","['0', '']","['0', '']","['0', '']"
5458,r040,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r041,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['67', '']","['67', '']","['0', '']","['0', '']","['0', '']","['67', '']","['67', '']","['0', '']","['0', '']","['0', '']"
5458,r042,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['446', '']","['381', '']","['38', '']","['27', '']","['0', '']","['446', '']","['381', '']","['38', '']","['27', '']","['0', '']"
5458,r043,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r044,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['629', '']","['629', '']","['0', '']","['0', '']","['0', '']","['558', '']","['558', '']","['0', '']","['0', '']","['0', '']"
5458,r045,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['357', '']","['279', '']","['78', '']","['0', '']","['0', '']","['125', '']","['76', '']","['49', '']","['0', '']","['0', '']"
5458,r046,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['230', '']","['205', '']","['25', '']","['0', '']","['0', '']","['227', '']","['202', '']","['25', '']","['0', '']","['0', '']"
5458,r047,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['692', '']","['166', '']","['442', '']","['84', '']","['0', '']","['196', '']","['112', '']","['0', '']","['84', '']","['0', '']"
5458,r048,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['488', '']","['316', '']","['0', '']","['154', '']","['18', '']","['462', '']","['316', '']","['0', '']","['128', '']","['18', '']"
5458,r049,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['636', '']","['581', '']","['0', '']","['0', '']","['55', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r050,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['795', '']","['774', '']","['0', '']","['21', '']","['0', '']","['777', '']","['756', '']","['0', '']","['21', '']","['0', '']"
5458,r051,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['759', '']","['727', '']","['0', '']","['32', '']","['0', '']","['754', '']","['727', '']","['0', '']","['27', '']","['0', '']"
5458,r052,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['755', '']","['89', '']","['666', '']","['0', '']","['0', '']","['38', '']","['38', '']","['0', '']","['0', '']","['0', '']"
5458,r053,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['315', '']","['315', '']","['0', '']","['0', '']","['0', '']","['153', '']","['153', '']","['0', '']","['0', '']","['0', '']"
5458,r054,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['800', '']","['415', '']","['0', '']","['385', '']","['0', '']","['758', '']","['373', '']","['0', '']","['385', '']","['0', '']"
5458,r055,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5458,r056,United States -> California -> Public -> Humboldt State U.,United States,California,Public,Humboldt State U.,4,"['775', '']","['98', '']","['512', '']","['80', '']","['85', '']","['63', '']","['0', '']","['58', '']","['0', '']","['5', '']"
5458,r057,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['1,268', '']","['1,243', '']","['25', '']","['0', '']","['0', '']","['1,268', '']","['1,243', '']","['25', '']","['0', '']","['0', '']"
5458,r058,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['4,852', '']","['3,245', '']","['285', '']","['863', '']","['459', '']","['4,172', '']","['2,857', '']","['285', '']","['659', '']","['371', '']"
5458,r059,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['2,102', 'i']","['1,804', 'i']","['239', 'i']","['59', 'i']","['0', 'i']","['1,786', 'i']","['1,738', 'i']","['0', 'i']","['48', 'i']","['0', 'i']"
5458,r060,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['4,246', '']","['4,040', '']","['206', '']","['0', '']","['0', '']","['1,399', '']","['1,302', '']","['97', '']","['0', '']","['0', '']"
5458,r061,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['235', '']","['106', '']","['0', '']","['103', '']","['26', '']","['209', '']","['106', '']","['0', '']","['103', '']","['0', '']"
5458,r062,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['64,768', '']","['36,540', 'i']","['12,199', 'i']","['8,530', 'i']","['7,499', 'i']","['47,541', '']","['27,058', 'i']","['9,009', 'i']","['6,360', 'i']","['5,114', 'i']"
