table_id,row_id,sex_race_ethnicity_and_disability_status_full_path,sex_race_ethnicity_and_disability_status_level_1,sex_race_ethnicity_and_disability_status_level_2,sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_very_high_research_activity,field_high_research_activity,field_doctoral_research,field_masters_granting_college_university,field_baccalaureate_college,field_medical_school_medical_center,field_school_of_engineering,field_other,field_missing_data
3329,r001,Total,Total,,1,319550,143000,39350,15150,57750,28950,17050,300,15800,2200
3329,r002,Total -> Female,Total,Female,2,121100,52300,13350,6100,23750,11000,7450,50,6150,950
3329,r003,Total -> Male,Total,Male,2,198450,90650,26050,9050,34000,18000,9600,200,9650,1200
3329,r004,Total -> White,Total,White,2,221850,96800,28100,10100,42500,22450,10250,250,10150,1300
3329,r005,Total -> Asian,Total,Asian,2,65050,33100,7300,2850,9100,3250,5100,,3750,650
3329,r006,Total -> Black or African American,Total,Black or African American,2,12450,4200,1700,1100,2900,1250,500,,750,150
3329,r007,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,2,15250,6450,1750,950,2450,1500,950,50,1050,100
3329,r008,Total -> American Indian or Alaska Native,Total,American Indian or Alaska Native,2,600,250,100,,100,S,S,,0.05,
3329,r009,Total -> Native Hawaiian or Other Pacific Islander,Total,Native Hawaiian or Other Pacific Islander,2,350,250,,,50,,,,,
3329,r010,Total -> More than one race<sup>b</sup>,Total,More than one race<sup>b</sup>,2,3950,2000,400,150,700,450,200,,100,
3329,r011,Total -> Without disability,Total,Without disability,2,290950,131850,35550,13600,51550,26000,15800,250,14350,2050
3329,r012,Total -> With disability,Total,With disability,2,28550,11150,3800,1600,6150,2950,1250,,1500,150
