table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_biotechnology_r_d_total_companiesb_number_,field_biotechnology_r_d_total_amount,field_biotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_biotechnology_r_d_paid_for_by_the_company_amount,field_biotechnology_r_d_paid_for_by_others_companiesb_number_,field_biotechnology_r_d_paid_for_by_others_amount
9665,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['31,490', '  ']","['602,499', '  ']","['2,840', 'i ']","['102,513', '  ']","['2,440', 'i ']","['81,585', '  ']","['730', 'i ']","['20,928', '  ']"
9665,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['15,620', '  ']","['326,060', '  ']","['1,910', 'i ']","['85,389', '  ']","['1,750', 'i ']","['76,968', '  ']","['370', '  ']","['8,422', '  ']"
9665,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['890', '  ']","['5,266', '  ']","['90', 'i ']","['522', '  ']","['90', 'i ']","['493', '  ']","['10', '  ']","['29', '  ']"
9665,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['190', '  ']","['1,247', '  ']","['10', '  ']","['23', '  ']","['10', '  ']","['23', '  ']","['0', '  ']","['0', '  ']"
9665,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['310', '  ']","['829', '  ']","['30', 'i ']","['9', '  ']","['30', 'i ']","['9', '  ']","['0', '  ']","['0', '  ']"
9665,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['150', '  ']","['444', '  ']","['10', '  ']","['0 - 8', '  ']","['10', '  ']","['0 - 8', '  ']","['0', '  ']","['0', '  ']"
9665,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['120', '  ']","['1,139', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']"
9665,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['170', '  ']","['204', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['110', '  ']","['957', '  ']","['10', '  ']","['103 - 110', '  ']","['10', '  ']","['104', '  ']","['10', '  ']","['0 - 5', '  ']"
9665,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,250', '  ']","['109,490', '  ']","['1,000', '  ']","['79,551', '  ']","['930', '  ']","['71,611', '  ']","['250', '  ']","['7,940', '  ']"
9665,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['250', '  ']","['2,713', '  ']","['70', 'i ']","['310', '  ']","['60', 'i ']","['218', '  ']","['30', 'i ']","['92', '  ']"
9665,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['130', '  ']","['1,389', 'i ']","['20', 'i ']","['0 - 217', 'i ']","['20', 'i ']","['0 - 148', 'i ']","['10', 'i ']","['0 - 76', 'i ']"
9665,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['100', '  ']","['1,157', '  ']","['30', 'i ']","['0 - 217', 'i ']","['30', 'i ']","['0 - 148', '  ']","['10', 'i ']","['0 - 76', 'i ']"
9665,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,210', '  ']","['100,220', '  ']","['830', '  ']","['78,889', '  ']","['780', '  ']","['71,154', '  ']","['220', '  ']","['7,736', '  ']"
9665,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['290', '  ']","['2,740', '  ']","['60', 'i ']","['131', '  ']","['60', 'i ']","['93', '  ']","['10', '  ']","['38', '  ']"
9665,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['300', '  ']","['1,271', '  ']","['10', '  ']","['6', '  ']","['10', '  ']","['0 - 7', '  ']","['10', '  ']","['0 - 7', '  ']"
9665,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['920', '  ']","['3,144', '  ']","['70', 'i ']","['82', 'i ']","['70', 'i ']","['82', 'i ']","['0', '  ']","['0', '  ']"
9665,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['340', '  ']","['1,533', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['*', '  ']"
9665,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['260', '  ']","['912', '  ']","['10', '  ']","['0 - 8', '  ']","['10', '  ']","['0 - 8', '  ']","['0', '  ']","['0', '  ']"
9665,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,310', '  ']","['4,291', '  ']","['180', 'i ']","['225', 'r ']","['180', 'i ']","['225', 'r ']","['0', '  ']","['0', '  ']"
