table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_tenured_number,field_tenured_se,field_tenured_10_number,field_tenured_10_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_on_tenure_track_10_number,field_not_tenured_on_tenure_track_10_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_not_tenured_not_on_tenure_track_10_number,field_not_tenured_not_on_tenure_track_10_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se,field_tenure_not_applicable_10_number,field_tenure_not_applicable_10_se
8200,r001,All fields,All fields,,,,1,106400,1425,234550,2175,9850,525,147150,1775,36750,825,13800,575,23150,750,30450,1025,36650,975,43200,1075
8200,r002,All fields -> Male,All fields,Male,,,2,57050,1125,147650,1925,5200,400,99350,1650,20600,700,7750,500,12250,600,17100,700,18950,800,23450,850
8200,r003,All fields -> Female,All fields,Female,,,2,49350,875,86900,1125,4600,325,47750,950,16150,525,6050,375,10850,475,13300,650,17700,625,19750,625
8200,r004,All fields -> Science,All fields,Science,,,2,81850,1225,190600,2000,7500,425,118450,1600,27050,725,10950,600,18150,700,24950,825,29150,875,36250,1025
8200,r005,All fields -> Science -> Male,All fields,Science,Male,,3,42800,925,118100,1625,4000,325,78550,1350,14550,575,6200,475,9750,550,13950,600,14500,725,19450,725
8200,r006,All fields -> Science -> Female,All fields,Science,Female,,3,39050,800,72450,1175,3500,250,39900,900,12550,450,4800,350,8450,425,11000,575,14650,600,16800,625
8200,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,29800,625,65650,1275,1050,150,34850,975,6750,350,5800,400,7750,425,10400,525,14250,575,14650,650
8200,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,14850,550,38950,1025,600,125,23250,850,3350,275,3150,300,4000,325,5850,425,6850,450,6750,425
8200,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,15000,475,26700,750,450,100,11600,550,3400,225,2600,250,3750,275,4550,375,7400,375,7950,450
8200,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,4550,300,7300,400,650,175,5450,375,2500,250,300,100,650,150,500,125,750,150,1050,200
