table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3180,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['30,497', '']","['30,238', 'i']","['29,979', 'i']","['29,720', 'i']","['29,461', 'i']","['29,202', '']","['25,112', 'i']","['21,022', 'i']","['16,932', 'i']","['12,840', '']"
3180,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['13,340', '']","['12,340', '']","['13,607', '']","['1,927', '']","['2,236', '']","['2,303', '']","['2,372', '']","['2,253', '']","['2,434', '']","['2,577', '']"
3180,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['145,115', '']","['163,335', '']","['133,013', '']","['147,229', '']","['142,487', '']","['135,899', '']","['152,381', '']","['190,340', '']","['212,925', '']","['231,619', '']"
3180,r006,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,3,"['398', '']","['624', '']","['ne', '']","['ne', '']","['ne', '']","['3,242', '']","['3,231', '']","['3,120', 'i']","['3,008', '']","['2,429', '']"
3180,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['489,845', '']","['503,698', '']","['453,779', '']","['440,796', '']","['428,563', '']","['516,229', '']","['537,825', '']","['561,851', '']","['588,207', '']","['607,863', '']"
3180,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['75,683', '']","['75,724', '']","['87,388', '']","['101,016', '']","['89,325', '']","['88,439', '']","['96,865', '']","['94,376', '']","['99,405', '']","['109,744', '']"
3180,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['40,762', '']","['53,633', '']","['55,885', '']","['55,443', '']","['53,140', '']","['58,234', '']","['62,549', '']","['63,282', '']","['71,992', '']","['83,317', '']"
3180,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['35,500', '']","['42,233', '']","['40,172', '']","['40,590', '']","['41,681', '']","['43,722', '']","['46,670', '']","['41,431', '']","['41,056', '']","['52,540', '']"
3180,r011,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['15,581', '']","['15,685', '']","['15,991', '']","['21,150', '']","['24,945', '']","['20,740', 'i']","['16,535', '']","['16,535', '']","['16,535', '']","['20,562', '']"
3180,r013,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r014,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['16,709', '']","['18,620', '']","['20,194', '']","['20,255', '']","['17,150', '']","['17,436', '']","['19,883', '']","['20,861', '']","['21,096', '']","['21,724', '']"
3180,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['161,986', '']","['165,530', '']","['160,407', '']","['162,658', '']","['155,769', '']","['142,742', '']","['144,259', '']","['152,694', '']","['140,917', '']","['144,457', '']"
3180,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['1,759', '']","['1,274', '']","['1,382', '']","['1,559', '']","['1,512', '']","['1,588', '']","['1,808', '']","['1,621', '']","['1,641', '']","['1,341', '']"
3180,r018,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['434', '']","['518', '']","['ne', '']","['ne', '']","['ne', '']","['1,246', '']","['1,358', '']","['1,248', '']","['1,544', '']","['1,774', '']"
3180,r020,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r021,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['329,345', '']","['355,215', '']","['385,959', '']","['405,154', '']","['426,651', '']","['458,412', '']","['518,239', '']","['545,016', '']","['617,717', '']","['639,637', '']"
3180,r023,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['ne', '']","['959', 'i']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,238', '']","['1,126', '']"
3180,r024,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['28,803', '']","['30,785', '']","['28,100', '']","['30,516', '']","['31,590', '']","['35,206', '']","['39,580', '']","['46,253', '']","['52,899', '']","['58,914', '']"
3180,r025,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['586,647', '']","['610,565', '']","['625,365', '']","['629,466', '']","['588,088', '']","['606,219', '']","['604,464', '']","['622,200', '']","['687,066', '']","['734,270', '']"
3180,r026,Arizona -> Private,Arizona,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r027,Arizona -> Private -> Southwest C. of Naturopathic Medicine and Health Sciences,Arizona,Private,Southwest C. of Naturopathic Medicine and Health Sciences,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['230', '']"
3180,r028,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r029,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r030,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['11,115', '']","['13,435', '']","['14,250', '']","['10,463', '']","['8,099', '']","['8,453', '']","['8,169', '']","['7,952', '']","['8,245', '']","['8,945', '']"
3180,r031,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['119,518', '']","['122,066', '']","['129,056', '']","['133,677', '']","['131,438', '']","['132,451', '']","['125,378', '']","['128,508', '']","['139,187', '']","['153,135', '']"
3180,r032,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['113,909', '']","['120,007', '']","['123,199', '']","['125,501', '']","['125,824', '']","['133,660', '']","['145,020', '']","['157,791', '']","['175,498', '']","['180,225', '']"
3180,r033,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['11,007', '']","['12,039', '']","['10,500', '']","['13,107', '']","['8,068', '']","['7,003', '']","['7,604', '']","['6,833', '']","['8,167', '']","['9,975', '']"
3180,r034,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['8,343', '']","['9,415', '']","['9,082', '']","['8,911', '']","['8,198', '']","['8,425', '']","['8,873', '']","['8,136', '']","['8,349', '']","['9,024', '']"
3180,r035,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['2,670', '']","['2,821', '']","['3,277', '']","['2,913', '']","['4,064', '']","['3,502', '']","['3,453', '']","['3,313', '']","['3,620', '']","['3,477', '']"
3180,r036,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r037,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r038,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['19,732', '']","['16,532', '']","['17,412', '']","['16,067', '']","['15,096', '']","['16,312', '']","['18,081', '']","['17,979', '']","['16,352', '']","['30,923', '']"
3180,r039,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['6,493', '']","['7,198', '']","['6,597', '']","['6,988', '']","['5,455', '']","['4,611', '']","['5,254', '']","['5,863', '']","['8,043', '']","['6,099', '']"
3180,r040,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['2,083', '']","['3,162', '']","['1,241', '']","['2,602', '']","['2,432', '']","['3,192', '']","['3,161', '']","['4,652', '']","['5,577', '']","['7,591', '']"
3180,r041,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['524', '']","['ne', '']","['1,236', '']","['3,862', '']","['1,949', '']","['1,383', '']","['1,096', '']","['1,248', '']","['1,572', '']"
3180,r042,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['2,881', '']","['2,684', '']","['2,492', '']","['2,868', '']","['2,384', '']","['1,837', '']","['2,363', '']","['1,600', '']","['2,452', '']","['3,232', '']"
3180,r043,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['2,743', '']","['2,780', '']","['2,894', '']","['4,671', '']","['3,614', 'i']","['2,557', '']","['2,790', '']","['1,858', '']","['2,043', '']","['1,957', '']"
3180,r044,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['8,698', '']","['8,597', '']","['8,359', '']","['7,682', '']","['8,109', '']","['8,624', '']","['8,586', '']","['8,102', '']","['8,988', '']","['8,599', '']"
3180,r045,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['21,776', '']","['28,186', '']","['22,222', '']","['18,478', '']","['7,919', '']","['5,611', '']","['5,755', '']","['5,510', '']","['6,348', '']","['7,173', '']"
3180,r046,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['15,494', '']","['14,595', 'i']","['13,696', 'i']","['12,796', '']","['10,097', '']","['8,830', '']","['16,390', '']","['18,805', '']","['22,880', '']","['18,664', '']"
3180,r047,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['7,714', '']","['8,823', '']","['7,192', '']","['7,659', '']","['5,172', '']","['5,010', '']","['5,371', '']","['8,274', '']","['9,594', '']","['12,476', '']"
3180,r048,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['ne', '']","['3,005', '']","['2,793', '']","['2,480', '']","['1,011', '']","['1,542', '']","['2,205', '']","['1,921', '']","['3,039', '']","['2,959', '']"
3180,r049,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['5,305', '']","['6,959', '']","['6,567', '']","['6,129', '']","['4,787', '']","['5,492', '']","['5,680', '']","['5,397', '']","['5,799', '']","['6,444', '']"
3180,r050,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['29,469', '']","['25,654', '']","['29,491', '']","['9,640', '']","['12,991', '']","['13,333', '']","['16,330', '']","['17,979', '']","['19,618', '']","['21,095', '']"
