table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_humanities_and_arts_fields,field_foreign_languages_and_literature,field_history,field_letters,field_other_humanities_and_arts
1002,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,5290,624,1066,1465,2135
1002,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,
1002,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,48.8,38.3,55.9,40.3,54.1
1002,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,51.2,61.7,44.1,59.7,45.9
1002,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0,0,0,0.05
1002,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Citizenship (%),,,2,,,,,
1002,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,81.1,69.4,84.0,87.0,79.1
1002,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Temporary visa holder,,3,13.1,25.6,11.7,8.5,13.3
1002,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Unknown,,3,5.8,5.0,4.3,4.5,7.7
1002,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,
1002,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,25.7,28.0,26.4,26.2,24.2
1002,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,47.8,47.1,50.4,45.6,48.2
1002,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,10.1,10.3,10.2,11.9,8.8
1002,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.5,4.0,3.8,5.4,4.4
1002,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,11.9,10.6,9.2,10.9,14.4
1002,r016,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,51.5,46.5,58.7,42.6,55.5
1002,r017,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,85.1,85.6,87.3,86.2,83.0
1002,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,34.1,34.2,33.9,33.5,34.4
1002,r019,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,
1002,r020,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From bachelor's,,3,11.0,10.5,11.0,10.7,11.3
1002,r021,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,9.4,9.0,9.3,9.0,9.8
1002,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,7.1,7.0,7.0,7.0,7.3
1002,r023,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,2581,239,596,591,1155
1002,r024,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,
1002,r025,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,81.3,68.6,84.9,87.0,79.1
