table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_othera_number,field_othera_median
7548,r001,Years since bachelor's degree,Years since bachelor's degree,,,,,1,,,,,,,,,,,,,,
7548,r002,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,,,,2,49332,8.7,10200,12.3,1255,10.8,3486,15.0,2878,11.3,729,11.0,1852,11.7
7548,r003,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,,,3,,,,,,,,,,,,,,
7548,r004,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Male,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Male,,4,26610,8.3,4372,12.0,709,10.8,1038,15.0,1518,11.5,332,10.7,775,11.6
7548,r005,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Female,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Female,,4,22718,9.0,5827,12.7,546,10.8,2448,15.3,1359,11.2,397,11.4,1077,11.8
7548,r006,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,,,3,,,,,,,,,,,,,,
7548,r007,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,4,31287,9.0,7667,13.0,583,13.3,2931,15.8,2306,11.3,564,11.0,1283,12.5
7548,r008,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> Temporary visa holder,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,Temporary visa holder,,4,17216,8.3,2322,10.8,630,9.3,489,11.9,526,11.4,142,10.9,535,10.5
7548,r009,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
7548,r010,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,2808,8.6,674,12.4,28,12.3,279,15.0,221,10.9,43,10.6,103,11.0
