table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_level_3,race_and_ethnicity_hierarchy_depth,field_number,field_percent
9888,r001,U.S. citizens and permanent residents,U.S. citizens and permanent residents,,,1,26408,100
9888,r002,U.S. citizens and permanent residents -> Hispanic or Latino,U.S. citizens and permanent residents,Hispanic or Latino,,2,2488,9.4
9888,r003,U.S. citizens and permanent residents -> Not Hispanic or Latino,U.S. citizens and permanent residents,Not Hispanic or Latino,,2,23432,88.7
9888,r004,U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,58,0.2
9888,r005,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,3008,11.4
9888,r006,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1540,5.8
9888,r007,U.S. citizens and permanent residents -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,17551,66.5
9888,r008,U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,953,3.6
9888,r009,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents,Not Hispanic or Latino,Other race or race not reported,3,322,1.2
9888,r010,U.S. citizens and permanent residents -> Ethnicity not reported,U.S. citizens and permanent residents,Ethnicity not reported,,2,488,1.8
