table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
6064,r001,1975,"All science, engineering, and health graduate students",Total,,2,328510
6064,r002,1975,"All science, engineering, and health graduate students",Full time,Number,3,219648
6064,r003,1975,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
6064,r004,1975,"All science, engineering, and health graduate students",Part time,Number,3,108862
6064,r005,1975,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
6064,r006,1975,All science graduate students,Total,,2,234649
6064,r007,1975,All science graduate students,Full time,Number,3,164437
6064,r008,1975,All science graduate students,Full time,Percent,3,70.1
6064,r009,1975,All science graduate students,Part time,Number,3,70212
6064,r010,1975,All science graduate students,Part time,Percent,3,29.9
6064,r011,1975,All engineering graduate students,Total,,2,68332
6064,r012,1975,All engineering graduate students,Full time,Number,3,37823
6064,r013,1975,All engineering graduate students,Full time,Percent,3,55.4
6064,r014,1975,All engineering graduate students,Part time,Number,3,30509
6064,r015,1975,All engineering graduate students,Part time,Percent,3,44.6
6064,r016,1975,All health graduate students,Total,,2,25529
6064,r017,1975,All health graduate students,Full time,Number,3,17388
6064,r018,1975,All health graduate students,Full time,Percent,3,68.1
6064,r019,1975,All health graduate students,Part time,Number,3,8141
6064,r020,1975,All health graduate students,Part time,Percent,3,31.9
6064,r021,1976,"All science, engineering, and health graduate students",Total,,2,333716
6064,r022,1976,"All science, engineering, and health graduate students",Full time,Number,3,223412
6064,r023,1976,"All science, engineering, and health graduate students",Full time,Percent,3,66.9
6064,r024,1976,"All science, engineering, and health graduate students",Part time,Number,3,110304
6064,r025,1976,"All science, engineering, and health graduate students",Part time,Percent,3,33.1
6064,r026,1976,All science graduate students,Total,,2,238675
6064,r027,1976,All science graduate students,Full time,Number,3,167867
6064,r028,1976,All science graduate students,Full time,Percent,3,70.3
6064,r029,1976,All science graduate students,Part time,Number,3,70808
6064,r030,1976,All science graduate students,Part time,Percent,3,29.7
6064,r031,1976,All engineering graduate students,Total,,2,66723
6064,r032,1976,All engineering graduate students,Full time,Number,3,36948
6064,r033,1976,All engineering graduate students,Full time,Percent,3,55.4
6064,r034,1976,All engineering graduate students,Part time,Number,3,29775
6064,r035,1976,All engineering graduate students,Part time,Percent,3,44.6
6064,r036,1976,All health graduate students,Total,,2,28318
6064,r037,1976,All health graduate students,Full time,Number,3,18597
6064,r038,1976,All health graduate students,Full time,Percent,3,65.7
6064,r039,1976,All health graduate students,Part time,Number,3,9721
6064,r040,1976,All health graduate students,Part time,Percent,3,34.3
6064,r041,1977,"All science, engineering, and health graduate students",Total,,2,345374
6064,r042,1977,"All science, engineering, and health graduate students",Full time,Number,3,226738
6064,r043,1977,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
6064,r044,1977,"All science, engineering, and health graduate students",Part time,Number,3,118636
6064,r045,1977,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
6064,r046,1977,All science graduate students,Total,,2,242932
6064,r047,1977,All science graduate students,Full time,Number,3,169184
6064,r048,1977,All science graduate students,Full time,Percent,3,69.6
6064,r049,1977,All science graduate students,Part time,Number,3,73748
6064,r050,1977,All science graduate students,Part time,Percent,3,30.4
6064,r051,1977,All engineering graduate students,Total,,2,68757
6064,r052,1977,All engineering graduate students,Full time,Number,3,37227
6064,r053,1977,All engineering graduate students,Full time,Percent,3,54.1
6064,r054,1977,All engineering graduate students,Part time,Number,3,31530
6064,r055,1977,All engineering graduate students,Part time,Percent,3,45.9
6064,r056,1977,All health graduate students,Total,,2,33685
6064,r057,1977,All health graduate students,Full time,Number,3,20327
6064,r058,1977,All health graduate students,Full time,Percent,3,60.3
6064,r059,1977,All health graduate students,Part time,Number,3,13358
6064,r060,1977,All health graduate students,Part time,Percent,3,39.7
6064,r061,1978<sup>a</sup>,"All science, engineering, and health graduate students",Total,,2,339912
6064,r062,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Number,3,223030
6064,r063,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
6064,r064,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Number,3,116882
6064,r065,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
6064,r066,1978<sup>a</sup>,All science graduate students,Total,,2,236465
6064,r067,1978<sup>a</sup>,All science graduate students,Full time,Number,3,164151
6064,r068,1978<sup>a</sup>,All science graduate students,Full time,Percent,3,69.4
6064,r069,1978<sup>a</sup>,All science graduate students,Part time,Number,3,72314
6064,r070,1978<sup>a</sup>,All science graduate students,Part time,Percent,3,30.6
6064,r071,1978<sup>a</sup>,All engineering graduate students,Total,,2,67787
6064,r072,1978<sup>a</sup>,All engineering graduate students,Full time,Number,3,37586
6064,r073,1978<sup>a</sup>,All engineering graduate students,Full time,Percent,3,55.4
6064,r074,1978<sup>a</sup>,All engineering graduate students,Part time,Number,3,30201
6064,r075,1978<sup>a</sup>,All engineering graduate students,Part time,Percent,3,44.6
6064,r076,1978<sup>a</sup>,All health graduate students,Total,,2,35660
6064,r077,1978<sup>a</sup>,All health graduate students,Full time,Number,3,21293
