table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022_all_engineering,field_2022_aerospace_aeronautical_and_astronautical_engineering,field_2022_bioengineering_and_biomedical_engineering,field_2022_chemical_engineering,field_2022_civil_engineering,field_2022_electrical_electronic_and_communications_engineering,field_2022_industrial_and_manufacturing_engineering,field_2022_mechanical_engineering,field_2022_metallurgical_and_materials_engineering,field_2022_engineering_nec_
10149,r001,All institutions,All institutions,,1,-,"['8,119,848', '']","['8,713,515', '']","['9,694,378', '']","['1,246,002', '']","['1,100,258', '']","['646,644', '']","['784,286', '']","['2,484,203', '']","['434,246', '']","['1,409,792', '']","['589,129', '']","['999,818', '']"
10149,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,154,993', '']","['1,183,154', '']","['1,264,048', '']","['159,473', '']","['72,410', '']","['23,486', '']","['16,038', '']","['546,944', '']","['97,517', '']","['236,186', '']","['32,584', '']","['79,410', '']"
10149,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['537,693', '']","['666,235', '']","['739,429', '']","['259,142', '']","['31,909', '']","['17,733', '']","['14,211', '']","['304,352', '']","['52,520', '']","['40,734', '']","['12,566', '']","['6,262', '']"
10149,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['277,345', '']","['284,244', '']","['300,829', '']","['14,713', '']","['13,957', '']","['10,634', '']","['7,832', '']","['112,295', '']","['6,065', '']","['92,718', '']","['42,615', '']","['0', '']"
10149,r005,All institutions -> Utah State U.,All institutions,Utah State U.,2,4,"['206,998', '']","['228,986', '']","['239,736', '']","['224,735', '']","['1,165', '']","['0', '']","['3,402', '']","['7,830', '']","['0', '']","['1,880', '']","['0', '']","['724', '']"
10149,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['175,426', '']","['194,110', '']","['216,881', '']","['12,350', '']","['6,462', '']","['18,372', '']","['9,422', '']","['66,044', '']","['49', '']","['65,345', '']","['18,650', '']","['20,187', '']"
10149,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['213,108', '']","['193,246', '']","['215,477', '']","['23,398', '']","['68,994', '']","['19,336', '']","['4,478', '']","['32,876', '']","['55', '']","['22,905', '']","['11,403', '']","['32,032', '']"
10149,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['176,141', '']","['180,607', '']","['189,405', '']","['9,894', '']","['20,220', '']","['7,676', '']","['8,063', '']","['51,136', '']","['3,355', '']","['31,627', '']","['8,593', '']","['48,841', '']"
10149,r009,All institutions -> U. Dayton,All institutions,U. Dayton,2,8,"['145,508', '']","['171,865', '']","['189,150', '']","['18,846', '']","['198', '']","['6,315', '']","['733', '']","['7,245', '']","['53,995', '']","['7,966', '']","['82,728', '']","['11,124', '']"
10149,r010,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,9,"['122,469', '']","['137,052', '']","['163,895', '']","['19,139', '']","['8,963', '']","['12,148', '']","['8,992', '']","['39,070', '']","['3,689', '']","['30,587', '']","['11,077', '']","['30,230', '']"
10149,r011,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,10,"['105,890', '']","['132,769', '']","['148,185', '']","['89,374', '']","['9,269', '']","['10,437', '']","['12,830', '']","['9,618', '']","['0', '']","['11,057', '']","['1,283', '']","['4,317', '']"
10149,r012,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,11,"['131,529', '']","['139,887', '']","['144,390', '']","['11,797', '']","['10,964', '']","['13,284', '']","['18,410', '']","['37,006', '']","['0', '']","['22,511', '']","['12,670', '']","['17,748', '']"
10149,r013,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,12,"['95,138', '']","['123,286', '']","['138,068', '']","['20,840', '']","['19,364', '']","['6,188', '']","['27,518', '']","['14,549', '']","['7,168', '']","['10,203', '']","['7,666', '']","['24,572', '']"
10149,r014,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,13,"['97,602', '']","['100,212', '']","['129,923', '']","['0', '']","['50,173', '']","['52', '']","['175', '']","['52,667', '']","['0', '']","['16,534', '']","['1,254', '']","['9,068', '']"
10149,r015,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,14,"['114,031', '']","['119,758', '']","['127,827', '']","['7,012', '']","['23,702', '']","['8,210', '']","['13,959', '']","['31,054', '']","['1,325', '']","['10,812', '']","['3,420', '']","['28,333', '']"
10149,r016,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,15,"['107,677', '']","['108,080', '']","['114,336', '']","['12,674', '']","['15,769', '']","['2,761', '']","['10,557', '']","['36,203', '']","['12,975', '']","['11,427', '']","['6,911', '']","['5,059', '']"
10149,r017,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,16,"['86,398', '']","['95,898', '']","['104,247', '']","['10,119', '']","['17,093', '']","['10,001', '']","['16,021', '']","['11,816', '']","['484', '']","['13,249', '']","['9,274', '']","['16,190', '']"
10149,r018,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,17,"['85,038', '']","['88,435', '']","['103,560', '']","['244', '']","['2,364', '']","['8,064', '']","['10,252', '']","['18,756', '']","['5,956', '']","['34,318', '']","['12,968', '']","['10,638', '']"
10149,r019,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,18,"['79,645', '']","['78,026', '']","['93,638', '']","['0', '']","['0', '']","['3,867', '']","['8,416', '']","['70,634', '']","['0', '']","['0', '']","['0', '']","['10,721', '']"
10149,r020,All institutions -> Stanford U.,All institutions,Stanford U.,2,19,"['81,391', '']","['89,861', '']","['89,919', '']","['12,679', '']","['17,395', '']","['8,117', '']","['7,521', '']","['14,712', '']","['5,351', '']","['16,183', '']","['6,823', '']","['1,138', '']"
10149,r021,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,20,"['94,592', '']","['91,430', '']","['88,636', '']","['1,865', '']","['7,583', '']","['13,782', '']","['8,072', '']","['15,399', '']","['2,723', '']","['9,364', '']","['10,891', '']","['18,957', '']"
10149,r022,All institutions -> U. Delaware,All institutions,U. Delaware,2,21,"['53,448', '']","['68,504', '']","['88,552', '']","['0', '']","['8,112', '']","['54,839', '']","['8,259', '']","['11,084', '']","['0', '']","['6,180', '']","['0', '']","['78', '']"
