table_id,row_id,_b_fy_2018_survey_b_full_path,_b_fy_2018_survey_b_level_1,_b_fy_2018_survey_b_level_2,_b_fy_2018_survey_b_hierarchy_depth,field_fy_2019_survey
3201,r001,C. of William and Mary and Virginia Institute of Marine Science,C. of William and Mary and Virginia Institute of Marine Science,,1,William & Mary
3201,r002,Calvin C.,Calvin C.,,1,Calvin U.
3201,r003,"Columbia U., Teachers C.","Columbia U., Teachers C.",,1,"Teachers C., Columbia U."
3201,r004,Dartmouth C.,Dartmouth C.,,1,Dartmouth C. and Dartmouth Hitchcock Medical Center
3201,r005,Icahn School of Medicine at Mt. Sinai,Icahn School of Medicine at Mt. Sinai,,1,Icahn School of Medicine at Mount Sinai
3201,r006,"Indiana U., Gary","Indiana U., Gary",,1,"Indiana U., Northwest"
3201,r007,"Indiana U., New Albany","Indiana U., New Albany",,1,"Indiana U., Southeast"
3201,r008,"Indiana U.-Purdue U., Fort Wayne","Indiana U.-Purdue U., Fort Wayne",,1,"Purdue U., Fort Wayne"
3201,r009,Massachusetts C. of Pharmacy and Health Sciences,Massachusetts C. of Pharmacy and Health Sciences,,1,MCPHS U.
3201,r010,"Montana State U., Havre","Montana State U., Havre",,1,"Montana State U., Northern"
3201,r011,Montana Tech of U. Montana,Montana Tech of U. Montana,,1,Montana Technological U.
3201,r012,Simmons C.,Simmons C.,,1,Simmons U.
3201,r013,U. del Este,U. del Este,,1,"U. Ana G. Mendez, Carolina"
3201,r014,U. del Turabo,U. del Turabo,,1,"U. Ana G. Mendez, Gurabo"
3201,r015,U. Metropolitana,U. Metropolitana,,1,"U. Ana G. Mendez, Cupey"
3201,r016,Multiple campuses,Multiple campuses,,1,U. Maryland
3201,r017,"Multiple campuses -> U. Maryland, Baltimore",Multiple campuses,"U. Maryland, Baltimore",2,
3201,r018,"Multiple campuses -> U. Maryland, College Park",Multiple campuses,"U. Maryland, College Park",2,
