table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3143,r001,All institutions,All institutions,,1,-,"['21,109,703', '']","['532,787', '']","['624,939', '']","['11,495,531', '']","['216,617', '']","['1,232,460', '']","['361,017', '']","['1,091,986', '']","['382,971', '']","['2,682,903', '']","['2,488,492', '']"
3143,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['608,028', '']","['6,217', '']","['7,381', '']","['303,987', '']","['11,798', '']","['19,797', '']","['11,615', '']","['83,245', '']","['2,880', '']","['70,281', '']","['90,827', '']"
3143,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['491,734', '']","['9,741', '']","['994', '']","['286,682', '']","['3,439', '']","['16,733', '']","['2,201', '']","['28,669', '']","['3,707', '']","['32,084', '']","['107,484', '']"
3143,r004,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,3,"['415,634', '']","['2,905', '']","['13,646', '']","['278,705', '']","['1,196', '']","['11,588', '']","['2,823', '']","['15,481', '']","['12,547', '']","['32,122', '']","['44,621', '']"
3143,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,"['394,740', '']","['0', '']","['0', '']","['384,994', '']","['0', '']","['9,746', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3143,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['381,597', '']","['563', '']","['6,911', '']","['166,247', '']","['2,231', '']","['23,247', '']","['3,031', '']","['64,226', '']","['4,391', '']","['39,259', '']","['71,491', '']"
3143,r007,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,6,"['321,652', '']","['10,653', '']","['3,533', '']","['218,032', '']","['2,239', '']","['9,337', '']","['6,331', '']","['11,499', '']","['2,061', '']","['29,688', '']","['28,279', '']"
3143,r008,All institutions -> Yale U.,All institutions,Yale U.,2,7,"['318,201', '']","['1,686', '']","['3,619', '']","['262,038', '']","['1,229', '']","['22,756', '']","['5,874', '']","['7,160', '']","['566', '']","['9,114', '']","['4,159', '']"
3143,r009,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,8,"['301,297', '']","['10,204', '']","['27,556', '']","['179,144', '']","['1,610', '']","['18,923', '']","['3,206', '']","['8,636', '']","['10,915', '']","['35,686', '']","['5,417', '']"
3143,r010,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,9,"['296,991', '']","['9,734', '']","['2,104', '']","['134,237', '']","['4,816', '']","['55,153', '']","['6,670', '']","['14,021', '']","['12,888', '']","['38,782', '']","['18,586', '']"
