table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_business_process_innovation_number_yes,field_business_process_innovation_number_no,field_business_process_innovation_percent_yes,field_business_process_innovation_percent_no
7412,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['4,857,473', '&nbsp;']","['1,053,189', '&nbsp;']","['3,804,284', '&nbsp;']","['21.7', '&nbsp;']","['78.3', '&nbsp;']"
7412,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7412,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['4,211,009', '&nbsp;']","['883,408', '&nbsp;']","['3,327,601', '&nbsp;']","['21.0', '&nbsp;']","['79.0', '&nbsp;']"
7412,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['489,653', '&nbsp;']","['127,685', '&nbsp;']","['361,968', '&nbsp;']","['26.1', '&nbsp;']","['73.9', '&nbsp;']"
7412,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['100,341', '&nbsp;']","['27,277', '&nbsp;']","['73,064', '&nbsp;']","['27.2', '&nbsp;']","['72.8', '&nbsp;']"
7412,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['22,785', '&nbsp;']","['4,804', '&nbsp;']","['17,981', '&nbsp;']","['21.1', '&nbsp;']","['78.9', '&nbsp;']"
7412,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['6,733', '&nbsp;']","['1,492', '&nbsp;']","['5,241', '&nbsp;']","['22.2', '&nbsp;']","['77.8', '&nbsp;']"
7412,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7412,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['288,123', '&nbsp;']","['77,239', '&nbsp;']","['210,884', '&nbsp;']","['26.8', '&nbsp;']","['73.2', '&nbsp;']"
7412,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['41,701', '&nbsp;']","['10,406', '&nbsp;']","['31,295', '&nbsp;']","['25.0', '&nbsp;']","['75.0', '&nbsp;']"
7412,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['4,493,855', '&nbsp;']","['956,226', '&nbsp;']","['3,537,629', '&nbsp;']","['21.3', '&nbsp;']","['78.7', '&nbsp;']"
7412,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7412,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['892,394', '&nbsp;']","['234,592', '&nbsp;']","['657,802', '&nbsp;']","['26.3', '&nbsp;']","['73.7', '&nbsp;']"
7412,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['397,777', '&nbsp;']","['105,802', '&nbsp;']","['291,975', '&nbsp;']","['26.6', '&nbsp;']","['73.4', '&nbsp;']"
7412,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['74,035', '&nbsp;']","['18,450', '&nbsp;']","['55,585', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']"
7412,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['3,857,251', '&nbsp;']","['790,828', '&nbsp;']","['3,066,423', '&nbsp;']","['20.5', '&nbsp;']","['79.5', '&nbsp;']"
7412,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['33,792', '&nbsp;']","['9,320', '&nbsp;']","['24,472', '&nbsp;']","['27.6', '&nbsp;']","['72.4', '&nbsp;']"
