table_id,row_id,country_or_economy_of_birth,all_stem_occupations,s_e_occupations,s_e_related_occupations,stem_middle_skill_occupations
11023,r001,Mexico,18.2,4.4,7.0,39.9
11023,r002,India,13.7,28.9,12.2,1.4
11023,r003,China (including Hong Kong),6.6,12.8,5.0,2.3
11023,r004,Philippines,5.9,3.0,12.9,2.6
11023,r005,Vietnam,3.0,2.8,3.4,2.8
11023,r006,El Salvador,2.5,0.5,1.2,5.5
11023,r007,Cuba,2.3,0.9,2.5,3.3
11023,r008,"Korea, not specified",2.1,2.8,2.9,0.9
11023,r009,Guatemala,1.8,0.3,0.6,4.3
11023,r010,Canada,1.8,2.1,2.9,0.7
11023,r011,Jamaica,1.6,0.8,2.5,1.4
11023,r012,United Kingdom,1.5,2.0,1.7,0.8
11023,r013,Honduras,1.5,0.4,0.4,3.4
11023,r014,Colombia,1.5,1.2,1.7,1.6
11023,r015,Dominican Republic,1.5,0.7,1.2,2.3
11023,r016,Nigeria,1.4,1.3,2.6,0.4
11023,r017,Haiti,1.2,0.5,2.3,1.0
11023,r018,Taiwan,1.1,2.1,1.2,0.3
11023,r019,Brazil,1.1,1.1,1.1,1.2
11023,r020,Iran,1.1,1.5,1.6,0.4
11023,r021,Russia,1.1,1.6,1.4,0.5
11023,r022,Poland,1.1,0.8,1.1,1.3
11023,r023,Pakistan,1.1,1.7,1.3,0.3
11023,r024,Ukraine,1.0,1.1,1.1,0.8
11023,r025,Venezuela,0.9,0.9,0.8,1.1
11023,r026,Germany,0.9,1.1,1.1,0.4
11023,r027,Ecuador,0.8,0.5,0.5,1.4
