table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7555,r001,U.S. citizens and permanent residents reporting graduate debt,U.S. citizens and permanent residents reporting graduate debt,,,,1,,,,,,,,,,,,,,,,,,,
7555,r002,U.S. citizens and permanent residents reporting graduate debt -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Total (number)<sup>b</sup>,,,2,30269,22969,657,5696,678,3659,651,1803,819,647,2628,2832,2899,7300,545,2793,2201,544,1217
7555,r003,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $30,000 (%)",,,2,22.6,18.5,15.1,11.4,10.8,7.7,9.2,39.3,9.5,19.5,5.4,41.0,29.8,35.4,33.8,39.4,28.0,34.9,40.5
7555,r004,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $70,000 (%)",,,2,13.8,11.3,7.8,6.0,5.5,3.7,4.5,24.9,4.9,12.7,2.1,29.4,18.5,21.8,24.2,25.2,15.6,18.4,25.3
7555,r005,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
7555,r006,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,Total (number)<sup>b</sup>,,3,2723,2067,41,551,31,299,47,136,62,66,209,318,307,656,28,272,211,43,102
7555,r007,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $30,000 (%)",,3,29.6,25.6,19.5,14.3,22.6,12.7,17.0,46.3,14.5,34.8,10.0,56.0,30.9,42.4,42.9,45.2,32.7,51.2,51.0
7555,r008,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $70,000 (%)",,3,18.6,16.3,,6.7,,7.0,,24.3,,21.2,4.8,43.4,22.5,25.9,,27.2,19.0,,34.3
7555,r009,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
7555,r010,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,,,,,,,,,,,
7555,r011,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>b</sup>,4,89,61,,12,0,,,9,0,,,8,15,28,,16,,,6
7555,r012,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,39.3,32.8,0.0,,-,,,,-,0.0,,,33.3,53.6,0.0,,,,
7555,r013,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $70,000 (%)",4,27.0,,0.0,0.0,-,,0.0,,-,0.0,,62.5,33.3,,0.0,,,,
7555,r014,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,,3,,,,,,,,,,,,,,,,,,,
7555,r015,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,Total (number)<sup>b</sup>,4,2929,2476,39,681,134,566,30,177,91,68,261,178,251,453,74,153,111,31,84
7555,r016,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,10.2,8.8,,6.0,,3.7,,,,,3.8,,11.2,17.9,14.9,17.0,18.9,16.1,21.4
7555,r017,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $70,000 (%)",4,5.4,4.4,0.0,2.9,,1.2,0.0,,,,,19.7,4.0,10.4,,11.1,14.4,,9.5
7555,r018,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,,,,,,,,,,,
7555,r019,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,Total (number)<sup>b</sup>,4,2298,1398,29,260,36,,13,252,28,47,,227,281,900,104,472,97,17,210
7555,r020,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,54.8,49.1,34.5,31.5,44.4,,,67.5,46.4,46.8,,66.1,62.6,63.8,64.4,65.7,50.5,64.7,65.2
7555,r021,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $70,000 (%)",4,40.5,36.2,,18.5,27.8,13.6,,52.0,,,,55.5,44.1,47.1,53.8,49.4,27.8,,
7555,r022,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,,3,,,,,,,,,,,,,,,,,,,
7555,r023,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,Total (number)<sup>b</sup>,4,20679,15793,519,3912,434,2462,519,1150,586,426,1950,1931,1904,4886,311,1745,1660,421,749
7555,r024,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,19.6,16.4,14.3,10.8,9.4,7.2,8.3,34.3,7.3,16.2,4.5,36.8,27.7,30.2,27.0,32.7,25.7,33.5,33.6
