table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
12719,r001,Alabama,Alabama,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r002,Alabama -> Public,Alabama,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['780,479', '']","['578,126', '']"
12719,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['53,182', '']","['22,971', '']"
12719,r005,Arizona,Arizona,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r006,Arizona -> Public,Arizona,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r007,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['955,424', '']","['286,547', '']"
12719,r008,Arkansas,Arkansas,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r009,Arkansas -> Public,Arkansas,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r010,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['209,409', '']","['209,409', '']"
12719,r011,California,California,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r012,California -> Public,California,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r013,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['962,399', '']","['262,309', '']"
12719,r014,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['609,614', '']","['210,482', '']"
12719,r015,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,721,665', '']","['1,089,899', '']"
12719,r016,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['214,802', '']","['19,586', '']"
12719,r017,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,705,410', '']","['782,076', '']"
12719,r018,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['2,046,539', '']","['1,793,321', '']"
12719,r019,California -> Private,California,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r020,California -> Private -> Charles R. Drew U. of Medicine and Science<sup>a</sup>,California,Private,Charles R. Drew U. of Medicine and Science<sup>a</sup>,3,"['19,551', '']","['17,009', '']"
12719,r021,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['22,262', '']","['18,203', '']"
12719,r022,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,537,846', '']","['1,082,751', '']"
12719,r023,"California -> Private -> Touro U., California",California,Private,"Touro U., California",3,"['2,877', '']","['2,167', '']"
12719,r024,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['1,154,804', '']","['478,590', '']"
12719,r025,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['8,929', '']","['1,530', '']"
12719,r026,Colorado,Colorado,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r027,Colorado -> Public,Colorado,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r028,Colorado -> Public -> U. Colorado Anschutz Medical Campus,Colorado,Public,U. Colorado Anschutz Medical Campus,3,"['686,026', '']","['518,050', '']"
12719,r029,Connecticut,Connecticut,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r030,Connecticut -> Public,Connecticut,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r031,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['390,165', '']","['120,594', '']"
12719,r032,Connecticut -> Private,Connecticut,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r033,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,326,807', '']","['1,105,515', '']"
12719,r034,District of Columbia,District of Columbia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r035,District of Columbia -> Private,District of Columbia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r036,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['360,260', '']","['72,692', '']"
12719,r037,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['337,006', '']","['190,610', '']"
12719,r038,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['84,756', '']","['23,290', '']"
12719,r039,Florida,Florida,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r040,Florida -> Public,Florida,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r041,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['77,593', '']","['11,073', '']"
12719,r042,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['306,434', '']","['10,967', '']"
12719,r043,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['414,463', '']","['34,260', '']"
12719,r044,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['247,259', '']","['7,465', '']"
12719,r045,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['1,250,201', '']","['531,066', '']"
12719,r046,Florida -> Public -> U. South Florida,Florida,Public,U. South Florida,3,"['461,390', '']","['172,122', '']"
12719,r047,Florida -> Private,Florida,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r048,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['50,173', '']","['18,062', '']"
12719,r049,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['509,951', '']","['382,542', '']"
12719,r050,Georgia,Georgia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r051,Georgia -> Public,Georgia,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r052,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['139,121', '']","['116,467', '']"
12719,r053,Georgia -> Private,Georgia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r054,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['1,094,328', '']","['700,949', '']"
12719,r055,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['45,247', '']","['5,641', '']"
12719,r056,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['57,125', '']","['56,541', '']"
12719,r057,Hawaii,Hawaii,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r058,Hawaii -> Public,Hawaii,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r059,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['313,143', '']","['29,536', '']"
12719,r060,Illinois,Illinois,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r061,Illinois -> Public,Illinois,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r062,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['58,291', '']","['20,248', '']"
12719,r063,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['492,936', '']","['216,563', '']"
12719,r064,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['821,023', '']","['970', '']"
12719,r065,Illinois -> Private,Illinois,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r066,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['52,445', '']","['39,526', '']"
12719,r067,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['12,725', '']","['6,624', '']"
12719,r068,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['1,114,269', '']","['765,286', '']"
12719,r069,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['11,629', '']","['10,116', '']"
12719,r070,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['132,394', '']","['127,834', '']"
12719,r071,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['628,302', '']","['395,621', '']"
12719,r072,Indiana,Indiana,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r073,Indiana -> Public,Indiana,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r074,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['853,056', '']","['565,019', '']"
12719,r075,Indiana -> Private,Indiana,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r076,"Indiana -> Private -> Marian U., Indianapolis",Indiana,Private,"Marian U., Indianapolis",3,"['3,009', '']","['1,948', '']"
12719,r077,Iowa,Iowa,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r078,Iowa -> Public,Iowa,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r079,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['662,134', '']","['353,938', '']"
12719,r080,Iowa -> Private,Iowa,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r081,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['3,932', '']","['401', '']"
12719,r082,Kansas,Kansas,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r083,Kansas -> Public,Kansas,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r084,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['466,222', '']","['176,715', '']"
12719,r085,Kentucky,Kentucky,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r086,Kentucky -> Public,Kentucky,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r087,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['504,005', '']","['199,428', '']"
12719,r088,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['220,568', '']","['134,861', '']"
12719,r089,Louisiana,Louisiana,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r090,Louisiana -> Public,Louisiana,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r091,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['68,707', '']","['62,462', '']"
12719,r092,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['35,624', '']","['35,624', '']"
12719,r093,Louisiana -> Private,Louisiana,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r094,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['258,439', '']","['103,227', '']"
12719,r095,Maine,Maine,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r096,Maine -> Private,Maine,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r097,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['6,756', '']","['1,984', '']"
12719,r098,Maryland,Maryland,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r099,Maryland -> Public,Maryland,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12719,r100,Maryland -> Public -> U. Maryland<sup>b</sup>,Maryland,Public,U. Maryland<sup>b</sup>,3,"['1,385,302', '']","['543,571', '']"
12719,r101,Maryland -> Public -> Uniformed Services U. of the Health Sciences,Maryland,Public,Uniformed Services U. of the Health Sciences,3,"['496,441', '']","['392,367', '']"
