table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
8209,r001,Doctorate recipient,Doctorate recipient,,,,1,872100,2425,523500,2725,184350,2075,307900,2750,135750,1925,92500,1525,68450,1425,369000,2700,124600,1575,241550,2375,62100,1350
8209,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,543550,2350,347350,2500,123700,1750,198900,2400,98100,1650,74650,1425,52350,1300,216150,2200,57850,1300,140600,1850,35900,1075
8209,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,328500,1250,176150,1575,60650,1175,109000,1425,37650,775,17800,650,16100,600,152900,1425,66700,1175,100950,1300,26250,825
8209,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>c</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>c</sup>,,3,40100,475,24500,525,9600,375,14650,475,5200,300,3150,200,2500,175,16900,450,5850,275,12650,400,3050,250
8209,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,,3,,,,,,,,,,,,,,,,,,,,,,
8209,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,American Indian or Alaska Native,4,1400,125,800,100,400,75,400,75,200,75,50,25,50,25,550,75,300,75,550,100,50,25
8209,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Asian,4,219800,1600,151200,1525,50100,1250,86600,1500,53550,1175,37350,1025,25600,1050,76300,1400,18500,825,40500,1050,14100,775
8209,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Black or African American,4,31800,475,16900,450,5800,325,10450,400,3500,200,1400,125,1900,200,13500,375,5600,350,11500,375,2550,225
8209,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,White,4,562950,2075,320850,2400,114700,1650,190400,2200,70900,1475,49250,1000,37050,975,254450,1975,91750,1300,172600,2025,40950,1200
8209,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Other race<sup>e</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Other race<sup>e</sup>,4,16000,575,9200,475,3700,300,5400,400,2400,250,1300,200,1350,175,7300,450,2550,200,3850,275,1400,225
8209,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99200,925,73000,925,27150,800,45900,825,20650,700,19650,600,10300,550,29100,750,9350,475,17300,575,6900,375
