table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_level_3,_b_total_in_survey_b_hierarchy_depth,value
10635,r001,"Fall 2022, all surveyed fields",Total in survey,Master's students,Full time,3,319618
10635,r002,"Fall 2022, all surveyed fields",Total in survey,Master's students,Part time,3,181693
10635,r003,"Fall 2022, all surveyed fields",Total in survey,Doctoral students,Full time,3,259683
10635,r004,"Fall 2022, all surveyed fields",Total in survey,Doctoral students,Part time,3,37540
10635,r005,"Fall 2022, all surveyed fields",Number imputed,Master's students,Full time,3,4004
10635,r006,"Fall 2022, all surveyed fields",Number imputed,Master's students,Part time,3,2305
10635,r007,"Fall 2022, all surveyed fields",Number imputed,Doctoral students,Full time,3,1444
10635,r008,"Fall 2022, all surveyed fields",Number imputed,Doctoral students,Part time,3,305
10635,r009,"Fall 2022, all surveyed fields",Imputation rate (%),Master's students,Full time,3,1.3
10635,r010,"Fall 2022, all surveyed fields",Imputation rate (%),Master's students,Part time,3,1.3
10635,r011,"Fall 2022, all surveyed fields",Imputation rate (%),Doctoral students,Full time,3,0.6
10635,r012,"Fall 2022, all surveyed fields",Imputation rate (%),Doctoral students,Part time,3,0.8
10635,r013,"Fall 2022, all surveyed fields -> Science",Total in survey,Master's students,Full time,3,208749
10635,r014,"Fall 2022, all surveyed fields -> Science",Total in survey,Master's students,Part time,3,123234
10635,r015,"Fall 2022, all surveyed fields -> Science",Total in survey,Doctoral students,Full time,3,183443
10635,r016,"Fall 2022, all surveyed fields -> Science",Total in survey,Doctoral students,Part time,3,22740
10635,r017,"Fall 2022, all surveyed fields -> Science",Number imputed,Master's students,Full time,3,2864
10635,r018,"Fall 2022, all surveyed fields -> Science",Number imputed,Master's students,Part time,3,1870
10635,r019,"Fall 2022, all surveyed fields -> Science",Number imputed,Doctoral students,Full time,3,1347
10635,r020,"Fall 2022, all surveyed fields -> Science",Number imputed,Doctoral students,Part time,3,206
10635,r021,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Master's students,Full time,3,1.4
10635,r022,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Master's students,Part time,3,1.5
10635,r023,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Doctoral students,Full time,3,0.7
10635,r024,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Doctoral students,Part time,3,0.9
10635,r025,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Full time,3,4143
10635,r026,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Part time,3,2806
10635,r027,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Full time,3,3892
10635,r028,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Part time,3,755
10635,r029,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Full time,3,19
10635,r030,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Part time,3,15
10635,r031,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Full time,3,15
10635,r032,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Part time,3,10
10635,r033,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Full time,3,0.5
10635,r034,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Part time,3,0.5
10635,r035,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Full time,3,0.4
10635,r036,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Part time,3,1.3
10635,r037,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Master's students,Full time,3,27987
10635,r038,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Master's students,Part time,3,15075
10635,r039,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Doctoral students,Full time,3,55630
10635,r040,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Doctoral students,Part time,3,4008
10635,r041,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Master's students,Full time,3,430
10635,r042,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Master's students,Part time,3,262
10635,r043,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Doctoral students,Full time,3,231
10635,r044,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Doctoral students,Part time,3,18
10635,r045,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Master's students,Full time,3,1.5
10635,r046,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Master's students,Part time,3,1.7
10635,r047,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Doctoral students,Full time,3,0.4
10635,r048,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Doctoral students,Part time,3,0.4
10635,r049,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Total in survey,Master's students,Full time,3,83708
10635,r050,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Total in survey,Master's students,Part time,3,46264
10635,r051,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Total in survey,Doctoral students,Full time,3,17544
10635,r052,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Total in survey,Doctoral students,Part time,3,3039
10635,r053,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Number imputed,Master's students,Full time,3,558
10635,r054,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Number imputed,Master's students,Part time,3,334
10635,r055,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Number imputed,Doctoral students,Full time,3,111
10635,r056,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Number imputed,Doctoral students,Part time,3,61
10635,r057,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Imputation rate (%),Master's students,Full time,3,0.7
10635,r058,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Imputation rate (%),Master's students,Part time,3,0.7
10635,r059,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Imputation rate (%),Doctoral students,Full time,3,0.6
10635,r060,"Fall 2022, all surveyed fields -> Science -> Computer and information sciences",Imputation rate (%),Doctoral students,Part time,3,2.0
10635,r061,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Master's students,Full time,3,3621
10635,r062,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Master's students,Part time,3,1565
10635,r063,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Doctoral students,Full time,3,6126
10635,r064,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Doctoral students,Part time,3,658
10635,r065,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Number imputed,Master's students,Full time,3,34
10635,r066,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Number imputed,Master's students,Part time,3,13
10635,r067,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Number imputed,Doctoral students,Full time,3,0
10635,r068,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Number imputed,Doctoral students,Part time,3,0
10635,r069,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Imputation rate (%),Master's students,Full time,3,0.9
10635,r070,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Imputation rate (%),Master's students,Part time,3,0.8
10635,r071,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Imputation rate (%),Doctoral students,Full time,3,0.0
10635,r072,"Fall 2022, all surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r073,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Total in survey,Master's students,Full time,3,14239
10635,r074,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Total in survey,Master's students,Part time,3,6559
10635,r075,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Total in survey,Doctoral students,Full time,3,12359
10635,r076,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Total in survey,Doctoral students,Part time,3,1230
10635,r077,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Number imputed,Master's students,Full time,3,78
10635,r078,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Number imputed,Master's students,Part time,3,100
10635,r079,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Number imputed,Doctoral students,Full time,3,0
10635,r080,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Number imputed,Doctoral students,Part time,3,0
10635,r081,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Imputation rate (%),Master's students,Full time,3,0.5
10635,r082,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Imputation rate (%),Master's students,Part time,3,1.5
10635,r083,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Imputation rate (%),Doctoral students,Full time,3,0.0
10635,r084,"Fall 2022, all surveyed fields -> Science -> Mathematics and statistics",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r085,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Total in survey,Master's students,Full time,3,9767
10635,r086,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Total in survey,Master's students,Part time,3,7164
10635,r087,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Total in survey,Doctoral students,Full time,3,3281
10635,r088,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Total in survey,Doctoral students,Part time,3,733
10635,r089,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Number imputed,Master's students,Full time,3,25
10635,r090,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Number imputed,Master's students,Part time,3,29
10635,r091,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Number imputed,Doctoral students,Full time,3,322
10635,r092,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Number imputed,Doctoral students,Part time,3,0
10635,r093,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Imputation rate (%),Master's students,Full time,3,0.3
10635,r094,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Imputation rate (%),Master's students,Part time,3,0.4
10635,r095,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Imputation rate (%),Doctoral students,Full time,3,9.8
10635,r096,"Fall 2022, all surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r097,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Total in survey,Master's students,Full time,3,6010
10635,r098,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Total in survey,Master's students,Part time,3,3797
10635,r099,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Total in survey,Doctoral students,Full time,3,3151
10635,r100,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Total in survey,Doctoral students,Part time,3,804
10635,r101,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Number imputed,Master's students,Full time,3,27
10635,r102,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Number imputed,Master's students,Part time,3,24
10635,r103,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Number imputed,Doctoral students,Full time,3,48
10635,r104,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Number imputed,Doctoral students,Part time,3,4
10635,r105,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Imputation rate (%),Master's students,Full time,3,0.4
10635,r106,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Imputation rate (%),Master's students,Part time,3,0.6
10635,r107,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Imputation rate (%),Doctoral students,Full time,3,1.5
10635,r108,"Fall 2022, all surveyed fields -> Science -> Natural resources and conservation",Imputation rate (%),Doctoral students,Part time,3,0.5
10635,r109,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Total in survey,Master's students,Full time,3,3726
10635,r110,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Total in survey,Master's students,Part time,3,2530
10635,r111,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Total in survey,Doctoral students,Full time,3,35286
10635,r112,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Total in survey,Doctoral students,Part time,3,2550
10635,r113,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Number imputed,Master's students,Full time,3,84
10635,r114,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Number imputed,Master's students,Part time,3,33
10635,r115,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Number imputed,Doctoral students,Full time,3,94
10635,r116,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Number imputed,Doctoral students,Part time,3,22
10635,r117,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Imputation rate (%),Master's students,Full time,3,2.3
10635,r118,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Imputation rate (%),Master's students,Part time,3,1.3
10635,r119,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Imputation rate (%),Doctoral students,Full time,3,0.3
10635,r120,"Fall 2022, all surveyed fields -> Science -> Physical sciences",Imputation rate (%),Doctoral students,Part time,3,0.9
10635,r121,"Fall 2022, all surveyed fields -> Science -> Psychology",Total in survey,Master's students,Full time,3,27861
10635,r122,"Fall 2022, all surveyed fields -> Science -> Psychology",Total in survey,Master's students,Part time,3,20460
10635,r123,"Fall 2022, all surveyed fields -> Science -> Psychology",Total in survey,Doctoral students,Full time,3,17335
10635,r124,"Fall 2022, all surveyed fields -> Science -> Psychology",Total in survey,Doctoral students,Part time,3,3786
10635,r125,"Fall 2022, all surveyed fields -> Science -> Psychology",Number imputed,Master's students,Full time,3,1392
10635,r126,"Fall 2022, all surveyed fields -> Science -> Psychology",Number imputed,Master's students,Part time,3,725
10635,r127,"Fall 2022, all surveyed fields -> Science -> Psychology",Number imputed,Doctoral students,Full time,3,517
10635,r128,"Fall 2022, all surveyed fields -> Science -> Psychology",Number imputed,Doctoral students,Part time,3,82
10635,r129,"Fall 2022, all surveyed fields -> Science -> Psychology",Imputation rate (%),Master's students,Full time,3,5.0
10635,r130,"Fall 2022, all surveyed fields -> Science -> Psychology",Imputation rate (%),Master's students,Part time,3,3.5
10635,r131,"Fall 2022, all surveyed fields -> Science -> Psychology",Imputation rate (%),Doctoral students,Full time,3,3.0
10635,r132,"Fall 2022, all surveyed fields -> Science -> Psychology",Imputation rate (%),Doctoral students,Part time,3,2.2
10635,r133,"Fall 2022, all surveyed fields -> Science -> Social sciences",Total in survey,Master's students,Full time,3,27687
10635,r134,"Fall 2022, all surveyed fields -> Science -> Social sciences",Total in survey,Master's students,Part time,3,17014
10635,r135,"Fall 2022, all surveyed fields -> Science -> Social sciences",Total in survey,Doctoral students,Full time,3,28839
10635,r136,"Fall 2022, all surveyed fields -> Science -> Social sciences",Total in survey,Doctoral students,Part time,3,5177
10635,r137,"Fall 2022, all surveyed fields -> Science -> Social sciences",Number imputed,Master's students,Full time,3,217
10635,r138,"Fall 2022, all surveyed fields -> Science -> Social sciences",Number imputed,Master's students,Part time,3,335
10635,r139,"Fall 2022, all surveyed fields -> Science -> Social sciences",Number imputed,Doctoral students,Full time,3,9
10635,r140,"Fall 2022, all surveyed fields -> Science -> Social sciences",Number imputed,Doctoral students,Part time,3,9
10635,r141,"Fall 2022, all surveyed fields -> Science -> Social sciences",Imputation rate (%),Master's students,Full time,3,0.8
10635,r142,"Fall 2022, all surveyed fields -> Science -> Social sciences",Imputation rate (%),Master's students,Part time,3,2.0
10635,r143,"Fall 2022, all surveyed fields -> Science -> Social sciences",Imputation rate (%),Doctoral students,Full time,3,0.05
10635,r144,"Fall 2022, all surveyed fields -> Science -> Social sciences",Imputation rate (%),Doctoral students,Part time,3,0.2
10635,r145,"Fall 2022, all surveyed fields -> Engineering",Total in survey,Master's students,Full time,3,66427
10635,r146,"Fall 2022, all surveyed fields -> Engineering",Total in survey,Master's students,Part time,3,36593
10635,r147,"Fall 2022, all surveyed fields -> Engineering",Total in survey,Doctoral students,Full time,3,64020
10635,r148,"Fall 2022, all surveyed fields -> Engineering",Total in survey,Doctoral students,Part time,3,8960
10635,r149,"Fall 2022, all surveyed fields -> Engineering",Number imputed,Master's students,Full time,3,203
10635,r150,"Fall 2022, all surveyed fields -> Engineering",Number imputed,Master's students,Part time,3,224
