table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_science_and_engineering_total_number,field_science_and_engineering_total_median,field_agricultural_sciences_and_natural_resources_number,field_agricultural_sciences_and_natural_resources_median,field_biological_and_biomedical_sciences_number,field_biological_and_biomedical_sciences_median,field_computer_and_information_sciences_number,field_computer_and_information_sciences_median,field_engineering_number,field_engineering_median,field_geosciences_atmospheric_and_ocean_sciences_number,field_geosciences_atmospheric_and_ocean_sciences_median,field_health_sciences_number,field_health_sciences_median,field_mathematics_and_statistics_number,field_mathematics_and_statistics_median,field_multidisciplinary_interdisciplinary_sciences_number,field_multidisciplinary_interdisciplinary_sciences_median,field_physical_sciences_number,field_physical_sciences_median,field_psychology_number,field_psychology_median,field_social_sciences_number,field_social_sciences_median
11675,r001,Years since bachelor's degree,Years since bachelor's degree,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r002,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,,,,2,54429,8.6,43361,8.0,1204,9.0,9266,7.8,2159,8.2,10074,7.4,1155,8.1,2512,11.4,1970,7.0,1616,8.3,5179,6.7,3474,8.6,4752,10.2
11675,r003,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r004,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Male,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Male,,4,28564,8.3,24059,7.9,540,9.1,4202,8.0,1620,8.1,7426,7.6,630,8.3,714,9.9,1411,6.8,993,8.1,3414,7.0,800,8.9,2309,10.0
11675,r005,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Female,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Female,,4,25858,9.0,19295,8.2,664,8.6,5063,7.6,539,8.9,2648,7.1,524,8.0,1798,12.2,558,7.2,623,8.4,1764,6.3,2673,8.4,2441,10.3
11675,r006,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r007,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,4,34922,8.8,26551,8.0,770,8.9,6908,7.6,806,8.3,4458,6.9,767,8.0,1880,12.2,924,6.3,813,8.3,3101,6.3,3084,8.6,3040,10.3
11675,r008,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> Temporary visa holder,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,Temporary visa holder,,4,18754,8.3,16264,8.1,425,8.9,2259,8.3,1310,8.1,5509,7.9,375,8.5,586,9.9,1020,7.3,784,8.2,2025,7.3,320,8.5,1651,10.0
11675,r009,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r010,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3370,8.6,2552,7.9,63,8.3,713,7.6,47,7.4,398,6.6,58,8.3,155,10.7,64,6.3,73,8.4,294,6.6,361,8.6,326,10.5
