table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11654,r001,Doctorate recipients reporting community college attendance,Doctorate recipients reporting community college attendance,,,1,21.3,20.0,26.0,23.0,9.4,14.2,21.4,36.1,13.4,17.2,17.3,30.5,19.6,26.7,16.0,35.5,23.6,17.3,26.5
11654,r002,Sex,Sex,,,1,,,,,,,,,,,,,,,,,,,
11654,r003,Sex -> Male,Sex,Male,,2,18.9,17.7,29.2,22.8,9.2,13.5,20.3,30.3,13.4,15.2,16.9,33.5,19.3,25.9,16.9,35.4,24.6,18.7,28.2
11654,r004,Sex -> Female,Sex,Female,,2,24.0,22.9,23.3,23.2,10.1,16.0,22.8,38.4,13.4,20.4,18.2,29.6,19.8,27.3,14.9,35.5,22.5,16.3,25.5
11654,r005,Citizenship status,Citizenship status,,,1,,,,,,,,,,,,,,,,,,,
11654,r006,Citizenship status -> U.S. citizen or permanent resident,Citizenship status,U.S. citizen or permanent resident,,2,30.8,30.1,38.6,29.4,20.3,27.6,29.7,44.8,26.1,30.1,26.8,33.2,28.3,33.1,28.7,39.3,28.0,21.2,34.8
11654,r007,Citizenship status -> Temporary visa holder,Citizenship status,Temporary visa holder,,2,3.8,3.5,4.4,4.0,2.7,3.3,4.2,9.3,1.4,3.9,2.9,5.3,3.3,5.2,4.5,7.5,4.4,4.1,5.5
11654,r008,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity and race (U.S. citizens and permanent residents),,,1,,,,,,,,,,,,,,,,,,,
11654,r009,Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,2,35.1,34.7,26.2,32.3,26.7,32.2,31.6,45.1,37.7,33.8,35.0,40.9,34.0,36.5,33.3,42.9,26.6,29.2,41.8
11654,r010,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,2,,,,,,,,,,,,,,,,,,,
11654,r011,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,3,67.4,64.4,,45.5,,,,88.9,-,,,,73.3,72.2,,71.4,75.0,,
11654,r012,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,3,20.3,20.5,,20.9,,20.0,17.9,30.6,15.2,,21.0,,15.8,19.1,,28.5,12.1,,
11654,r013,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,3,37.2,35.6,26.7,30.0,36.6,,,49.8,47.6,42.9,,37.3,31.7,39.6,39.3,41.4,33.8,27.3,40.3
11654,r014,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,3,30.8,30.4,41.4,30.2,21.9,27.6,30.5,46.3,26.5,30.3,26.6,31.6,28.2,32.0,29.8,38.5,27.9,18.8,33.7
11654,r015,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,3,34.9,32.8,30.8,33.5,28.6,37.4,24.1,30.5,29.3,37.5,27.9,35.3,30.4,44.6,42.9,45.3,45.8,37.5,44.4
11654,r016,Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,3,33.1,31.7,33.3,28.3,16.7,31.4,50.0,37.5,27.3,16.7,36.4,35.5,34.2,37.1,37.5,55.0,24.2,37.5,40.0
11654,r017,Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,2,32.4,33.3,80.0,36.0,10.0,40.9,0.0,62.5,0.0,33.3,13.3,36.8,21.1,29.8,40.0,22.7,35.3,37.5,20.0
