table_id,row_id,time_period,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_1,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_2,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_3,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_4,total_employed_in_all_survey_cycles_2015_2017_and_2019_hierarchy_depth,value
6336,r001,"All employed for all survey cycles (2015, 2017, and 2019)","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,745400
6336,r002,"All employed for all survey cycles (2015, 2017, and 2019)","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,1950
6336,r003,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,In field in 2017,Number,,3,672100
6336,r004,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,In field in 2017,SE,,3,2250
6336,r005,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2017,Voluntarily,Number,4,15000
6336,r006,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2017,Voluntarily,SE,4,750
6336,r007,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2017,Involuntarily,Number,4,7700
6336,r008,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2017,Involuntarily,SE,4,525
6336,r009,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,In field in 2019,Number,,3,668250
6336,r010,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,In field in 2019,SE,,3,2225
6336,r011,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2019,Voluntarily,Number,4,17950
6336,r012,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2019,Voluntarily,SE,4,700
6336,r013,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2019,Involuntarily,Number,4,8600
6336,r014,"All employed for all survey cycles (2015, 2017, and 2019)",In field in 2015,Out of field in 2019,Involuntarily,SE,4,600
6336,r015,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,In field in 2017,Number,,3,23550
6336,r016,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,In field in 2017,SE,,3,950
6336,r017,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,16300
6336,r018,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,700
6336,r019,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,10750
6336,r020,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,675
6336,r021,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,In field in 2019,Number,,3,25150
6336,r022,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,In field in 2019,SE,,3,975
6336,r023,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,16400
6336,r024,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,750
6336,r025,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,9050
6336,r026,"All employed for all survey cycles (2015, 2017, and 2019)",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,575
6336,r027,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,494200
6336,r028,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,1650
6336,r029,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,In field in 2017,Number,,3,444000
6336,r030,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,In field in 2017,SE,,3,1950
6336,r031,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2017,Voluntarily,Number,4,10450
6336,r032,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2017,Voluntarily,SE,4,650
6336,r033,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2017,Involuntarily,Number,4,5250
6336,r034,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2017,Involuntarily,SE,4,450
6336,r035,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,In field in 2019,Number,,3,441150
6336,r036,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,In field in 2019,SE,,3,1900
6336,r037,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2019,Voluntarily,Number,4,12450
6336,r038,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2019,Voluntarily,SE,4,600
6336,r039,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2019,Involuntarily,Number,4,6100
6336,r040,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",In field in 2015,Out of field in 2019,Involuntarily,SE,4,525
6336,r041,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,In field in 2017,Number,,3,16250
6336,r042,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,In field in 2017,SE,,3,825
6336,r043,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,11200
