table_id,row_id,time_period,all_employed_level_1,all_employed_level_2,all_employed_level_3,all_employed_hierarchy_depth,value
8168,r001,Doctorate recipient,All employed,Number,,2,872100
8168,r002,Doctorate recipient,All employed,SE,,2,2425
8168,r003,Doctorate recipient,Science,Total,Number,3,647300
8168,r004,Doctorate recipient,Science,Total,SE,3,2000
8168,r005,Doctorate recipient,Science,"Biological, agricultural, and environmental life sciences",Number,3,226850
8168,r006,Doctorate recipient,Science,"Biological, agricultural, and environmental life sciences",SE,3,1275
8168,r007,Doctorate recipient,Science,Computer and information sciences,Number,3,33600
8168,r008,Doctorate recipient,Science,Computer and information sciences,SE,3,425
8168,r009,Doctorate recipient,Science,Mathematics and statistics,Number,3,36600
8168,r010,Doctorate recipient,Science,Mathematics and statistics,SE,3,575
8168,r011,Doctorate recipient,Science,Physical sciences,Number,3,137050
8168,r012,Doctorate recipient,Science,Physical sciences,SE,3,1025
8168,r013,Doctorate recipient,Science,Psychology,Number,3,113500
8168,r014,Doctorate recipient,Science,Psychology,SE,3,825
8168,r015,Doctorate recipient,Science,Social sciences,Number,3,99700
8168,r016,Doctorate recipient,Science,Social sciences,SE,3,1000
8168,r017,Doctorate recipient,Engineering,Number,,2,183100
8168,r018,Doctorate recipient,Engineering,SE,,2,1325
8168,r019,Doctorate recipient,Health,Number,,2,41650
8168,r020,Doctorate recipient,Health,SE,,2,525
8168,r021,Doctorate recipient -> Postdoctoral appointment in 2021,All employed,Number,,2,27150
8168,r022,Doctorate recipient -> Postdoctoral appointment in 2021,All employed,SE,,2,750
8168,r023,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Total,Number,3,22100
8168,r024,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Total,SE,3,675
8168,r025,Doctorate recipient -> Postdoctoral appointment in 2021,Science,"Biological, agricultural, and environmental life sciences",Number,3,13650
8168,r026,Doctorate recipient -> Postdoctoral appointment in 2021,Science,"Biological, agricultural, and environmental life sciences",SE,3,575
8168,r027,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Computer and information sciences,Number,3,300
8168,r028,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Computer and information sciences,SE,3,100
8168,r029,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Mathematics and statistics,Number,3,850
8168,r030,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Mathematics and statistics,SE,3,175
8168,r031,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Physical sciences,Number,3,5550
8168,r032,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Physical sciences,SE,3,375
8168,r033,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Psychology,Number,3,850
8168,r034,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Psychology,SE,3,150
8168,r035,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Social sciences,Number,3,900
8168,r036,Doctorate recipient -> Postdoctoral appointment in 2021,Science,Social sciences,SE,3,150
8168,r037,Doctorate recipient -> Postdoctoral appointment in 2021,Engineering,Number,,2,3950
8168,r038,Doctorate recipient -> Postdoctoral appointment in 2021,Engineering,SE,,2,325
8168,r039,Doctorate recipient -> Postdoctoral appointment in 2021,Health,Number,,2,1100
