table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other_fields_of_s_e
12858,r001,Alabama,Alabama,,,1,"['347,114', '']","['7,000', '']","['52,500', '']","['0', '']","['43,114', '']","['0', '']","['165,000', '']","['0', '']","['0', '']","['27,000', '']","['52,500', '']","['0', '']","['0', '']"
12858,r002,Alabama -> Public,Alabama,Public,,2,"['347,114', '']","['7,000', '']","['52,500', '']","['0', '']","['43,114', '']","['0', '']","['165,000', '']","['0', '']","['0', '']","['27,000', '']","['52,500', '']","['0', '']","['0', '']"
12858,r003,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r004,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['47,000', '']","['7,000', '']","['0', '']","['0', '']","['40,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r005,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['27,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['27,000', '']","['0', '']","['0', '']","['0', '']"
12858,r006,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['105,000', '']","['0', '']","['52,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['52,500', '']","['0', '']","['0', '']"
12858,r007,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['3,114', '']","['0', '']","['0', '']","['0', '']","['3,114', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r008,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r009,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['165,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['165,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r010,Alabama -> Private,Alabama,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r011,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r012,Alaska,Alaska,,,1,"['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r013,Alaska -> Public,Alaska,Public,,2,"['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r014,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r015,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r016,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r017,Alaska -> Private,Alaska,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r018,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r019,Arizona,Arizona,,,1,"['351,080', '']","['5,580', '']","['0', '']","['0', '']","['187,000', '']","['0', '']","['150,000', '']","['8,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12858,r020,Arizona -> Public,Arizona,Public,,2,"['351,080', '']","['5,580', '']","['0', '']","['0', '']","['187,000', '']","['0', '']","['150,000', '']","['8,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
