table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_hierarchy_depth,field_1988_number,field_1988_percent,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent
1749,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,33496,100.0,39505,100.0,42475,100.0,40762,100.0,48765,100.0,52691,100.0,55166,100.0
1749,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,21677,64.7,24384,61.7,24628,58.0,22256,54.6,26271,53.9,28326,53.8,29798,54.0
1749,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,11819,35.3,15121,38.3,17847,42.0,18506,45.4,22494,46.1,24365,46.2,25368,46.0
1749,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,6222,100.0,7416,100.0,8590,100.0,8506,100.0,11082,100.0,12204,100.0,12773,100.0
1749,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,3935,63.2,4312,58.1,4682,54.5,4398,51.7,5223,47.1,5492,45.0,5659,44.3
1749,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2287,36.8,3104,41.9,3908,45.5,4108,48.3,5859,52.9,6712,55.0,7114,55.7
1749,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,3986,100.0,4354,100.0,4544,100.0,3971,100.0,4945,100.0,5581,100.0,6332,100.0
1749,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3300,82.8,3432,78.8,3429,75.5,2866,72.2,3505,70.9,3717,66.6,4214,66.6
1749,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,686,17.2,922,21.2,1115,24.5,1105,27.8,1440,29.1,1864,33.4,2118,33.4
1749,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1264,100.0,2004,100.0,2094,100.0,1859,100.0,3186,100.0,3660,100.0,4026,100.0
1749,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,1087,86.0,1602,79.9,1638,78.2,1419,76.3,2353,73.9,2792,76.3,3043,75.6
1749,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,177,14.0,402,20.1,456,21.8,440,23.7,833,26.1,868,23.7,983,24.4
1749,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6016,100.0,6825,100.0,7359,100.0,7098,100.0,7635,100.0,8578,100.0,8897,100.0
