table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
9604,r001,Doctorate recipients reporting parental education (number),Doctorate recipients reporting parental education (number),,,,1,49774,49774,7813,6545,13377,11366,4370,6303
9604,r002,Doctorate recipients reporting parental education (number) -> Highest level of parental education,Doctorate recipients reporting parental education (number),Highest level of parental education,,,2,49774,100.0,15.7,13.1,26.9,22.8,8.8,12.7
9604,r003,Doctorate recipients reporting parental education (number) -> Sex,Doctorate recipients reporting parental education (number),Sex,,,2,,,,,,,,
9604,r004,Doctorate recipients reporting parental education (number) -> Sex -> Male,Doctorate recipients reporting parental education (number),Sex,Male,,3,26431,100.0,16.9,12.2,27.3,22.5,8.4,12.7
9604,r005,Doctorate recipients reporting parental education (number) -> Sex -> Female,Doctorate recipients reporting parental education (number),Sex,Female,,3,23338,100.0,14.3,14.2,26.4,23.2,9.2,12.6
9604,r006,Doctorate recipients reporting parental education (number) -> Citizenship status,Doctorate recipients reporting parental education (number),Citizenship status,,,2,,,,,,,,
9604,r007,Doctorate recipients reporting parental education (number) -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting parental education (number),Citizenship status,U.S. citizen or permanent resident,,3,32251,100.0,12.5,14.0,24.3,24.7,10.8,13.7
9604,r008,Doctorate recipients reporting parental education (number) -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting parental education (number),Citizenship status,Temporary visa holder,,3,17514,100.0,21.7,11.5,31.6,19.4,5.0,10.8
9604,r009,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
9604,r010,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,3086,100.0,26.7,17.7,21.5,18.2,7.6,8.3
9604,r011,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
9604,r012,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,80,100.0,,25.0,20.0,21.3,7.5,
