table_id,row_id,rank,region_country_or_economy,2010,2020,2020_world_total_,2020_cumulative_total_
4859,r001,na,World,1938121,2940807,na,na
4859,r002,1,China,308769,669744,22.77,22.77
4859,r003,2,United States,409512,455856,15.5,38.28
4859,r004,3,India,60555,149213,5.07,43.35
4859,r005,4,Germany,97255,109379,3.72,47.07
4859,r006,5,United Kingdom,94081,105564,3.59,50.66
4859,r007,6,Japan,108534,101014,3.43,54.09
4859,r008,7,Russia,33855,89967,3.06,57.15
4859,r009,8,Italy,58252,85419,2.9,60.06
4859,r010,9,South Korea,50224,72490,2.46,62.52
4859,r011,10,Brazil,41501,70292,2.39,64.91
4859,r012,11,France,68300,66479,2.26,67.17
4859,r013,12,Canada,56445,65822,2.24,69.41
4859,r014,13,Spain,49031,65638,2.23,71.64
4859,r015,14,Australia,41661,60891,2.07,73.71
4859,r016,15,Iran,24694,57755,1.96,75.68
