table_id,row_id,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_full_path,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_1,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_2,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_3,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_4,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_5,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_hierarchy_depth,field_total,field_employed_in_all_occupations_employed,field_employed_in_all_occupations_full_time,field_employed_in_all_occupations_part_time,field_employed_in_s_e_occupations_full_time,field_employed_in_s_e_occupations_part_time,field_employed_in_s_e_related_occupations_full_time,field_employed_in_s_e_related_occupations_part_time,field_employed_in_non_s_e_occupations_full_time,field_employed_in_non_s_e_occupations_part_time,field_unemployeda,field_not_in_labor_forceb_total,field_not_in_labor_forceb_student,field_not_in_labor_forceb_retired,field_not_in_labor_forceb_not_seeking_employment_all_other_reasons,field_full_time_employed_median_annual_salary_
7779,r001,75 and younger,75 and younger,,,,,1,68593000,51764000,44153000,7611000,7230000,664000,7975000,1547000,28948000,5400000,3160000,13669000,606000,9335000,3729000,77000
7779,r002,75 and younger -> Female,75 and younger,Female,,,,2,36354000,26493000,21594000,4899000,1998000,302000,4380000,1114000,15216000,3483000,1638000,8222000,341000,4863000,3018000,66000
7779,r003,75 and younger -> Male,75 and younger,Male,,,,2,32239000,25271000,22559000,2711000,5232000,361000,3595000,433000,13732000,1917000,1522000,5447000,264000,4471000,711000,90000
7779,r004,75 and younger -> Hispanic or Latino,75 and younger,Hispanic or Latino,,,,2,6638000,5307000,4608000,699000,636000,56000,712000,131000,3260000,512000,426000,904000,70000,444000,391000,68000
7779,r005,75 and younger -> Not Hispanic or Latino,75 and younger,Not Hispanic or Latino,,,,2,,,,,,,,,,,,,,,,
7779,r006,75 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,,3,189000,126000,107000,19000,9000,S,20000,S,78000,16000,S,47000,,36000,S,59000
7779,r007,75 and younger -> Not Hispanic or Latino -> Asian,75 and younger,Not Hispanic or Latino,Asian,,,3,7029000,5475000,4772000,703000,1536000,129000,1085000,179000,2151000,395000,410000,1144000,147000,445000,552000,95000
7779,r008,75 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,Not Hispanic or Latino,Black or African American,,,3,5301000,4109000,3618000,491000,369000,30000,658000,98000,2592000,363000,385000,807000,51000,523000,233000,63000
7779,r009,75 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,164000,136000,128000,7000,15000,S,35000,,78000,5000,6000,23000,,15000,S,84000
7779,r010,75 and younger -> Not Hispanic or Latino -> White,75 and younger,Not Hispanic or Latino,White,,,3,47685000,35373000,29833000,5540000,4505000,438000,5311000,1101000,20017000,4001000,1795000,10517000,322000,7744000,2451000,79000
7779,r011,75 and younger -> Not Hispanic or Latino -> More than one race,75 and younger,Not Hispanic or Latino,More than one race,,,3,1587000,1238000,1087000,151000,161000,9000,153000,36000,773000,107000,122000,227000,15000,128000,85000,75000
7779,r012,75 and younger -> Without disability,75 and younger,Without disability,,,,2,58505000,45426000,39002000,6424000,6438000,567000,7179000,1355000,25384000,4502000,2582000,10497000,539000,7016000,2942000,78000
