table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_physical_sciences,field_2021_astronomy_and_astrophysics,field_2021_chemistry,field_2021_materials_science,field_2021_physics,field_2021_physical_sciences_nec
7989,r001,All institutions,All institutions,,1,-,"['5,232,227', '']","['5,550,741', '']","['5,671,806', '']","['5,740,630', '']","['741,127', '']","['1,999,546', '']","['285,931', '']","['2,463,331', '']","['250,695', '']"
7989,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['243,916', 'i']","['323,619', 'i']","['390,245', 'i']","['338,454', 'i']","['63,207', 'i']","['24,078', 'i']","['4,977', 'i']","['223,991', 'i']","['22,201', 'i']"
7989,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['188,604', '']","['188,041', '']","['217,581', '']","['212,265', 'i']","['49,083', 'i']","['37,366', 'i']","['25,102', 'i']","['100,714', 'i']","['0', 'i']"
7989,r004,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,3,"['124,145', '']","['136,601', '']","['153,044', '']","['170,494', '']","['33,094', '']","['37,408', '']","['6,657', '']","['57,207', '']","['36,128', '']"
7989,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['169,148', '']","['151,159', '']","['154,318', '']","['167,520', '']","['65', '']","['12,568', '']","['0', '']","['154,887', '']","['0', '']"
7989,r006,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,5,"['130,883', '']","['130,895', '']","['141,434', '']","['156,896', '']","['71,360', '']","['41,402', '']","['79', '']","['33,755', '']","['10,300', '']"
7989,r007,All institutions -> U. Arizona,All institutions,U. Arizona,2,6,"['127,847', '']","['139,315', '']","['149,138', '']","['140,655', '']","['113,367', '']","['15,246', '']","['2,918', '']","['9,072', '']","['52', '']"
7989,r008,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,7,"['84,938', '']","['107,416', '']","['115,340', '']","['120,677', '']","['34,368', '']","['9,383', '']","['0', '']","['70,498', '']","['6,428', '']"
7989,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['122,144', '']","['122,968', '']","['121,218', '']","['120,151', '']","['11,395', '']","['27,978', '']","['3,682', '']","['53,686', '']","['23,410', '']"
7989,r010,All institutions -> Harvard U.,All institutions,Harvard U.,2,9,"['84,054', '']","['94,515', '']","['100,654', '']","['109,606', '']","['11,658', '']","['37,078', '']","['0', '']","['59,910', '']","['960', '']"
7989,r011,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,10,"['na', '']","['102,720', '']","['105,718', '']","['101,322', '']","['37,980', '']","['9,419', '']","['1,990', '']","['42,274', '']","['9,659', '']"
7989,r012,All institutions -> U. Rochester,All institutions,U. Rochester,2,11,"['93,061', '']","['111,388', '']","['101,004', '']","['99,556', '']","['0', '']","['5,705', '']","['0', '']","['93,851', '']","['0', '']"
7989,r013,All institutions -> Princeton U.,All institutions,Princeton U.,2,12,"['82,329', '']","['88,235', '']","['94,815', '']","['99,326', '']","['27,282', '']","['29,163', '']","['6,744', '']","['35,249', '']","['888', '']"
7989,r014,All institutions -> Stanford U.,All institutions,Stanford U.,2,13,"['88,010', '']","['95,084', '']","['94,954', '']","['98,672', '']","['4,776', '']","['27,849', '']","['14,149', '']","['47,667', '']","['4,231', '']"
7989,r015,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,14,"['93,913', '']","['99,485', '']","['94,201', '']","['89,035', '']","['13,659', '']","['16,923', '']","['38,139', '']","['20,314', '']","['0', '']"
7989,r016,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,15,"['73,381', '']","['75,231', '']","['83,687', '']","['87,587', '']","['5,556', '']","['33,896', '']","['0', '']","['26,135', '']","['22,000', '']"
7989,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['67,509', '']","['85,322', '']","['94,124', '']","['86,893', '']","['1,552', '']","['27,339', '']","['0', '']","['56,983', '']","['1,019', '']"
7989,r018,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,17,"['77,735', '']","['81,357', '']","['81,380', '']","['85,250', '']","['12,621', '']","['18,584', '']","['30,671', '']","['23,011', '']","['363', '']"
7989,r019,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,18,"['82,409', '']","['82,072', '']","['78,168', '']","['83,618', '']","['6,676', '']","['36,484', '']","['16,535', '']","['19,296', '']","['4,627', '']"
7989,r020,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,19,"['69,612', '']","['69,531', '']","['72,360', '']","['78,698', '']","['9,377', '']","['35,360', '']","['0', '']","['33,961', '']","['0', '']"
