table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_social_sciences,field_2023_anthropology,field_2023_economics,field_2023_political_science_and_government,field_2023_sociology_demography_and_population_studies,field_2023_social_sciences_nec
12702,r001,All institutions,All institutions,,1,-,"['2,951,692', '']","['2,827,914', '']","['3,163,750', '']","['3,615,227', '']","['151,778', '']","['723,797', '']","['556,983', '']","['727,782', '']","['1,454,887', '']"
12702,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['187,421', '']","['175,698', '']","['189,167', '']","['217,488', '']","['7,166', '']","['39,340', '']","['33,859', '']","['31,619', '']","['105,504', '']"
12702,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['142,484', '']","['136,543', '']","['144,801', '']","['169,192', '']","['5,387', '']","['33,270', '']","['44,567', '']","['31,872', '']","['54,096', '']"
12702,r004,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,3,"['82,154', '']","['67,325', '']","['77,515', '']","['95,692', '']","['528', '']","['1,403', '']","['8,179', '']","['69,270', '']","['16,312', '']"
12702,r005,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,4,"['83,980', '']","['73,205', '']","['80,307', '']","['93,071', '']","['13,678', '']","['7,893', '']","['21,328', '']","['8,732', '']","['41,440', '']"
12702,r006,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,5,"['60,568', '']","['56,908', '']","['73,560', '']","['87,836', '']","['411', '']","['38,399', '']","['18,148', '']","['7,441', '']","['23,437', '']"
12702,r007,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,6,"['60,591', '']","['62,413', '']","['68,872', '']","['86,049', '']","['0', '']","['422', '']","['3,260', '']","['16,862', '']","['65,505', '']"
12702,r008,All institutions -> Princeton U.,All institutions,Princeton U.,2,7,"['57,913', '']","['57,323', '']","['72,862', '']","['83,793', '']","['662', '']","['14,908', '']","['33,277', '']","['19,635', '']","['15,311', '']"
12702,r009,All institutions -> U. Southern California,All institutions,U. Southern California,2,8,"['59,926', '']","['75,520', '']","['75,558', '']","['81,705', '']","['678', '']","['36,478', '']","['641', '']","['659', '']","['43,249', '']"
12702,r010,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,9,"['59,239', '']","['63,043', '']","['65,924', '']","['75,982', '']","['1,287', '']","['9,665', '']","['7,602', '']","['8,975', '']","['48,453', '']"
12702,r011,All institutions -> George Mason U.,All institutions,George Mason U.,2,10,"['65,405', '']","['48,250', '']","['61,667', '']","['73,092', '']","['221', '']","['51,935', '']","['1,306', '']","['3,495', '']","['16,135', '']"
12702,r012,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,11,"['64,636', '']","['58,423', '']","['56,249', '']","['72,987', '']","['771', '']","['2,747', '']","['5,250', '']","['7,341', '']","['56,878', '']"
12702,r013,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,12,"['51,374', '']","['46,021', '']","['53,759', '']","['66,203', '']","['1,428', '']","['3,866', '']","['6,277', '']","['26,778', '']","['27,854', '']"
12702,r014,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,13,"['51,477', '']","['47,850', '']","['54,104', '']","['55,636', '']","['0', '']","['38,544', '']","['4,032', '']","['10', '']","['13,050', '']"
12702,r015,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,14,"['50,407', '']","['45,620', '']","['43,672', '']","['46,373', '']","['1,409', '']","['19,466', '']","['3,687', '']","['2,753', '']","['19,058', '']"
12702,r016,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,15,"['35,933', '']","['32,030', '']","['38,879', '']","['45,315', '']","['0', '']","['1,183', '']","['42,306', '']","['151', '']","['1,675', '']"
12702,r017,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,16,"['47,426', '']","['40,800', '']","['40,995', '']","['44,795', '']","['2,523', '']","['3,422', '']","['14,985', '']","['7,423', '']","['16,442', '']"
12702,r018,All institutions -> Duke U.,All institutions,Duke U.,2,17,"['36,760', '']","['36,432', '']","['40,627', '']","['43,163', '']","['3,158', '']","['3,749', '']","['918', '']","['11,645', '']","['23,693', '']"
12702,r019,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,18,"['27,842', '']","['27,130', '']","['41,275', '']","['42,771', '']","['980', '']","['5,506', '']","['2,171', '']","['34,114', '']","['0', '']"
12702,r020,All institutions -> New York U.,All institutions,New York U.,2,19,"['30,676', '']","['29,601', '']","['38,528', '']","['41,857', '']","['15', '']","['995', '']","['9,625', '']","['12,896', '']","['18,326', '']"
12702,r021,All institutions -> Brown U.,All institutions,Brown U.,2,20,"['30,782', '']","['32,799', '']","['39,703', '']","['41,238', '']","['205', '']","['1,353', '']","['1,448', '']","['1,012', '']","['37,220', '']"
12702,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['31,218', '']","['33,248', '']","['40,045', '']","['39,384', '']","['601', '']","['7,019', '']","['4,862', '']","['23,898', '']","['3,004', '']"
12702,r023,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,22,"['28,486', '']","['30,951', '']","['38,078', '']","['38,849', '']","['0', '']","['12,117', '']","['7,926', '']","['1,331', '']","['17,475', '']"
12702,r024,All institutions -> U. Georgia,All institutions,U. Georgia,2,23,"['23,737', '']","['28,411', '']","['33,930', '']","['38,671', '']","['2,254', '']","['20,908', '']","['2,268', '']","['2,848', '']","['10,393', '']"
