table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10118,r001,All institutions,All institutions,,1,-,"['53,971,468', '']","['7,978,816', '']","['2,488,278', '']","['30,288,941', '']","['2,044,072', '']","['6,035,698', '']","['1,500,988', '']","['3,634,675', '']"
10118,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['2,971,816', '']","['1,476,638', '']","['12,785', '']","['844,336', '']","['426,124', '']","['38,498', '']","['1,226', '']","['172,209', '']"
10118,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['1,083,090', '']","['108,842', '']","['41,060', '']","['693,347', '']","['20,794', '']","['135,492', '']","['7,702', '']","['75,853', '']"
10118,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,"['970,696', '']","['104,632', '']","['38,141', '']","['627,145', '']","['13,781', '']","['129,565', '']","['2,511', '']","['54,921', '']"
10118,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['970,636', '']","['82,277', '']","['43,491', '']","['680,713', '']","['27,890', '']","['99,432', '']","['1,237', '']","['35,596', '']"
10118,r006,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,5,"['940,488', '']","['694,431', '']","['26,906', '']","['56,193', '']","['14,950', '']","['60,585', '']","['744', '']","['86,679', '']"
10118,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,"['904,346', '']","['53,738', '']","['26,945', '']","['694,702', '']","['21,796', '']","['99,333', '']","['156', '']","['7,676', '']"
10118,r008,All institutions -> Duke U.,All institutions,Duke U.,2,7,"['901,807', '']","['62,529', '']","['16,235', '']","['769,574', '']","['3,027', '']","['37,887', '']","['848', '']","['11,707', '']"
10118,r009,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,8,"['873,318', '']","['57,657', '']","['13,728', '']","['727,643', '']","['3,635', '']","['53,123', '']","['1,296', '']","['16,236', '']"
10118,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['860,125', '']","['75,608', '']","['32,543', '']","['643,308', '']","['19,608', '']","['79,477', '']","['765', '']","['8,816', '']"
10118,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,"['848,138', '']","['55,336', '']","['44,212', '']","['622,820', '']","['31,788', '']","['72,776', '']","['448', '']","['20,758', '']"
10118,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['827,158', '']","['26,622', '']","['13,674', '']","['659,640', '']","['1,804', '']","['42,302', '']","['2,599', '']","['80,517', '']"
10118,r013,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,12,"['814,647', '']","['58,347', '']","['12,668', '']","['696,411', '']","['1,959', '']","['33,465', '']","['399', '']","['11,398', '']"
10118,r014,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,13,"['780,318', '']","['49,573', '']","['1,575', '']","['713,951', '']","['258', '']","['9,500', '']","['63', '']","['5,398', '']"
