table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
2031,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
2031,r002,Company and financial information (US$millions) -> 1.11,Company and financial information (US$millions),1.11,2,Worldwide net sales and operating revenues,"['12,948,005', '&#160;']"
2031,r003,Company and financial information (US$millions) -> 1.12,Company and financial information (US$millions),1.12,2,Net sales and operating revenues from domestic operations,"['9,682,692', '&#160;']"
2031,r004,Company and financial information (US$millions) ->  - ,Company and financial information (US$millions), - ,2,R&D paid for by the company and performed by the company and others,"['&#160;', '&#160;']"
2031,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['508,914', '&#160;']"
2031,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,"Worldwide R&D paid for by the company (expense), adjustments","['37,593', '&#160;']"
2031,r007,"Company and financial information (US$millions) -> 2.4, 2.7c",Company and financial information (US$millions),"2.4, 2.7c",2,Worldwide R&D paid for by the company and performed by the company and others,"['471,321', '&#160;']"
2031,r008,Company and financial information (US$millions) -> 2.7a,Company and financial information (US$millions),2.7a,2,Domestic R&D paid for by the company and performed by the company and others,"['381,739', '&#160;']"
2031,r009,Company and financial information (US$millions) -> 2.7b,Company and financial information (US$millions),2.7b,2,Foreign R&D paid for by the company and performed by the company and others,"['89,582', '&#160;']"
2031,r010,Company and financial information (US$millions) -> 2.5,Company and financial information (US$millions),2.5,2,Indirect R&D charges to be recouped from the U.S. federal government (independent R&D [IR&D]),"['6,159', '&#160;']"
2031,r011,Company and financial information (US$millions) -> 2.8m(1),Company and financial information (US$millions),2.8m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['381,739', '&#160;']"
2031,r012,Company and financial information (US$millions) -> 2.8a(1),Company and financial information (US$millions),2.8a(1),2,"Salaries, wages, and fringe benefits","['195,095', '&#160;']"
2031,r013,Company and financial information (US$millions) -> 2.8b(1),Company and financial information (US$millions),2.8b(1),2,Stock-based compensation,"['24,315', '&#160;']"
2031,r014,Company and financial information (US$millions) -> 2.8c(1),Company and financial information (US$millions),2.8c(1),2,"Leased or temporary staffing, including on-site contractors, working on R&D","['14,013', '&#160;']"
2031,r015,Company and financial information (US$millions) -> 2.8d(1),Company and financial information (US$millions),2.8d(1),2,Expensed equipment,"['5,800', '&#160;']"
2031,r016,Company and financial information (US$millions) -> 2.8e(1),Company and financial information (US$millions),2.8e(1),2,Materials and supplies,"['23,309', '&#160;']"
2031,r017,Company and financial information (US$millions) -> 2.8f(1),Company and financial information (US$millions),2.8f(1),2,Leased facilities and equipment,"['5,694', '&#160;']"
2031,r018,Company and financial information (US$millions) -> 2.8g(1),Company and financial information (US$millions),2.8g(1),2,"Depreciation and amortization on R&D property, plant, and equipment","['13,495', '&#160;']"
2031,r019,Company and financial information (US$millions) -> 2.8h(1),Company and financial information (US$millions),2.8h(1),2,Royalties and licensing fees,"['2,117', '&#160;']"
2031,r020,Company and financial information (US$millions) -> 2.8i(1),Company and financial information (US$millions),2.8i(1),2,Payments to business partners for collaborative R&D,"['10,900', '&#160;']"
2031,r021,Company and financial information (US$millions) -> 2.8j(1),Company and financial information (US$millions),2.8j(1),2,Purchased R&D services,"['31,803', '&#160;']"
2031,r022,Company and financial information (US$millions) -> 2.8k(1),Company and financial information (US$millions),2.8k(1),2,All other purchased services except R&D,"['8,078', '&#160;']"
2031,r023,Company and financial information (US$millions) -> 2.8l(1),Company and financial information (US$millions),2.8l(1),2,All other costs,"['47,120', '&#160;']"
