table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2016,field_2017,field_2018,field_2019_all_social_sciences,field_2019_anthropology,field_2019_economics,field_2019_political_science_and_government,field_2019_sociology_demography_and_population_studies,field_2019_social_sciences_nec
3153,r001,All institutions,All institutions,,1,-,"['2,363,746', '']","['2,555,159', '']","['2,723,373', '']","['2,805,477', '']","['124,225', '']","['459,140', '']","['448,174', '']","['610,107', '']","['1,163,831', '']"
3153,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['160,254', '']","['191,304', '']","['192,919', '']","['191,336', '']","['5,760', '']","['34,600', '']","['24,585', '']","['28,607', '']","['97,784', '']"
3153,r003,All institutions -> Harvard U.,All institutions,Harvard U.,2,2,"['100,223', '']","['124,966', '']","['134,493', '']","['141,321', '']","['1,524', '']","['29,355', '']","['46,607', '']","['2,297', '']","['61,538', '']"
3153,r004,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,3,"['94,310', '']","['108,178', '']","['114,814', '']","['108,095', '']","['355', '']","['534', '']","['3,622', '']","['90,769', '']","['12,815', '']"
3153,r005,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,4,"['71,792', '']","['69,971', '']","['80,110', '']","['86,570', '']","['18,377', '']","['8,089', '']","['16,964', '']","['4,422', '']","['38,718', '']"
3153,r006,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,5,"['na', '']","['na', '']","['na', '']","['66,691', '']","['1,096', '']","['1,388', '']","['7,422', '']","['6,018', '']","['50,767', '']"
3153,r007,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,6,"['50,639', '']","['52,879', '']","['58,150', '']","['61,374', '']","['264', '']","['27,775', '']","['11,013', '']","['4,400', '']","['17,922', '']"
3153,r008,All institutions -> Princeton U.,All institutions,Princeton U.,2,7,"['40,291', '']","['45,670', '']","['50,613', '']","['58,918', '']","['508', '']","['8,620', '']","['30,137', '']","['14,972', '']","['4,681', '']"
3153,r009,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,8,"['40,072', '']","['41,188', '']","['69,184', '']","['58,050', '']","['0', '']","['574', '']","['3,740', '']","['9,268', '']","['44,468', '']"
3153,r010,All institutions -> George Mason U.,All institutions,George Mason U.,2,9,"['30,719', '']","['35,286', '']","['51,552', '']","['57,278', '']","['76', '']","['46,791', '']","['1,740', '']","['1,953', '']","['6,718', '']"
3153,r011,All institutions -> U. Southern California,All institutions,U. Southern California,2,10,"['33,595', '']","['34,390', '']","['39,649', '']","['52,212', '']","['223', '']","['1,776', '']","['341', '']","['678', '']","['49,194', '']"
3153,r012,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,11,"['41,676', '']","['48,579', '']","['49,776', '']","['49,088', '']","['872', '']","['5,980', '']","['4,705', '']","['22,400', '']","['15,131', '']"
3153,r013,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,12,"['41,370', '']","['43,324', '']","['47,110', '']","['48,019', '']","['1,178', '']","['3,791', '']","['5,719', '']","['7,402', '']","['29,929', '']"
3153,r014,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,13,"['26,903', '']","['32,081', '']","['38,166', '']","['46,532', '']","['0', '']","['25,360', '']","['3,558', '']","['421', '']","['17,193', '']"
3153,r015,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,14,"['33,828', '']","['35,749', '']","['38,541', '']","['44,681', '']","['962', '']","['4,017', '']","['13,003', '']","['8,847', '']","['17,852', '']"
3153,r016,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,15,"['33,517', '']","['34,608', '']","['41,077', '']","['41,008', '']","['154', '']","['1,271', '']","['712', '']","['11,187', '']","['27,684', '']"
3153,r017,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,16,"['25,074', '']","['31,825', '']","['33,270', '']","['37,195', '']","['0', '']","['766', '']","['32,567', '']","['49', '']","['3,813', '']"
3153,r018,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,17,"['36,009', '']","['35,824', '']","['35,191', '']","['35,278', '']","['739', '']","['8,320', '']","['8,740', '']","['14,153', '']","['3,326', '']"
3153,r019,All institutions -> Duke U.,All institutions,Duke U.,2,18,"['28,677', '']","['32,382', '']","['34,186', '']","['34,532', '']","['1,502', '']","['4,170', '']","['15,135', '']","['11,105', '']","['2,620', '']"
3153,r020,All institutions -> New York U.,All institutions,New York U.,2,19,"['24,286', '']","['31,205', '']","['29,375', '']","['31,003', '']","['33', '']","['1,390', '']","['7,944', '']","['6,804', '']","['14,832', '']"
3153,r021,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,20,"['28,431', '']","['26,008', '']","['28,983', '']","['30,686', '']","['2,308', '']","['7,176', '']","['4,548', '']","['2,741', '']","['13,913', '']"
3153,r022,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,21,"['39,231', '']","['39,578', '']","['25,741', '']","['30,138', '']","['1,651', '']","['771', '']","['1,005', '']","['2,867', '']","['23,844', '']"
3153,r023,All institutions -> Cornell U.,All institutions,Cornell U.,2,22,"['43,438', '']","['44,774', '']","['31,266', '']","['29,183', '']","['311', '']","['3,319', '']","['1,391', '']","['12,303', '']","['11,859', '']"
3153,r024,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,23,"['41,232', '']","['41,313', '']","['30,643', '']","['27,943', '']","['3,617', '']","['1,511', '']","['1,005', '']","['21,810', '']","['0', '']"
3153,r025,All institutions -> George Washington U.,All institutions,George Washington U.,2,24,"['25,495', '']","['26,377', '']","['27,781', '']","['27,686', '']","['1,730', '']","['1,886', '']","['794', '']","['2,353', '']","['20,923', '']"
3153,r026,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,25,"['29,254', '']","['26,537', '']","['24,402', '']","['27,167', '']","['0', '']","['11,106', '']","['773', '']","['2,827', '']","['12,461', '']"
3153,r027,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,26,"['20,445', '']","['23,813', '']","['25,610', '']","['27,037', '']","['1,639', '']","['810', '']","['3,586', '']","['2,463', '']","['18,539', '']"
3153,r028,All institutions -> Brown U.,All institutions,Brown U.,2,27,"['23,186', '']","['12,079', '']","['18,539', '']","['24,887', '']","['165', '']","['2,118', '']","['1,287', '']","['1,393', '']","['19,924', '']"
3153,r029,All institutions -> Stanford U.,All institutions,Stanford U.,2,28,"['18,385', '']","['23,316', '']","['24,772', '']","['24,038', '']","['1,231', '']","['4,397', '']","['9,763', '']","['594', '']","['8,053', '']"
3153,r030,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,29,"['20,465', '']","['25,676', '']","['24,915', '']","['23,970', '']","['499', '']","['11,918', '']","['2,825', '']","['3,573', '']","['5,155', '']"
