table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_level_3,_b_graduate_students_b_hierarchy_depth,value
6056,r001,1980,Graduate students,Total,,2,367078
6056,r002,1980,Graduate students,U.S. citizens and permanent residents,Number,3,316776
6056,r003,1980,Graduate students,U.S. citizens and permanent residents,Percent,3,86.3
6056,r004,1980,Graduate students,Temporary visa holders,Number,3,50302
6056,r005,1980,Graduate students,Temporary visa holders,Percent,3,13.7
6056,r006,1980,Postdoctoral appointees,Total,,2,18399
6056,r007,1980,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,11893
6056,r008,1980,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,64.6
6056,r009,1980,Postdoctoral appointees,Temporary visa holders,Number,3,6506
6056,r010,1980,Postdoctoral appointees,Temporary visa holders,Percent,3,35.4
6056,r011,1981,Graduate students,Total,,2,375130
6056,r012,1981,Graduate students,U.S. citizens and permanent residents,Number,3,320655
6056,r013,1981,Graduate students,U.S. citizens and permanent residents,Percent,3,85.5
6056,r014,1981,Graduate students,Temporary visa holders,Number,3,54475
6056,r015,1981,Graduate students,Temporary visa holders,Percent,3,14.5
6056,r016,1981,Postdoctoral appointees,Total,,2,19634
6056,r017,1981,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,12340
6056,r018,1981,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,62.9
6056,r019,1981,Postdoctoral appointees,Temporary visa holders,Number,3,7294
6056,r020,1981,Postdoctoral appointees,Temporary visa holders,Percent,3,37.1
6056,r021,1982,Graduate students,Total,,2,382291
6056,r022,1982,Graduate students,U.S. citizens and permanent residents,Number,3,314458
6056,r023,1982,Graduate students,U.S. citizens and permanent residents,Percent,3,82.3
6056,r024,1982,Graduate students,Temporary visa holders,Number,3,67833
6056,r025,1982,Graduate students,Temporary visa holders,Percent,3,17.7
6056,r026,1982,Postdoctoral appointees,Total,,2,19363
6056,r027,1982,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,12129
6056,r028,1982,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,62.6
6056,r029,1982,Postdoctoral appointees,Temporary visa holders,Number,3,7234
6056,r030,1982,Postdoctoral appointees,Temporary visa holders,Percent,3,37.4
