table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
9950,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,9444,4962,3128,1354,6056.1,3402.8,1765.9,887.4
9950,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,103,60,28,15,77.2,58.0,9.4,9.8
9950,r003,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,25,25,0,0,25.0,25.0,0.0,0.0
9950,r004,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,2,2,0,0,2.0,2.0,0.0,0.0
9950,r005,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,34,28,3,3,32.2,28.0,2.4,1.8
9950,r006,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,42,5,25,12,18.0,3.0,7.0,8.0
9950,r007,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,94,58,21,15,77.7,51.5,17.5,8.7
9950,r008,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,5,1,0,4,0.7,0.5,0.0,0.2
9950,r009,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,67,44,16,7,67.0,44.0,16.0,7.0
9950,r010,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,16,10,5,1,6.5,4.0,1.5,1.0
9950,r011,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,6,3,0,3,3.5,3.0,0.0,0.5
9950,r012,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,40,21,14,5,34.3,17.5,12.0,4.8
9950,r013,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,23,14,8,1,17.3,10.5,6.0,0.8
9950,r014,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,5,3,2,0,5.0,3.0,2.0,0.0
9950,r015,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,12,4,4,4,12.0,4.0,4.0,4.0
9950,r016,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,10,6,1,3,4.1,3.0,0.3,0.8
9950,r017,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,2,2,0,0,2.0,2.0,0.0,0.0
9950,r018,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,8,4,1,3,2.1,1.0,0.3,0.8
9950,r019,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,630,458,41,131,561.3,412.3,31.0,118.0
9950,r020,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,71,58,3,10,70.0,58.0,2.4,9.6
9950,r021,United States<sup>b</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>b</sup>,California,Children and Families Commission (First 5 California),3,2,2,0,0,2.0,2.0,0.0,0.0
9950,r022,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,16,14,2,0,5.1,5.0,0.1,0.0
9950,r023,United States<sup>b</sup> -> California -> Earthquake Authority,United States<sup>b</sup>,California,Earthquake Authority,3,4,2,0,2,3.0,1.5,0.0,1.5
9950,r024,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,103,86,0,17,103.0,86.0,0.0,17.0
9950,r025,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,123,88,0,35,121.0,87.4,0.0,33.6
9950,r026,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,28,12,12,4,10.0,5.0,5.0,0.0
