table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
998,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,1,54664,12592,6081,3843,9079,9843,4823,5290,3113
998,r002,All doctorate recipients (number)<sup>c</sup> -> Sex (%),All doctorate recipients (number)<sup>c</sup>,Sex (%),,,2,,,,,,,,,
998,r003,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>c</sup>,Sex (%),Male,,3,53.3,44.7,66.9,74.6,40.7,75.1,31.5,48.8,44.9
998,r004,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>c</sup>,Sex (%),Female,,3,46.6,55.3,33.1,25.4,59.3,24.9,68.4,51.2,55.0
998,r005,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Sex (%),Unknown,,3,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05
998,r006,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Citizenship (%),,,2,,,,,,,,,
998,r007,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,65.5,70.3,61.1,45.4,75.7,44.1,83.9,81.1,61.7
998,r008,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Temporary visa holder,,3,29.9,26.4,35.5,50.2,18.5,51.5,11.1,13.1,29.8
998,r009,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Unknown,,3,4.7,3.2,3.4,4.3,5.8,4.4,5.0,5.8,8.5
998,r010,All doctorate recipients (number)<sup>c</sup> -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Marital status (%),,,2,,,,,,,,,
998,r011,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Never married,,3,32.1,33.3,41.4,39.3,28.3,39.3,17.6,25.7,21.7
998,r012,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Married,,3,44.5,44.4,37.2,41.1,43.3,41.3,57.2,47.8,51.3
998,r013,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Marriage-like relationship,,3,8.4,9.9,10.6,6.2,10.0,6.2,5.0,10.1,5.5
998,r014,"All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.3,3.1,1.5,1.9,4.0,1.5,7.0,4.5,4.8
998,r015,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Unknown,,3,11.7,9.3,9.3,11.5,14.4,11.7,13.2,11.9,16.6
998,r016,All doctorate recipients (number)<sup>c</sup> -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Bachelor's in same field as doctorate (%)<sup>d</sup>,,,2,54.7,48.5,68.8,61.5,51.9,76.9,23.7,51.5,34.9
998,r017,All doctorate recipients (number)<sup>c</sup> -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Master's earned (%),,,2,70.2,51.8,52.2,72.7,82.4,72.2,88.2,85.1,81.8
998,r018,All doctorate recipients (number)<sup>c</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Age at doctorate (median years),,,2,31.6,31.0,29.5,30.4,32.3,29.9,38.3,34.1,34.8
998,r019,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),,,2,,,,,,,,,
998,r020,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From bachelor's,,3,8.8,8.3,6.9,7.9,9.3,7.3,15.0,11.0,11.4
998,r021,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From graduate school start,,3,7.5,6.8,6.2,7.0,7.8,6.7,12.0,9.3,9.3
998,r022,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From doctoral program start<sup>e</sup>,,3,5.8,5.8,5.7,5.7,6.0,5.3,6.3,7.1,5.8
998,r023,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),,,2,29146,5629,4068,2866,3693,7389,1521,2581,1399
998,r024,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
998,r025,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,60.3,67.9,60.0,45.1,71.4,43.9,81.6,81.3,58.0
998,r026,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,36.4,29.6,37.4,52.1,24.4,53.6,14.3,14.0,35.7
998,r027,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,3.2,2.6,2.6,2.8,4.2,2.5,4.1,4.7,6.2
998,r028,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,
998,r029,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,34.2,34.3,40.9,40.9,29.7,40.3,15.5,23.6,21.0
998,r030,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Married,4,45.6,45.5,39.1,41.7,45.7,42.4,64.4,52.1,56.9
998,r031,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,7.8,9.3,9.7,6.2,9.4,5.9,4.6,9.7,5.1
998,r032,"All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.1,2.1,1.4,1.6,2.4,1.4,3.9,3.6,3.0
998,r033,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,10.3,8.8,8.9,9.5,12.8,9.9,11.5,11.1,14.0
998,r034,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,58.9,47.5,69.1,62.5,49.9,78.6,22.9,54.0,35.0
