table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5452,r001,United States,United States,,,,1,"['86,296,178', '']","['2,923,149', '']","['3,281,251', '']","['49,640,508', '']","['798,975', '']","['5,667,046', '']","['1,357,081', '']","['2,947,338', '']","['952,459', '']","['13,692,756', '']","['5,035,615', '']"
5452,r002,United States -> Public,United States,Public,,,2,"['56,663,756', '']","['1,797,660', '']","['2,605,508', '']","['31,245,694', '']","['491,712', '']","['3,505,603', '']","['1,009,961', '']","['2,028,392', '']","['747,561', '']","['9,616,951', '']","['3,614,714', '']"
5452,r003,United States -> Private,United States,Private,,,2,"['29,632,422', '']","['1,125,489', '']","['675,743', '']","['18,394,814', '']","['307,263', '']","['2,161,443', '']","['347,120', '']","['918,946', '']","['204,898', '']","['4,075,805', '']","['1,420,901', '']"
5452,r004,United States -> Alabama,United States,Alabama,,,2,"['1,186,697', '']","['60,544', '']","['29,587', '']","['717,505', '']","['7,049', '']","['42,260', '']","['11,724', '']","['19,271', '']","['3,151', '']","['219,549', '']","['76,057', '']"
5452,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,165,724', '']","['60,135', '']","['29,587', '']","['709,360', '']","['5,809', '']","['42,094', '']","['11,724', '']","['14,364', '']","['2,967', '']","['213,627', '']","['76,057', '']"
5452,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['8,749', '']","['301', 'i']","['0', 'i']","['5,142', 'i']","['83', 'i']","['636', 'i']","['174', 'i']","['298', 'i']","['0', 'i']","['1,603', 'i']","['512', 'i']"
5452,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,582', '']","['0', '']","['0', '']","['1,989', '']","['0', '']","['60', '']","['0', '']","['0', '']","['0', '']","['533', '']","['0', '']"
5452,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['255,281', '']","['5,006', '']","['3,460', '']","['110,768', '']","['3,736', '']","['15,247', '']","['2,824', '']","['6,902', '']","['2,967', '']","['70,593', '']","['33,778', '']"
5452,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['1,244', '']","['3', '']","['0', '']","['44', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['11', '']","['1,186', '']"
5452,r010,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['1,692', '']","['5', '']","['49', '']","['290', '']","['6', '']","['1,216', '']","['3', '']","['20', '']","['0', '']","['0', '']","['103', '']"
5452,r011,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['618,226', '']","['1,502', '']","['701', '']","['542,308', '']","['916', '']","['4,678', '']","['5,164', '']","['246', '']","['0', '']","['53,030', '']","['9,681', '']"
5452,r012,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['131,648', '']","['36,636', '']","['17,304', '']","['3,170', '']","['726', '']","['13,353', '']","['218', '']","['1,717', '']","['0', '']","['51,198', '']","['7,326', '']"
5452,r013,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['95,200', '']","['12,836', '']","['3,062', '']","['8,985', '']","['262', '']","['6,471', '']","['3,030', '']","['4,595', '']","['0', '']","['33,019', '']","['22,940', '']"
5452,r014,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['51,102', '']","['3,846', '']","['5,011', '']","['36,664', '']","['80', '']","['433', '']","['311', '']","['586', '']","['0', '']","['3,640', '']","['531', '']"
5452,r015,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['20,973', '']","['409', '']","['0', '']","['8,145', '']","['1,240', '']","['166', '']","['0', '']","['4,907', '']","['184', '']","['5,922', '']","['0', '']"
5452,r016,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['20,973', '']","['409', '']","['0', '']","['8,145', '']","['1,240', '']","['166', '']","['0', '']","['4,907', '']","['184', '']","['5,922', '']","['0', '']"
5452,r017,United States -> Alaska,United States,Alaska,,,2,"['177,537', '']","['1,313', '']","['81,366', '']","['36,878', '']","['346', '']","['15,790', '']","['548', '']","['5,116', '']","['14,647', '']","['18,974', '']","['2,559', '']"
5452,r018,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['176,276', '']","['1,313', '']","['80,170', '']","['36,840', '']","['346', '']","['15,790', '']","['548', '']","['5,116', '']","['14,647', '']","['18,974', '']","['2,532', '']"
5452,r019,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['22,713', '']","['165', '']","['7,339', '']","['6,857', '']","['0', '']","['184', '']","['181', '']","['3,306', '']","['2,990', '']","['1,101', '']","['590', '']"
5452,r020,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['152,299', '']","['1,148', '']","['72,609', '']","['29,409', '']","['346', '']","['15,551', '']","['367', '']","['1,810', '']","['11,281', '']","['17,843', '']","['1,935', '']"
5452,r021,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['1,264', '']","['0', '']","['222', '']","['574', '']","['0', '']","['55', '']","['0', '']","['0', '']","['376', '']","['30', '']","['7', '']"
5452,r022,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['1,261', '']","['0', '']","['1,196', '']","['38', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['27', '']"
5452,r023,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['1,261', '']","['0', '']","['1,196', '']","['38', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['27', '']"
5452,r024,United States -> Arizona,United States,Arizona,,,2,"['1,499,135', '']","['39,986', '']","['112,100', '']","['579,914', '']","['9,040', '']","['181,821', '']","['21,270', '']","['102,088', '']","['115,362', '']","['239,474', '']","['98,080', '']"
5452,r025,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['1,499,135', '']","['39,986', '']","['112,100', '']","['579,914', '']","['9,040', '']","['181,821', '']","['21,270', '']","['102,088', '']","['115,362', '']","['239,474', '']","['98,080', '']"
5452,r026,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['673,357', '']","['22,231', '']","['73,544', '']","['103,558', '']","['5,942', '']","['25,619', '']","['17,645', '']","['83,980', '']","['107,393', '']","['155,015', '']","['78,430', '']"
5452,r027,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['347', '']","['0', '']","['0', '']","['347', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5452,r028,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['64,456', '']","['2,671', '']","['7,408', '']","['38,862', '']","['0', '']","['7,064', '']","['725', '']","['419', '']","['403', '']","['4,996', '']","['1,908', '']"
5452,r029,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['760,975', '']","['15,084', '']","['31,148', '']","['437,147', '']","['3,098', '']","['149,138', '']","['2,900', '']","['17,689', '']","['7,566', '']","['79,463', '']","['17,742', '']"
5452,r030,United States -> Arkansas,United States,Arkansas,,,2,"['370,782', '']","['8,553', '']","['3,519', '']","['269,832', '']","['125', '']","['12,897', '']","['855', '']","['7,404', '']","['1,045', '']","['39,756', '']","['26,796', '']"
5452,r031,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['370,782', '']","['8,553', '']","['3,519', '']","['269,832', '']","['125', '']","['12,897', '']","['855', '']","['7,404', '']","['1,045', '']","['39,756', '']","['26,796', '']"
5452,r032,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['8,640', '']","['290', '']","['0', '']","['6,636', '']","['4', '']","['876', '']","['55', '']","['148', '']","['257', '']","['371', '']","['3', '']"
5452,r033,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['174,549', '']","['0', '']","['0', '']","['174,549', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5452,r034,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['165,887', '']","['4,591', '']","['3,499', '']","['77,569', '']","['97', '']","['9,791', '']","['707', '']","['7,186', '']","['85', '']","['37,758', '']","['24,604', '']"
5452,r035,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['9,711', '']","['3,246', '']","['0', '']","['2,878', '']","['0', '']","['1,105', '']","['0', '']","['27', '']","['0', '']","['1,627', '']","['828', '']"
5452,r036,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['8,540', '']","['0', '']","['0', '']","['7,415', '']","['0', '']","['540', '']","['0', '']","['0', '']","['572', '']","['0', '']","['13', '']"
5452,r037,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['3,455', '']","['426', '']","['20', '']","['785', '']","['24', '']","['585', '']","['93', '']","['43', '']","['131', '']","['0', '']","['1,348', '']"
5452,r038,United States -> California,United States,California,,,2,"['10,910,956', '']","['295,111', '']","['502,329', '']","['6,868,708', '']","['74,078', '']","['947,919', '']","['169,517', '']","['332,650', '']","['175,552', '']","['1,156,517', '']","['388,575', '']"
5452,r039,United States -> California -> Public,United States,California,Public,,3,"['7,729,399', '']","['129,936', '']","['416,432', '']","['4,850,818', '']","['62,900', '']","['604,651', '']","['131,110', '']","['234,115', '']","['174,441', '']","['892,145', '']","['232,851', '']"
5452,r040,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['26,605', '']","['626', '']","['1,105', '']","['7,929', '']","['2,841', '']","['5,672', '']","['185', '']","['675', '']","['0', '']","['4,646', '']","['2,926', '']"
5452,r041,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['7,396', '']","['653', '']","['68', '']","['2,656', '']","['138', '']","['1,395', '']","['0', '']","['39', '']","['327', '']","['1,875', '']","['245', '']"
