table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_higher_education_pass_through_entities,field_total_from_businesses,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_higher_education_pass_through_entities,field_federally_financed_from_businesses,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
10168,r001,United States,United States,,,,1,"['9,705,518', '']","['4,693,719', '']","['1,542,805', '']","['1,963,694', '']","['1,505,300', '']","['8,444,853', '']","['4,274,260', '']","['1,273,237', '']","['1,600,008', '']","['1,297,348', '']"
10168,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10168,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10168,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['1,200', '']","['1,180', '']","['0', '']","['0', '']","['20', '']","['1,180', '']","['1,180', '']","['0', '']","['0', '']","['0', '']"
10168,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['445', '']","['445', '']","['0', '']","['0', '']","['0', '']","['445', '']","['445', '']","['0', '']","['0', '']","['0', '']"
10168,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['43,874', 'i']","['11,461', 'i']","['11,017', 'i']","['754', 'i']","['20,642', 'i']","['41,119', '']","['10,449', '']","['10,581', '']","['304', '']","['19,785', '']"
10168,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['278', '']","['58', '']","['0', '']","['0', '']","['220', '']","['278', '']","['58', '']","['0', '']","['0', '']","['220', '']"
10168,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['50,399', '']","['38,247', '']","['6,051', '']","['4,621', '']","['1,480', '']","['50,399', '']","['38,247', '']","['6,051', '']","['4,621', '']","['1,480', '']"
10168,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['54,145', '']","['5,227', '']","['43,210', '']","['1,926', '']","['3,782', '']","['51,829', '']","['5,097', '']","['41,796', '']","['1,466', '']","['3,470', '']"
10168,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['28,797', '']","['11,979', '']","['6,900', '']","['3,420', '']","['6,498', '']","['28,484', '']","['11,709', '']","['6,900', '']","['3,383', '']","['6,492', '']"
10168,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['6,806', '']","['4,293', '']","['1,084', '']","['513', '']","['916', '']","['5,904', '']","['4,293', '']","['427', '']","['364', '']","['820', '']"
10168,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10168,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,999', '']","['1,407', '']","['139', '']","['423', '']","['30', '']","['1,999', '']","['1,407', '']","['139', '']","['423', '']","['30', '']"
10168,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10168,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
