table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_dod,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda
10413,r001,All HAIE institutions,All HAIE institutions,,1,-,94360,2715,10385,1852,1401,3800,69,14582,4031,49539,5985
10413,r002,"All HAIE institutions -> U. Alaska, Fairbanks<sup>a</sup>",All HAIE institutions,"U. Alaska, Fairbanks<sup>a</sup>",2,1,84679,606,9813,1852,1401,3800,0,12238,4031,45011,5926
10413,r003,"All HAIE institutions -> U. Alaska, Southeast<sup>a</sup>",All HAIE institutions,"U. Alaska, Southeast<sup>a</sup>",2,2,3996,2109,0,0,0,0,0,256,0,1606,25
10413,r004,"All HAIE institutions -> Louisiana State U., system office<sup>a</sup>",All HAIE institutions,"Louisiana State U., system office<sup>a</sup>",2,3,1383,0,0,0,0,0,0,0,0,1383,0
10413,r005,All HAIE institutions -> Fort Lewis C.,All HAIE institutions,Fort Lewis C.,2,4,1331,0,0,0,0,0,0,335,0,986,10
10413,r006,"All HAIE institutions -> U. North Carolina, The, Pembroke",All HAIE institutions,"U. North Carolina, The, Pembroke",2,5,1295,0,571,0,0,0,0,723,0,0,0
10413,r007,All HAIE institutions -> Northeastern State U.,All HAIE institutions,Northeastern State U.,2,6,750,0,0,0,0,0,0,750,0,0,0
10413,r008,All HAIE institutions -> Alaska Pacific U.,All HAIE institutions,Alaska Pacific U.,2,7,480,0,0,0,0,0,0,280,0,175,25
10413,r009,All HAIE institutions -> Robeson Community C.,All HAIE institutions,Robeson Community C.,2,8,300,0,0,0,0,0,0,0,0,300,0
10413,r010,All HAIE institutions -> San Juan C.,All HAIE institutions,San Juan C.,2,9,79,0,0,0,0,0,0,0,0,79,0
10413,r011,All HAIE institutions -> East Central U.,All HAIE institutions,East Central U.,2,10,69,0,0,0,0,0,69,0,0,0,0
