table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_educational_subrecipients,field_total_to_business,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_educational_subrecipients,field_federally_financed_to_business,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
3189,r001,United States,United States,,,,1,"['6,708,143', '']","['3,728,439', '']","['1,207,117', '']","['1,182,182', '']","['590,405', '']","['5,695,008', '']","['3,283,593', '']","['960,803', '']","['996,237', '']","['454,375', '']"
3189,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['138', '']","['102', '']","['17', '']","['19', '']","['0', '']","['138', '']","['102', '']","['17', '']","['19', '']","['0', '']"
3189,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['124', '']","['124', '']","['0', '']","['0', '']","['0', '']","['124', '']","['124', '']","['0', '']","['0', '']","['0', '']"
3189,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['3,337', '']","['1,926', 'i']","['659', 'i']","['205', 'i']","['547', 'i']","['3,099', '']","['1,712', 'i']","['635', 'i']","['205', 'i']","['547', 'i']"
3189,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['97', '']","['97', '']","['0', '']","['0', '']","['0', '']","['97', '']","['97', '']","['0', '']","['0', '']","['0', '']"
3189,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['73,027', '']","['39,093', '']","['25,635', '']","['6,855', '']","['1,444', '']","['67,796', '']","['38,936', '']","['22,710', '']","['4,776', '']","['1,374', '']"
3189,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['4,373', '']","['3,544', '']","['608', '']","['220', '']","['1', '']","['4,373', '']","['3,544', '']","['608', '']","['220', '']","['1', '']"
3189,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['4,070', '']","['2,165', '']","['1,483', '']","['211', '']","['211', '']","['3,858', '']","['2,108', '']","['1,413', '']","['185', '']","['152', '']"
3189,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['2,156', '']","['877', '']","['0', '']","['1', '']","['1,278', '']","['1,523', '']","['638', '']","['0', '']","['1', '']","['884', '']"
3189,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,255', '']","['979', '']","['85', '']","['191', '']","['0', '']","['1,255', '']","['979', '']","['85', '']","['191', '']","['0', '']"
3189,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['2,118', '']","['108', '']","['NA', '']","['55', '']","['1,955', '']","['2,118', '']","['108', '']","['0', '']","['55', '']","['1,955', '']"
3189,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['7,059', '']","['4,315', 'i']","['1,986', 'i']","['NA', '']","['758', 'i']","['7,059', '']","['4,315', 'i']","['1,986', 'i']","['0', '']","['758', 'i']"
3189,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['159', '']","['0', '']","['0', '']","['0', '']","['159', '']","['159', '']","['0', '']","['0', '']","['0', '']","['159', '']"
3189,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r021,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['64,661', '']","['19,839', '']","['27,339', '']","['14,293', '']","['3,190', '']","['60,233', '']","['17,506', '']","['26,597', '']","['13,755', '']","['2,375', '']"
3189,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['317', '']","['317', '']","['0', '']","['0', '']","['0', '']","['317', '']","['317', '']","['0', '']","['0', '']","['0', '']"
3189,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['4,265', '']","['1,742', '']","['200', '']","['1,139', '']","['1,184', '']","['3,809', '']","['1,457', '']","['181', '']","['998', '']","['1,173', '']"
3189,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['46,541', '']","['26,863', '']","['6,931', '']","['10,916', '']","['1,831', '']","['45,620', '']","['26,281', '']","['6,897', '']","['10,630', '']","['1,812', '']"
3189,r027,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r028,United States -> Arizona -> Private -> Southwest C. of Naturopathic Medicine and Health Sciences,United States,Arizona,Private,Southwest C. of Naturopathic Medicine and Health Sciences,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r029,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['596', '']","['569', '']","['0', '']","['0', '']","['27', '']","['559', '']","['532', '']","['0', '']","['0', '']","['27', '']"
3189,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['8,105', '']","['6,220', '']","['1,058', '']","['808', '']","['19', '']","['7,796', '']","['5,958', '']","['1,021', '']","['798', '']","['19', '']"
3189,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['7,558', '']","['6,166', '']","['633', '']","['407', '']","['352', '']","['5,531', '']","['4,772', '']","['408', '']","['173', '']","['178', '']"
3189,r034,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['2,279', '']","['2,156', '']","['123', '']","['0', '']","['0', '']","['2,245', '']","['2,136', '']","['109', '']","['0', '']","['0', '']"
3189,r035,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['467', '']","['290', '']","['0', '']","['0', '']","['177', '']","['467', '']","['290', '']","['0', '']","['0', '']","['177', '']"
3189,r036,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['103', '']","['103', '']","['0', '']","['0', '']","['0', '']","['103', '']","['103', '']","['0', '']","['0', '']","['0', '']"
3189,r037,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r038,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r039,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['1,313', '']","['607', '']","['114', '']","['592', '']","['0', '']","['836', '']","['244', '']","['0', '']","['592', '']","['0', '']"
3189,r040,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['16', '']","['16', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r041,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r042,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['114', '']","['114', '']","['0', '']","['0', '']","['0', '']","['114', '']","['114', '']","['0', '']","['0', '']","['0', '']"
3189,r043,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['140', '']","['140', '']","['0', '']","['0', '']","['0', '']","['140', '']","['140', '']","['0', '']","['0', '']","['0', '']"
3189,r044,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r045,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['289', '']","['242', '']","['30', '']","['0', '']","['17', '']","['62', '']","['45', '']","['0', '']","['0', '']","['17', '']"
3189,r046,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['247', '']","['216', '']","['26', '']","['4', '']","['1', '']","['236', '']","['205', '']","['26', '']","['4', '']","['1', '']"
3189,r047,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['814', '']","['109', '']","['144', '']","['477', '']","['84', '']","['239', '']","['69', '']","['115', '']","['55', '']","['0', '']"
3189,r048,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['568', '']","['413', '']","['0', '']","['155', '']","['0', '']","['568', '']","['413', '']","['0', '']","['155', '']","['0', '']"
3189,r049,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['626', '']","['563', '']","['0', '']","['0', '']","['63', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r050,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['509', '']","['488', '']","['0', '']","['21', '']","['0', '']","['317', '']","['296', '']","['0', '']","['21', '']","['0', '']"
3189,r051,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['387', '']","['333', '']","['0', '']","['54', '']","['0', '']","['343', '']","['333', '']","['0', '']","['10', '']","['0', '']"
3189,r052,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['710', '']","['40', '']","['668', '']","['2', '']","['0', '']","['39', '']","['39', '']","['0', '']","['0', '']","['0', '']"
3189,r053,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['1,152', '']","['892', '']","['55', '']","['50', '']","['155', '']","['737', '']","['582', '']","['0', '']","['0', '']","['155', '']"
3189,r054,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['493', '']","['162', '']","['0', '']","['331', '']","['0', '']","['485', '']","['154', '']","['0', '']","['331', '']","['0', '']"
3189,r055,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['21', '']","['21', '']","['0', '']","['0', '']","['0', '']","['21', '']","['21', '']","['0', '']","['0', '']","['0', '']"
3189,r056,United States -> California -> Public -> Humboldt State U.,United States,California,Public,Humboldt State U.,4,"['1,775', '']","['235', '']","['38', '']","['62', '']","['1,440', '']","['7', '']","['0', '']","['7', '']","['0', '']","['0', '']"
3189,r057,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['742', '']","['155', '']","['587', '']","['0', '']","['0', '']","['742', '']","['155', '']","['587', '']","['0', '']","['0', '']"
3189,r058,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['4,817', '']","['3,341', '']","['191', '']","['733', '']","['552', '']","['4,592', '']","['3,249', '']","['191', '']","['615', '']","['537', '']"
3189,r059,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['2,057', '']","['1,759', '']","['239', '']","['59', '']","['0', '']","['1,743', '']","['1,695', '']","['0', '']","['48', '']","['0', '']"
3189,r060,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['2,842', '']","['1,819', '']","['779', '']","['139', '']","['105', '']","['2,029', '']","['1,006', '']","['779', '']","['139', '']","['105', '']"
3189,r061,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['64,422', '']","['36,314', 'i']","['12,126', 'i']","['8,472', 'i']","['7,510', 'i']","['45,653', '']","['25,983', 'i']","['8,651', 'i']","['6,108', 'i']","['4,911', 'i']"
